Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.11874, 5424, 933, 10, 435.42969
2, 0.13806, 5424, 970, 8, 557.75171
3, 0.12012, 5424, 906, 13, 440.84125
4, 0.11913, 5424, 932, 16, 477.25571
5, 0.12379, 5424, 948, 13, 462.92224
6, 0.12654, 5424, 939, 17, 440.64612
7, 0.11336, 5424, 853, 16, 462.83582
8, 0.10830, 5424, 814, 19, 461.48889
9, 0.14941, 5424, 882, 13, 434.18546
10, 0.12128, 5424, 848, 9, 542.22412
11, 0.12359, 5424, 860, 14, 434.50662
12, 0.11126, 5424, 871, 13, 479.38397
13, 0.12274, 5424, 886, 15, 463.22458
14, 0.11290, 5424, 880, 17, 470.68781
15, 0.11077, 5424, 861, 23, 497.76602
16, 0.11583, 5424, 879, 17, 465.11505
17, 0.11686, 5424, 896, 23, 576.46246
18, 0.11112, 5424, 862, 19, 452.56381
19, 0.10943, 5424, 874, 18, 449.39737
20, 0.11378, 5424, 860, 16, 493.96964
21, 0.11698, 5424, 906, 20, 408.26340
22, 0.11464, 5424, 890, 14, 333.02551
23, 0.11617, 5424, 873, 16, 556.35242
24, 0.11470, 5424, 887, 18, 512.05371
25, 0.11611, 5424, 901, 20, 484.33563
26, 0.11517, 5424, 885, 20, 512.29584
27, 0.12279, 5424, 875, 17, 509.49289
28, 0.11325, 5424, 855, 18, 364.35422
29, 0.10684, 5424, 832, 13, 606.96130
30, 0.12666, 5424, 988, 4, 408.16052
31, 0.14811, 5424, 1010, 19, 423.64725
32, 0.12481, 5424, 1007, 13, 468.81979
33, 0.13498, 5424, 1024, 17, 428.04089
34, 0.14402, 5424, 1050, 16, 496.38593
35, 0.14198, 5424, 992, 29, 419.17896
36, 0.13548, 5424, 1046, 14, 449.01337
37, 0.13300, 5424, 1016, 22, 563.55035
38, 0.14409, 5424, 1083, 19, 436.84207
39, 0.15846, 5424, 1057, 19, 410.00366
40, 0.14192, 5424, 1057, 20, 431.10556
41, 0.14406, 5424, 1062, 19, 502.55249
42, 0.13859, 5424, 1039, 15, 452.44888
43, 0.13868, 5424, 1082, 12, 474.40067
44, 0.13286, 5424, 1069, 19, 492.70883
45, 0.16638, 5424, 1090, 17, 495.35037
46, 0.16179, 5424, 1077, 20, 489.55899
47, 0.13689, 5424, 1069, 16, 502.05179
48, 0.13784, 5424, 1082, 12, 581.74304
49, 0.15847, 5424, 1091, 18, 508.85754
50, 0.14171, 5424, 1083, 14, 464.16052
51, 0.13749, 5424, 1097, 11, 498.85770
52, 0.13999, 5424, 1088, 12, 457.25485
53, 0.14780, 5424, 1074, 18, 475.36511
54, 0.13857, 5424, 1075, 15, 446.12778
55, 0.14617, 5424, 1061, 16, 487.09854
56, 0.15392, 5424, 1085, 19, 484.19315
57, 0.17350, 5424, 1067, 23, 528.48560
58, 0.14781, 5424, 1068, 26, 451.35684
59, 0.14293, 5424, 1069, 11, 412.75781
60, 0.13950, 5424, 1070, 9, 569.06592
61, 0.13284, 5424, 1059, 21, 490.04388
62, 0.14386, 5424, 1079, 15, 451.18066
63, 0.14762, 5424, 1092, 19, 532.49133
64, 0.13132, 5424, 1032, 8, 432.08795
65, 0.13461, 5424, 1059, 23, 390.78638
66, 0.13684, 5424, 1040, 17, 449.18481
67, 0.15240, 5424, 1049, 6, 404.14230
68, 0.14187, 5424, 1073, 20, 410.83817
69, 0.14103, 5424, 1019, 21, 511.83591
70, 0.14494, 5424, 1047, 20, 438.52023
71, 0.14607, 5424, 1084, 14, 480.56113
72, 0.13814, 5424, 1063, 27, 420.89310
73, 0.12882, 5424, 992, 11, 436.81805
74, 0.12188, 5424, 967, 13, 426.00116
75, 0.12417, 5424, 992, 5, 425.44211
76, 0.12199, 5424, 968, 13, 390.88232
77, 0.13531, 5424, 1038, 15, 451.30698
78, 0.12671, 5424, 1016, 7, 440.38391
79, 0.13502, 5424, 1046, 20, 447.92969
80, 0.13561, 5424, 1061, 11, 544.07904
81, 0.12641, 5424, 1033, 9, 462.94168
82, 0.14706, 5424, 1034, 23, 412.88498
83, 0.13747, 5424, 1062, 14, 489.72238
84, 0.13509, 5424, 1057, 16, 399.29562
