Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.15415, 5424, 1173, 30, 469.60623
2, 0.17442, 5424, 1336, 37, 463.40912
3, 0.17802, 5424, 1432, 40, 496.76251
4, 0.19582, 5424, 1563, 39, 493.34674
5, 0.19687, 5424, 1561, 41, 450.40869
6, 0.18860, 5424, 1525, 42, 457.46802
7, 0.18858, 5424, 1519, 39, 418.16025
8, 0.15149, 5424, 1030, 28, 466.48474
9, 0.14614, 5424, 1147, 29, 506.94675
10, 0.16033, 5424, 1246, 23, 473.59583
11, 0.25605, 5424, 1735, 49, 505.81421
12, 0.21498, 5424, 1704, 33, 478.28757
13, 0.19367, 5424, 1619, 34, 533.21478
14, 0.22129, 5424, 1735, 11, 517.33160
15, 0.19544, 5424, 1620, 10, 455.08020
16, 0.19070, 5424, 1514, 16, 514.24701
17, 0.19223, 5424, 1521, 9, 473.13528
18, 0.19783, 5424, 1596, 16, 384.24731
19, 0.19980, 5424, 1596, 18, 484.96082
20, 0.19815, 5424, 1566, 18, 419.30539
21, 0.20773, 5424, 1688, 16, 417.30685
22, 0.21101, 5424, 1751, 39, 457.74011
23, 0.21843, 5424, 1793, 28, 509.52921
24, 0.22113, 5424, 1802, 33, 415.85455
25, 0.22185, 5424, 1830, 29, 485.53064
26, 0.19816, 5424, 1646, 38, 420.35104
27, 0.19804, 5424, 1614, 34, 352.40317
28, 0.19822, 5424, 1578, 37, 515.55115
29, 0.19612, 5424, 1620, 37, 564.00269
30, 0.21300, 5424, 1737, 32, 413.82605
31, 0.21044, 5424, 1727, 37, 423.23279
32, 0.21535, 5424, 1694, 33, 398.86591
33, 0.20867, 5424, 1703, 26, 468.63419
34, 0.21268, 5424, 1682, 36, 510.79840
35, 0.20845, 5424, 1687, 33, 487.84628
36, 0.20606, 5424, 1665, 32, 430.41724
37, 0.20922, 5424, 1677, 40, 499.08014
38, 0.23055, 5424, 1904, 45, 454.95276
39, 0.22106, 5424, 1818, 46, 459.52475
40, 0.21932, 5424, 1781, 52, 391.85074
41, 0.21979, 5424, 1815, 45, 548.28369
42, 0.21983, 5424, 1785, 45, 405.25546
43, 0.20309, 5424, 1550, 31, 538.03162
44, 0.21563, 5424, 1767, 40, 523.70697
45, 0.19890, 5424, 1570, 34, 358.73666
46, 0.21935, 5424, 1538, 35, 417.01920
47, 0.18273, 5424, 1476, 24, 418.55704
48, 0.20930, 5424, 1539, 20, 409.99390
49, 0.19883, 5424, 1556, 20, 491.89124
50, 0.19943, 5424, 1542, 17, 549.77271
51, 0.18944, 5424, 1524, 14, 501.66623
52, 0.20226, 5424, 1496, 18, 359.91943
53, 0.18752, 5424, 1527, 12, 458.24228
54, 0.18892, 5424, 1501, 14, 509.85193
55, 0.20358, 5424, 1538, 17, 434.30634
56, 0.21206, 5424, 1673, 34, 529.70844
57, 0.21582, 5424, 1761, 31, 461.02060
58, 0.21797, 5424, 1733, 27, 435.54221
59, 0.22707, 5424, 1888, 25, 460.60071
60, 0.24278, 5424, 1872, 22, 471.97244
61, 0.23809, 5424, 1848, 24, 559.83478
62, 0.22676, 5424, 1852, 13, 459.22000
63, 0.22326, 5424, 1809, 20, 443.24371
64, 0.22826, 5424, 1891, 18, 513.04773
65, 0.23953, 5424, 1930, 16, 494.57153
66, 0.23530, 5424, 1902, 12, 437.78876
67, 0.22609, 5424, 1880, 18, 400.30988
68, 0.23518, 5424, 1849, 26, 448.31686
69, 0.24630, 5424, 1865, 13, 464.59552
70, 0.23586, 5424, 1814, 16, 487.89240
71, 0.23712, 5424, 1871, 20, 450.58075
72, 0.26593, 5424, 1914, 18, 468.55951
73, 0.22763, 5424, 1839, 16, 463.94180
74, 0.25446, 5424, 1880, 21, 479.04697
75, 0.23397, 5424, 1877, 20, 502.33157
76, 0.21458, 5424, 1763, 20, 512.91425
77, 0.22074, 5424, 1815, 19, 450.36652
78, 0.23072, 5424, 1848, 20, 379.52997
79, 0.20901, 5424, 1744, 33, 466.03540
80, 0.17917, 5424, 1496, 36, 467.34998
81, 0.19062, 5424, 1515, 34, 446.04822
82, 0.21540, 5424, 1621, 37, 462.88660
83, 0.22128, 5424, 1725, 31, 484.15598
84, 0.20993, 5424, 1733, 24, 496.76553
85, 0.20659, 5424, 1658, 46, 373.09116
86, 0.20878, 5424, 1682, 35, 389.85382
87, 0.21612, 5424, 1675, 37, 493.55243
88, 0.20521, 5424, 1594, 33, 354.29932
89, 0.21492, 5424, 1597, 40, 435.07355
90, 0.21476, 5424, 1602, 28, 327.81549
91, 0.20718, 5424, 1593, 27, 541.21899
92, 0.19494, 5424, 1596, 32, 387.09042
93, 0.20193, 5424, 1626, 30, 390.27042
94, 0.22080, 5424, 1590, 36, 389.01285
95, 0.19819, 5424, 1640, 31, 394.21820
96, 0.21492, 5424, 1602, 23, 377.98941
97, 0.21953, 5424, 1607, 26, 527.25134
98, 0.19307, 5424, 1568, 15, 430.65997
99, 0.21336, 5424, 1574, 24, 397.16873
100, 0.20514, 5424, 1632, 25, 354.68436
