Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.22035, 3190, 797, 291, 88.33459
2, 0.26363, 3190, 943, 339, 80.48602
3, 0.22218, 3190, 927, 378, 81.42481
4, 0.25119, 3190, 993, 314, 187.64861
5, 0.22831, 3190, 948, 331, 169.24243
6, 0.28764, 3190, 979, 281, 116.29704
7, 0.23403, 3190, 892, 314, 113.74533
8, 0.21682, 3190, 919, 318, 104.16814
9, 0.22395, 3190, 897, 284, 188.12761
10, 0.21809, 3190, 832, 275, 121.57302
11, 0.22052, 3190, 867, 227, 101.34101
12, 0.21332, 3190, 856, 302, 117.36269
13, 0.21130, 3190, 863, 218, 122.49490
14, 0.21176, 3190, 791, 259, 206.00970
15, 0.21598, 3190, 738, 248, 77.22047
16, 0.18573, 3190, 740, 138, 193.57428
17, 0.20169, 3190, 754, 175, 138.48827
18, 0.21622, 3190, 715, 218, 216.62640
19, 0.21367, 3190, 714, 266, 161.60446
20, 0.22220, 3190, 730, 222, 164.26199
21, 0.23194, 3190, 738, 244, 128.09372
22, 0.22451, 3190, 720, 215, 125.94444
23, 0.21456, 3190, 735, 221, 206.23288
24, 0.22263, 3190, 715, 209, 129.78444
25, 0.21852, 3190, 732, 220, 113.91663
26, 0.22427, 3190, 747, 230, 128.58461
27, 0.20516, 3190, 694, 191, 150.15326
28, 0.21660, 3190, 713, 217, 87.13783
29, 0.21030, 3190, 667, 175, 125.57866
30, 0.20033, 3190, 689, 194, 141.09216
31, 0.20828, 3190, 669, 171, 125.77758
32, 0.21645, 3190, 653, 230, 113.93419
33, 0.20564, 3190, 678, 244, 86.16264
34, 0.19664, 3190, 651, 181, 128.41728
35, 0.22272, 3190, 653, 219, 140.81194
36, 0.21783, 3190, 659, 220, 160.78868
37, 0.17366, 3190, 614, 238, 245.94919
38, 0.21534, 3190, 600, 253, 179.59399
39, 0.20291, 3190, 611, 169, 131.38112
40, 0.20718, 3190, 635, 184, 207.60780
41, 0.21644, 3190, 672, 208, 177.61475
42, 0.21089, 3190, 644, 146, 125.25574
43, 0.19903, 3190, 655, 230, 177.09320
44, 0.21581, 3190, 665, 146, 121.79901
45, 0.20699, 3190, 647, 187, 107.06540
46, 0.22223, 3190, 674, 220, 144.85510
47, 0.20750, 3190, 668, 185, 112.20963
48, 0.23240, 3190, 718, 239, 156.00000
49, 0.21731, 3190, 717, 244, 83.54041
50, 0.19702, 3190, 696, 186, 190.20778
51, 0.22738, 3190, 747, 190, 270.05554
52, 0.22860, 3190, 798, 242, 166.58931
53, 0.22548, 3190, 844, 246, 111.70049
54, 0.21720, 3190, 842, 245, 146.54010
55, 0.22392, 3190, 821, 296, 168.74538
56, 0.19848, 3190, 769, 261, 219.47893
57, 0.20850, 3190, 770, 242, 138.29317
58, 0.20509, 3190, 747, 154, 175.61606
59, 0.22812, 3190, 760, 236, 173.08957
60, 0.21792, 3190, 796, 222, 194.49936
61, 0.22829, 3190, 839, 258, 172.13077
62, 0.20962, 3190, 849, 207, 204.32571
63, 0.22056, 3190, 843, 190, 130.95038
64, 0.21807, 3190, 857, 241, 99.88994
65, 0.20226, 3190, 838, 193, 194.66382
66, 0.22731, 3190, 863, 254, 175.97726
67, 0.21907, 3190, 844, 205, 164.78773
68, 0.23707, 3190, 815, 233, 165.85234
69, 0.24191, 3190, 815, 237, 176.94632
70, 0.21060, 3190, 748, 209, 238.90375
71, 0.21746, 3190, 798, 210, 190.36543
72, 0.20756, 3190, 787, 223, 229.74986
73, 0.21216, 3190, 744, 203, 229.55827
74, 0.22107, 3190, 782, 223, 155.93588
75, 0.21209, 3190, 735, 267, 199.46428
76, 0.21158, 3190, 727, 196, 219.35815
77, 0.21572, 3190, 762, 183, 178.84351
78, 0.22501, 3190, 767, 261, 211.92688
79, 0.22861, 3190, 792, 190, 101.55787
80, 0.21002, 3190, 698, 193, 250.79274
81, 0.22891, 3190, 755, 177, 180.12773
82, 0.21157, 3190, 769, 258, 163.54510
83, 0.22436, 3190, 753, 183, 177.74701
84, 0.22560, 3190, 757, 243, 171.28923
85, 0.22377, 3190, 803, 262, 216.36543
86, 0.22373, 3190, 801, 241, 114.28911
87, 0.20484, 3190, 823, 204, 152.07564
88, 0.23814, 3190, 866, 197, 164.14018
89, 0.21312, 3190, 832, 252, 104.75209
90, 0.22571, 3190, 874, 339, 102.56705
91, 0.24940, 3190, 888, 312, 150.16658
92, 0.28542, 3190, 974, 239, 130.82431
93, 0.24540, 3190, 954, 305, 118.43564
94, 0.26682, 3190, 969, 217, 184.15211
95, 0.26333, 3190, 962, 168, 265.16599
96, 0.25630, 3190, 821, 162, 171.33885
97, 0.14204, 3190, 459, 199, 121.82774
98, 0.17749, 3190, 501, 121, 164.73616
99, 0.24981, 3190, 873, 281, 191.26422
100, 0.24828, 3190, 1011, 366, 236.55020
