Using BRISK algorithm
Using brute force matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.02134, 0.45002, 0.00098, 0.00099, 5424, 1125, 40, 280.84338, 560.16071
2, 0.01928, 0.46000, 0.00121, 0.00097, 5424, 1153, 60, 272.35272, 574.59985
3, 0.02167, 0.44824, 0.00104, 0.00372, 5424, 1128, 44, 200.31725, 565.66864
4, 0.02165, 0.45089, 0.00093, 0.00094, 5424, 1131, 52, 286.63217, 576.68536
5, 0.02498, 0.44442, 0.00217, 0.00140, 5424, 1122, 39, 235.25093, 564.64679
6, 0.02317, 0.44573, 0.00147, 0.00127, 5424, 1119, 54, 313.79611, 582.24481
7, 0.01796, 0.46153, 0.00095, 0.00107, 5424, 1154, 45, 267.92722, 555.66895
8, 0.02037, 0.43113, 0.00090, 0.00091, 5424, 1082, 28, 288.76981, 561.83630
9, 0.02471, 0.48200, 0.00097, 0.00184, 5424, 1139, 46, 249.67178, 576.51019
10, 0.02229, 0.47713, 0.00098, 0.00159, 5424, 1187, 42, 275.01819, 573.10730
11, 0.02562, 0.47550, 0.00313, 0.00211, 5424, 1179, 47, 230.78561, 585.89758
12, 0.01820, 0.39561, 0.00129, 0.00141, 5424, 1000, 36, 289.47021, 558.73694
13, 0.01789, 0.35090, 0.00089, 0.01809, 5424, 885, 44, 189.49670, 574.62946
14, 0.02005, 0.48079, 0.00092, 0.00205, 5424, 1210, 38, 280.94482, 562.12811
15, 0.02828, 0.47384, 0.00090, 0.00283, 5424, 1171, 41, 258.98840, 568.94727
16, 0.02216, 0.46763, 0.00089, 0.00291, 5424, 1178, 27, 345.04202, 541.27441
17, 0.02835, 0.51319, 0.00093, 0.00398, 5424, 1290, 30, 292.79684, 559.54980
18, 0.02340, 0.49731, 0.00090, 0.00210, 5424, 1252, 49, 297.62393, 561.60309
19, 0.02056, 0.42561, 0.00089, 0.00471, 5424, 1069, 25, 322.54611, 581.05249
20, 0.03185, 0.55839, 0.00166, 0.00061, 5424, 1398, 23, 235.53343, 537.02423
21, 0.02626, 0.56573, 0.00099, 0.00104, 5424, 1430, 45, 299.34595, 544.95044
22, 0.02560, 0.57629, 0.00092, 0.00155, 5424, 1443, 51, 245.40579, 535.57538
23, 0.02284, 0.49960, 0.00115, 0.00236, 5424, 1261, 32, 265.87778, 581.15314
24, 0.02556, 0.49050, 0.00216, 0.00111, 5424, 1233, 27, 279.72485, 543.56689
25, 0.01686, 0.42617, 0.00089, 0.00446, 5424, 1051, 22, 299.22400, 615.14062
26, 0.02303, 0.47824, 0.00089, 0.00138, 5424, 1187, 26, 220.04091, 528.84875
27, 0.02206, 0.49468, 0.00089, 0.00624, 5424, 1246, 50, 274.91998, 545.41547
28, 0.02435, 0.53341, 0.00089, 0.00116, 5424, 1345, 36, 208.39386, 547.48700
29, 0.02110, 0.46329, 0.00089, 0.00281, 5424, 1177, 32, 292.22595, 548.21802
30, 0.02409, 0.54372, 0.00102, 0.00649, 5424, 1301, 31, 276.92056, 552.99005
31, 0.01698, 0.41101, 0.00204, 0.00747, 5424, 1027, 26, 372.09409, 591.63336
32, 0.02578, 0.53672, 0.00094, 0.00133, 5424, 1350, 31, 214.29886, 572.06293
33, 0.02013, 0.48620, 0.00094, 0.00296, 5424, 1207, 39, 328.89359, 563.08081
34, 0.01610, 0.38954, 0.00095, 0.00356, 5424, 968, 23, 327.12994, 568.42328
35, 0.01787, 0.31243, 0.00099, 0.00845, 5424, 785, 21, 269.15237, 585.73114
36, 0.01495, 0.31271, 0.00119, 0.00966, 5424, 780, 16, 363.52991, 605.25116
37, 0.01777, 0.39717, 0.00089, 0.01456, 5424, 1000, 39, 181.85434, 543.74719
38, 0.02383, 0.49849, 0.00122, 0.00105, 5424, 1254, 21, 316.94952, 520.29706
39, 0.02478, 0.55225, 0.00089, 0.00296, 5424, 1388, 37, 245.83531, 521.38373
40, 0.02782, 0.62434, 0.00089, 0.00129, 5424, 1405, 35, 306.36417, 556.93085
41, 0.02728, 0.49398, 0.00089, 0.01082, 5424, 1253, 32, 170.80983, 579.54120
42, 0.02207, 0.45335, 0.00104, 0.01547, 5424, 1130, 30, 346.55157, 562.35400
