Using BRISK algorithm
Using flann-based matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.02145, 0.24662, 0.00135, 0.06205, 5424, 1054, 5424, 36.00000, 203.00000
2, 0.02219, 0.25843, 0.00139, 0.06028, 5424, 1041, 5424, 32.00000, 197.00000
3, 0.02116, 0.28164, 0.00181, 0.06273, 5424, 1080, 5424, 42.00000, 204.00000
4, 0.01671, 0.16978, 0.00159, 0.06903, 5424, 523, 5424, 75.00000, 205.00000
5, 0.02816, 0.32496, 0.00156, 0.06409, 5424, 1659, 5424, 30.00000, 194.00000
6, 0.02502, 0.30182, 0.00128, 0.05913, 5424, 1608, 5424, 26.00000, 192.00000
7, 0.03180, 0.44234, 0.00152, 0.06610, 5424, 1645, 5424, 33.00000, 198.00000
8, 0.03386, 0.34495, 0.00132, 0.06728, 5424, 1541, 5424, 32.00000, 195.00000
9, 0.02700, 0.34281, 0.00158, 0.06531, 5424, 1519, 5424, 24.00000, 202.00000
10, 0.02876, 0.34099, 0.00130, 0.05879, 5424, 1641, 5424, 39.00000, 196.00000
11, 0.03671, 0.41939, 0.00294, 0.05970, 5424, 1870, 5424, 17.00000, 204.00000
12, 0.03363, 0.38338, 0.00130, 0.06283, 5424, 1877, 5424, 20.00000, 194.00000
13, 0.03081, 0.38948, 0.00130, 0.06350, 5424, 1845, 5424, 27.00000, 191.00000
14, 0.02791, 0.36801, 0.00129, 0.05771, 5424, 1697, 5424, 31.00000, 193.00000
15, 0.03155, 0.34116, 0.00129, 0.06270, 5424, 1794, 5424, 31.00000, 197.00000
16, 0.03125, 0.36125, 0.00133, 0.05580, 5424, 1783, 5424, 30.00000, 192.00000
17, 0.02778, 0.36460, 0.00129, 0.05587, 5424, 1788, 5424, 28.00000, 186.00000
18, 0.02839, 0.40540, 0.00136, 0.06233, 5424, 1753, 5424, 35.00000, 191.00000
19, 0.03561, 0.42066, 0.00129, 0.05613, 5424, 1818, 5424, 29.00000, 195.00000
20, 0.03295, 0.34747, 0.00143, 0.06250, 5424, 1648, 5424, 39.00000, 195.00000
21, 0.02784, 0.30923, 0.00130, 0.05872, 5424, 1569, 5424, 41.00000, 198.00000
22, 0.02793, 0.36134, 0.00129, 0.05681, 5424, 1715, 5424, 35.00000, 199.00000
23, 0.03076, 0.32832, 0.00133, 0.05794, 5424, 1715, 5424, 32.00000, 197.00000
24, 0.03228, 0.35742, 0.00129, 0.05716, 5424, 1602, 5424, 31.00000, 198.00000
25, 0.02091, 0.28382, 0.00146, 0.06202, 5424, 1349, 5424, 41.00000, 190.00000
26, 0.02089, 0.26290, 0.00151, 0.05735, 5424, 1132, 5424, 33.00000, 189.00000
27, 0.02616, 0.33325, 0.00129, 0.05608, 5424, 1542, 5424, 28.00000, 189.00000
28, 0.02648, 0.34135, 0.00129, 0.06011, 5424, 1520, 5424, 26.00000, 197.00000
29, 0.02022, 0.24965, 0.00130, 0.06113, 5424, 1164, 5424, 51.00000, 194.00000
30, 0.02909, 0.39090, 0.00366, 0.09232, 5424, 1691, 5424, 30.00000, 198.00000
31, 0.02933, 0.36143, 0.00144, 0.06088, 5424, 1699, 5424, 34.00000, 190.00000
32, 0.03103, 0.41449, 0.00183, 0.06518, 5424, 1648, 5424, 29.00000, 205.00000
33, 0.02867, 0.41973, 0.00173, 0.06092, 5424, 1599, 5424, 35.00000, 193.00000
34, 0.01671, 0.15725, 0.00129, 0.06161, 5424, 761, 5424, 55.00000, 203.00000
35, 0.02704, 0.34790, 0.00129, 0.06320, 5424, 1660, 5424, 39.00000, 190.00000
36, 0.03466, 0.39781, 0.00152, 0.05650, 5424, 1942, 5424, 39.00000, 188.00000
37, 0.03270, 0.45978, 0.00425, 0.06145, 5424, 2007, 5424, 29.00000, 194.00000
38, 0.02813, 0.35133, 0.00258, 0.06545, 5424, 1632, 5424, 26.00000, 210.00000
39, 0.03335, 0.38232, 0.00133, 0.06502, 5424, 1759, 5424, 33.00000, 195.00000
40, 0.03491, 0.37187, 0.00134, 0.06367, 5424, 1750, 5424, 24.00000, 193.00000
41, 0.02988, 0.37571, 0.00200, 0.06026, 5424, 1719, 5424, 27.00000, 204.00000
42, 0.03010, 0.35603, 0.00403, 0.05989, 5424, 1729, 5424, 30.00000, 201.00000
43, 0.03257, 0.42758, 0.00137, 0.06913, 5424, 1786, 5424, 31.00000, 199.00000
44, 0.03637, 0.35007, 0.00293, 0.05826, 5424, 1729, 5424, 32.00000, 192.00000
45, 0.03171, 0.41490, 0.00130, 0.05874, 5424, 1732, 5424, 35.00000, 209.00000
46, 0.02456, 0.32964, 0.00130, 0.05706, 5424, 1281, 5424, 29.00000, 196.00000
47, 0.02244, 0.29050, 0.00288, 0.06207, 5424, 1324, 5424, 44.00000, 203.00000
48, 0.01863, 0.22825, 0.00135, 0.05555, 5424, 996, 5424, 17.00000, 201.00000
49, 0.02165, 0.27490, 0.00130, 0.06240, 5424, 1118, 5424, 41.00000, 206.00000
50, 0.02064, 0.28682, 0.00392, 0.06070, 5424, 1142, 5424, 30.00000, 200.00000
51, 0.02640, 0.33884, 0.00217, 0.06167, 5424, 1483, 5424, 25.00000, 199.00000
52, 0.02501, 0.27966, 0.00156, 0.06107, 5424, 1275, 5424, 32.00000, 204.00000
53, 0.02723, 0.34496, 0.00134, 0.05877, 5424, 1471, 5424, 28.00000, 198.00000
54, 0.02728, 0.29133, 0.00135, 0.05607, 5424, 1518, 5424, 30.00000, 198.00000
55, 0.03136, 0.30634, 0.00142, 0.06023, 5424, 1557, 5424, 25.00000, 197.00000
56, 0.02835, 0.44528, 0.00153, 0.06659, 5424, 1562, 5424, 29.00000, 194.00000
57, 0.02647, 0.36624, 0.00153, 0.06151, 5424, 1601, 5424, 20.00000, 214.00000
58, 0.02857, 0.30136, 0.00154, 0.05953, 5424, 1421, 5424, 20.00000, 202.00000
59, 0.02532, 0.31462, 0.00131, 0.06295, 5424, 1369, 5424, 35.00000, 201.00000
60, 0.02762, 0.32783, 0.00412, 0.05712, 5424, 1303, 5424, 24.00000, 195.00000
61, 0.02548, 0.34405, 0.00130, 0.06000, 5424, 1490, 5424, 28.00000, 205.00000
62, 0.03674, 0.33426, 0.00138, 0.05790, 5424, 1618, 5424, 25.00000, 200.00000
63, 0.03142, 0.38738, 0.00196, 0.06018, 5424, 1658, 5424, 29.00000, 192.00000
64, 0.03305, 0.42988, 0.00130, 0.05976, 5424, 1654, 5424, 28.00000, 198.00000
65, 0.03172, 0.36100, 0.00130, 0.06578, 5424, 1605, 5424, 38.00000, 202.00000
66, 0.02858, 0.30642, 0.00132, 0.05909, 5424, 1425, 5424, 35.00000, 197.00000
67, 0.03519, 0.36570, 0.00134, 0.06025, 5424, 1586, 5424, 33.00000, 197.00000
68, 0.03362, 0.31493, 0.00133, 0.06181, 5424, 1601, 5424, 33.00000, 199.00000
69, 0.03383, 0.30573, 0.00192, 0.05787, 5424, 1599, 5424, 30.00000, 191.00000
