Using SIFT algorithm
Using brute force matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.12934, 0.27266, 0.00087, 0.05863, 3190, 961, 3190, 43.84062, 454.70871
2, 0.11606, 0.25446, 0.00098, 0.04490, 3190, 870, 3190, 38.87158, 439.69647
3, 0.15194, 0.39839, 0.00086, 0.05259, 3190, 1369, 3190, 27.80288, 456.53696
4, 0.13819, 0.35831, 0.00083, 0.04933, 3190, 1218, 3190, 51.15662, 449.27274
5, 0.14077, 0.42282, 0.00149, 0.07195, 3190, 1294, 3190, 31.48015, 454.97803
6, 0.14166, 0.38815, 0.00120, 0.05183, 3190, 1321, 3190, 32.86335, 456.50302
7, 0.13872, 0.36956, 0.00082, 0.05481, 3190, 1262, 3190, 23.34524, 457.87772
8, 0.12906, 0.34326, 0.00227, 0.04552, 3190, 1167, 3190, 45.01111, 459.34518
9, 0.14521, 0.36056, 0.00137, 0.04890, 3190, 1219, 3190, 38.26225, 444.30957
10, 0.13945, 0.36890, 0.00217, 0.04992, 3190, 1259, 3190, 38.41875, 457.46802
11, 0.13999, 0.37550, 0.00135, 0.05286, 3190, 1281, 3190, 31.35283, 439.57822
12, 0.13408, 0.35846, 0.00119, 0.04894, 3190, 1184, 3190, 33.98529, 454.65811
13, 0.12257, 0.25055, 0.00080, 0.05338, 3190, 855, 3190, 34.94281, 461.30902
14, 0.12275, 0.26807, 0.00096, 0.04629, 3190, 906, 3190, 37.16181, 456.81506
15, 0.13766, 0.32210, 0.00137, 0.04837, 3190, 1102, 3190, 29.78255, 455.25159
16, 0.12017, 0.29030, 0.00137, 0.05468, 3190, 989, 3190, 24.12468, 448.24548
17, 0.13989, 0.34323, 0.00083, 0.04767, 3190, 1169, 3190, 24.67793, 449.27051
18, 0.12847, 0.30148, 0.00083, 0.05651, 3190, 1028, 3190, 49.36598, 454.19489
19, 0.14403, 0.33273, 0.00082, 0.04608, 3190, 1124, 3190, 33.66006, 453.74774
20, 0.13601, 0.34965, 0.00132, 0.04842, 3190, 1157, 3190, 34.66987, 454.11893
21, 0.10528, 0.19981, 0.00108, 0.05748, 3190, 678, 3190, 64.48256, 466.25531
22, 0.10568, 0.21361, 0.00085, 0.04834, 3190, 722, 3190, 31.44837, 475.50500
23, 0.12151, 0.26685, 0.00087, 0.04748, 3190, 906, 3190, 46.60472, 448.24100
24, 0.12934, 0.29580, 0.00096, 0.05135, 3190, 1003, 3190, 37.36308, 457.37839
25, 0.12183, 0.29302, 0.00086, 0.05509, 3190, 990, 3190, 49.01020, 439.17422
26, 0.13190, 0.31491, 0.00080, 0.05557, 3190, 1076, 3190, 37.04052, 455.25269
27, 0.13702, 0.29753, 0.00136, 0.04883, 3190, 1008, 3190, 45.67275, 460.90671
28, 0.13075, 0.29616, 0.00133, 0.05208, 3190, 1009, 3190, 37.38984, 461.00867
29, 0.13287, 0.30763, 0.00103, 0.04674, 3190, 1046, 3190, 31.46427, 457.38385
30, 0.12096, 0.29556, 0.00080, 0.04696, 3190, 1001, 3190, 35.05709, 449.14584
31, 0.12943, 0.29210, 0.00091, 0.05208, 3190, 1011, 3190, 39.15355, 456.74500
32, 0.13025, 0.30610, 0.00085, 0.05443, 3190, 1042, 3190, 29.63107, 468.88699
33, 0.13255, 0.31322, 0.00091, 0.04752, 3190, 1058, 3190, 23.57965, 458.14627
34, 0.13387, 0.28967, 0.00081, 0.04820, 3190, 991, 3190, 32.52691, 454.25323
35, 0.13411, 0.30530, 0.00081, 0.05236, 3190, 1028, 3190, 29.24038, 454.35229
36, 0.13312, 0.30679, 0.00080, 0.05327, 3190, 1044, 3190, 34.59769, 452.41574
37, 0.14107, 0.29735, 0.00081, 0.04875, 3190, 1018, 3190, 35.48239, 457.00766
38, 0.13107, 0.31017, 0.00080, 0.05149, 3190, 1045, 3190, 31.84337, 447.02014
39, 0.12237, 0.27736, 0.00103, 0.05822, 3190, 951, 3190, 32.18695, 458.41357
40, 0.13700, 0.30501, 0.00102, 0.04896, 3190, 1027, 3190, 38.03945, 454.79117
41, 0.11897, 0.25354, 0.00083, 0.05123, 3190, 864, 3190, 33.01515, 451.24274
42, 0.11755, 0.28077, 0.00093, 0.05285, 3190, 921, 3190, 42.49706, 468.96909
43, 0.12595, 0.28855, 0.00080, 0.04663, 3190, 987, 3190, 40.06245, 452.86975
44, 0.12794, 0.30535, 0.00080, 0.04975, 3190, 1030, 3190, 48.60041, 469.56149
45, 0.12963, 0.31074, 0.00081, 0.05341, 3190, 1054, 3190, 37.89459, 442.27029
