Using SIFT algorithm
Using flann-based matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.08729, 0.06052, 0.00076, 0.01350, 3190, 293, 136, 32.21801, 330.35132
2, 0.08329, 0.07460, 0.00064, 0.03572, 3190, 339, 78, 54.08327, 302.66980
3, 0.08031, 0.06464, 0.00060, 0.00687, 3190, 356, 80, 72.99315, 317.17346
4, 0.08366, 0.07081, 0.00058, 0.01970, 3190, 336, 92, 46.45428, 317.16556
5, 0.08267, 0.06736, 0.00063, 0.00646, 3190, 341, 129, 54.61685, 312.88336
6, 0.08085, 0.06646, 0.00059, 0.00462, 3190, 318, 120, 61.41661, 345.37662
7, 0.08629, 0.07904, 0.00060, 0.03283, 3190, 367, 108, 40.03748, 338.11981
8, 0.08346, 0.06987, 0.00073, 0.01338, 3190, 341, 78, 67.02238, 324.52890
9, 0.09148, 0.06977, 0.00056, 0.03170, 3190, 362, 51, 51.22499, 301.66040
10, 0.08638, 0.07531, 0.00059, 0.03220, 3190, 362, 109, 36.38681, 334.25439
11, 0.08370, 0.06434, 0.00060, 0.00459, 3190, 346, 132, 42.22559, 320.53238
12, 0.08477, 0.06679, 0.00059, 0.00779, 3190, 354, 122, 31.92178, 340.90616
13, 0.08203, 0.06361, 0.00059, 0.00190, 3190, 334, 85, 122.30699, 297.09259
14, 0.08515, 0.06464, 0.00061, 0.00844, 3190, 329, 165, 48.32184, 344.09302
15, 0.08674, 0.07388, 0.00060, 0.01012, 3190, 359, 126, 71.17584, 312.93930
16, 0.08847, 0.06920, 0.00085, 0.01849, 3190, 350, 126, 45.22168, 295.48941
17, 0.08260, 0.06582, 0.00061, 0.01486, 3190, 350, 136, 39.61060, 330.58887
18, 0.08205, 0.06635, 0.00059, 0.00382, 3190, 341, 111, 65.99242, 331.80115
19, 0.08711, 0.07313, 0.00105, 0.03461, 3190, 348, 133, 54.50688, 309.93869
20, 0.08736, 0.07007, 0.00060, 0.03402, 3190, 358, 112, 64.07808, 329.18231
21, 0.08343, 0.06346, 0.00062, 0.01578, 3190, 324, 191, 42.83690, 338.73883
22, 0.08536, 0.07060, 0.00058, 0.03792, 3190, 352, 78, 44.18144, 341.79965
23, 0.08176, 0.06646, 0.00059, 0.03284, 3190, 351, 93, 54.93633, 312.37799
24, 0.08690, 0.06477, 0.00093, 0.03725, 3190, 330, 131, 34.40930, 330.69623
25, 0.08186, 0.06013, 0.00061, 0.00472, 3190, 311, 138, 71.61005, 309.42688
26, 0.07811, 0.06085, 0.00062, 0.03239, 3190, 314, 90, 53.26350, 326.72620
27, 0.08000, 0.06418, 0.00059, 0.01206, 3190, 318, 108, 58.65151, 332.50714
28, 0.09962, 0.06831, 0.00062, 0.00352, 3190, 344, 113, 72.76675, 317.75461
29, 0.08303, 0.06178, 0.00061, 0.00952, 3190, 328, 170, 74.71278, 312.96805
30, 0.07768, 0.06006, 0.00058, 0.01286, 3190, 326, 82, 136.59428, 314.78247
31, 0.08258, 0.06608, 0.00060, 0.03957, 3190, 322, 103, 30.75711, 357.19601
32, 0.10359, 0.06862, 0.00057, 0.01554, 3190, 321, 57, 47.81213, 317.46338
33, 0.06853, 0.04078, 0.00058, 0.02366, 3190, 198, 100, 75.69676, 325.32907
34, 0.07143, 0.05020, 0.00197, 0.03542, 3190, 245, 104, 58.03447, 334.81488
35, 0.06878, 0.04264, 0.00059, 0.01402, 3190, 223, 126, 63.15061, 344.37479
36, 0.07088, 0.04454, 0.00065, 0.01644, 3190, 219, 114, 119.26441, 330.17722
37, 0.07765, 0.06588, 0.00069, 0.03296, 3190, 338, 100, 85.04117, 340.16907
38, 0.08474, 0.06192, 0.00063, 0.00951, 3190, 328, 140, 83.03011, 326.04907
39, 0.08377, 0.06081, 0.00063, 0.02721, 3190, 321, 88, 80.50466, 324.89075
40, 0.07726, 0.05415, 0.00059, 0.02594, 3190, 272, 92, 94.23906, 334.38303
41, 0.07830, 0.04200, 0.00062, 0.00863, 3190, 213, 172, 80.44874, 337.58112
42, 0.07248, 0.04879, 0.00061, 0.00207, 3190, 258, 146, 73.15736, 321.80273
43, 0.06872, 0.04323, 0.00061, 0.03190, 3190, 230, 85, 89.71622, 329.38123
44, 0.07044, 0.04797, 0.00068, 0.02117, 3190, 220, 71, 82.81908, 307.57275
45, 0.06907, 0.03098, 0.00060, 0.00882, 3190, 158, 134, 75.07996, 379.62085
