Using SIFT algorithm
Using flann-based matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.09231, 0.08357, 0.00095, 0.05141, 3190, 391, 3190, 62.28965, 484.12704
2, 0.09786, 0.09068, 0.00079, 0.04647, 3190, 478, 3190, 63.59245, 468.13351
3, 0.09339, 0.09645, 0.00080, 0.05670, 3190, 468, 3190, 65.85590, 479.03967
4, 0.09288, 0.09882, 0.00085, 0.05550, 3190, 461, 3190, 62.12085, 482.17322
5, 0.08423, 0.08372, 0.00080, 0.04841, 3190, 453, 3190, 70.30647, 479.61963
6, 0.08672, 0.09055, 0.00106, 0.05625, 3190, 480, 3190, 57.66281, 472.51984
7, 0.10438, 0.09689, 0.00095, 0.05260, 3190, 473, 3190, 47.59201, 472.07837
8, 0.11474, 0.09906, 0.00107, 0.05446, 3190, 497, 3190, 61.87083, 490.81158
9, 0.09574, 0.10313, 0.00084, 0.05361, 3190, 457, 3190, 67.84541, 496.54507
10, 0.09118, 0.09870, 0.00095, 0.06171, 3190, 471, 3190, 55.00000, 488.23969
11, 0.08775, 0.09350, 0.00088, 0.06594, 3190, 464, 3190, 52.29723, 473.49869
12, 0.08940, 0.12316, 0.00094, 0.04816, 3190, 488, 3190, 64.42049, 481.03015
13, 0.08749, 0.09351, 0.00081, 0.05169, 3190, 480, 3190, 57.99138, 472.38333
14, 0.09375, 0.08917, 0.00111, 0.05195, 3190, 444, 3190, 46.01087, 486.60663
15, 0.09762, 0.09624, 0.00148, 0.06090, 3190, 443, 3190, 58.38664, 489.10428
16, 0.10268, 0.12306, 0.00094, 0.05520, 3190, 470, 3190, 59.63221, 482.12241
17, 0.10276, 0.09067, 0.00085, 0.06755, 3190, 458, 3190, 43.81781, 484.37589
18, 0.08855, 0.09135, 0.00080, 0.05713, 3190, 451, 3190, 52.58327, 486.15842
19, 0.09664, 0.09586, 0.00122, 0.07058, 3190, 413, 3190, 59.01694, 473.03912
20, 0.09996, 0.12508, 0.00108, 0.07952, 3190, 417, 3190, 55.70458, 507.12817
21, 0.11699, 0.10901, 0.00235, 0.07519, 3190, 448, 3190, 64.28841, 485.10413
22, 0.09080, 0.11417, 0.00091, 0.05577, 3190, 445, 3190, 60.74537, 487.53769
23, 0.10246, 0.12244, 0.00156, 0.05787, 3190, 453, 3190, 65.81793, 477.35208
24, 0.09271, 0.11126, 0.00095, 0.07680, 3190, 438, 3190, 66.12110, 483.42941
25, 0.09279, 0.11228, 0.00085, 0.05115, 3190, 424, 3190, 44.54211, 474.14871
26, 0.09777, 0.10653, 0.00095, 0.06509, 3190, 438, 3190, 66.59579, 483.53595
27, 0.09699, 0.11690, 0.00212, 0.05456, 3190, 441, 3190, 64.34283, 492.13718
28, 0.08648, 0.09443, 0.00151, 0.06326, 3190, 459, 3190, 64.96922, 485.21027
29, 0.09173, 0.10052, 0.00092, 0.05483, 3190, 461, 3190, 57.34108, 478.72122
30, 0.08192, 0.09165, 0.00080, 0.05652, 3190, 439, 3190, 63.99219, 472.62671
31, 0.09195, 0.10578, 0.00087, 0.05997, 3190, 492, 3190, 66.67833, 498.37134
32, 0.09260, 0.09834, 0.00090, 0.05463, 3190, 419, 3190, 63.34035, 514.34814
33, 0.10013, 0.11685, 0.00080, 0.05910, 3190, 525, 3190, 57.72348, 463.91162
34, 0.09578, 0.10282, 0.00093, 0.04964, 3190, 471, 3190, 56.41808, 478.75360
35, 0.09547, 0.09669, 0.00092, 0.05016, 3190, 456, 3190, 51.10773, 495.51187
36, 0.09542, 0.10751, 0.00085, 0.06438, 3190, 491, 3190, 58.50641, 495.00403
37, 0.10371, 0.09823, 0.00086, 0.06922, 3190, 495, 3190, 51.88449, 490.52725
38, 0.10480, 0.11669, 0.00177, 0.05828, 3190, 492, 3190, 52.82991, 495.63998
39, 0.10077, 0.12384, 0.00083, 0.05600, 3190, 517, 3190, 54.02777, 483.49045
40, 0.09456, 0.10481, 0.00094, 0.04563, 3190, 487, 3190, 61.06554, 481.14032
41, 0.08928, 0.10317, 0.00080, 0.05648, 3190, 488, 3190, 69.73521, 483.04453
