Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.09161, 5424, 976, 590, 56.00000
2, 0.10580, 5424, 994, 607, 63.00000
3, 0.08902, 5424, 964, 633, 65.00000
4, 0.08253, 5424, 951, 612, 55.00000
5, 0.09530, 5424, 974, 625, 65.00000
6, 0.08693, 5424, 977, 639, 67.00000
7, 0.08900, 5424, 961, 630, 63.00000
8, 0.09946, 5424, 979, 652, 70.00000
9, 0.08495, 5424, 966, 619, 61.00000
10, 0.08364, 5424, 975, 647, 68.00000
11, 0.08547, 5424, 984, 637, 61.00000
12, 0.08699, 5424, 1006, 640, 67.00000
13, 0.08223, 5424, 951, 622, 59.00000
14, 0.08457, 5424, 967, 612, 61.00000
15, 0.09048, 5424, 991, 666, 59.00000
16, 0.08574, 5424, 980, 659, 65.00000
17, 0.08405, 5424, 962, 642, 58.00000
18, 0.08794, 5424, 957, 613, 62.00000
19, 0.08690, 5424, 966, 638, 67.00000
20, 0.08427, 5424, 948, 617, 63.00000
21, 0.08402, 5424, 981, 626, 66.00000
22, 0.08499, 5424, 981, 639, 66.00000
23, 0.08348, 5424, 962, 619, 65.00000
24, 0.09058, 5424, 997, 633, 62.00000
25, 0.10086, 5424, 992, 627, 63.00000
26, 0.08930, 5424, 988, 625, 67.00000
27, 0.08276, 5424, 965, 638, 67.00000
28, 0.08921, 5424, 958, 651, 66.00000
29, 0.08363, 5424, 965, 624, 60.00000
30, 0.08482, 5424, 970, 632, 66.00000
31, 0.08180, 5424, 950, 614, 67.00000
32, 0.08419, 5424, 962, 634, 66.00000
33, 0.08496, 5424, 964, 649, 62.00000
34, 0.08355, 5424, 971, 654, 65.00000
35, 0.09528, 5424, 990, 640, 69.00000
36, 0.08304, 5424, 975, 650, 65.00000
37, 0.08458, 5424, 982, 657, 62.00000
38, 0.09224, 5424, 1005, 648, 58.00000
39, 0.08304, 5424, 986, 654, 62.00000
40, 0.08472, 5424, 996, 660, 65.00000
41, 0.08675, 5424, 978, 635, 66.00000
42, 0.08859, 5424, 998, 667, 65.00000
43, 0.08259, 5424, 973, 633, 66.00000
44, 0.08345, 5424, 991, 648, 67.00000
45, 0.08893, 5424, 993, 653, 66.00000
46, 0.08930, 5424, 979, 642, 65.00000
47, 0.08306, 5424, 991, 654, 63.00000
48, 0.08781, 5424, 986, 642, 65.00000
49, 0.08707, 5424, 970, 641, 63.00000
50, 0.08636, 5424, 958, 630, 64.00000
51, 0.09531, 5424, 986, 642, 67.00000
52, 0.08645, 5424, 1011, 642, 63.00000
53, 0.09320, 5424, 1014, 650, 67.00000
54, 0.09249, 5424, 986, 647, 67.00000
55, 0.08400, 5424, 995, 657, 66.00000
56, 0.08556, 5424, 981, 642, 62.00000
57, 0.08753, 5424, 992, 648, 65.00000
58, 0.08498, 5424, 1003, 643, 70.00000
59, 0.08432, 5424, 989, 629, 57.00000
60, 0.09083, 5424, 995, 649, 64.00000
61, 0.09542, 5424, 990, 640, 63.00000
62, 0.08208, 5424, 969, 619, 67.00000
63, 0.08287, 5424, 974, 633, 59.00000
64, 0.08973, 5424, 998, 657, 67.00000
65, 0.08738, 5424, 971, 645, 66.00000
66, 0.08550, 5424, 989, 648, 60.00000
67, 0.09270, 5424, 1001, 670, 66.00000
68, 0.08406, 5424, 981, 637, 64.00000
69, 0.08477, 5424, 994, 654, 68.00000
70, 0.08474, 5424, 979, 641, 66.00000
71, 0.08300, 5424, 984, 653, 66.00000
72, 0.08952, 5424, 978, 629, 62.00000
73, 0.08664, 5424, 982, 625, 59.00000
74, 0.08373, 5424, 949, 623, 65.00000
75, 0.09189, 5424, 996, 629, 64.00000
76, 0.10269, 5424, 952, 637, 64.00000
77, 0.09379, 5424, 920, 586, 66.00000
78, 0.07901, 5424, 868, 558, 61.00000
79, 0.08668, 5424, 878, 605, 60.00000
80, 0.10063, 5424, 869, 593, 59.00000
81, 0.08110, 5424, 850, 614, 60.00000
82, 0.08778, 5424, 893, 602, 52.00000
83, 0.08118, 5424, 908, 610, 53.00000
84, 0.08217, 5424, 914, 628, 50.00000
85, 0.07661, 5424, 895, 619, 57.00000
86, 0.07997, 5424, 883, 608, 60.00000
87, 0.08304, 5424, 917, 630, 58.00000
88, 0.08425, 5424, 880, 620, 49.00000
89, 0.08242, 5424, 918, 637, 50.00000
90, 0.09283, 5424, 911, 613, 57.00000
91, 0.08456, 5424, 900, 610, 57.00000
92, 0.08242, 5424, 883, 608, 56.00000
93, 0.08262, 5424, 918, 628, 57.00000
94, 0.08166, 5424, 931, 647, 53.00000
95, 0.08313, 5424, 930, 622, 48.00000
96, 0.08214, 5424, 901, 604, 49.00000
97, 0.08240, 5424, 918, 640, 48.00000
98, 0.08055, 5424, 914, 617, 44.00000
99, 0.08669, 5424, 929, 634, 52.00000
100, 0.08271, 5424, 909, 626, 52.00000
