Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.11139, 5424, 1331, 965, 43.00000
2, 0.11919, 5424, 1282, 944, 37.00000
3, 0.10843, 5424, 1271, 943, 37.00000
4, 0.10469, 5424, 1253, 931, 38.00000
5, 0.10298, 5424, 1265, 922, 38.00000
6, 0.10589, 5424, 1219, 875, 33.00000
7, 0.12293, 5424, 1656, 1094, 32.00000
8, 0.12360, 5424, 1684, 1096, 29.00000
9, 0.12651, 5424, 1766, 1179, 29.00000
10, 0.12463, 5424, 1676, 1108, 29.00000
11, 0.11328, 5424, 1557, 1052, 24.00000
12, 0.12744, 5424, 1560, 1062, 34.00000
13, 0.11871, 5424, 1615, 1102, 21.00000
14, 0.15014, 5424, 1665, 1118, 29.00000
15, 0.12350, 5424, 1645, 1107, 32.00000
16, 0.12416, 5424, 1646, 1097, 36.00000
17, 0.12485, 5424, 1644, 1099, 32.00000
18, 0.11567, 5424, 1633, 1078, 30.00000
19, 0.13254, 5424, 1652, 1092, 30.00000
20, 0.12365, 5424, 1663, 1137, 30.00000
21, 0.12233, 5424, 1656, 1122, 32.00000
22, 0.12096, 5424, 1668, 1122, 34.00000
23, 0.12021, 5424, 1629, 1112, 37.00000
24, 0.11982, 5424, 1596, 1096, 45.00000
25, 0.12341, 5424, 1659, 1133, 37.00000
26, 0.11550, 5424, 1606, 1091, 33.00000
27, 0.12828, 5424, 1617, 1086, 34.00000
28, 0.12255, 5424, 1655, 1114, 29.00000
29, 0.11628, 5424, 1644, 1114, 23.00000
30, 0.11783, 5424, 1675, 1132, 33.00000
31, 0.12395, 5424, 1682, 1122, 25.00000
32, 0.11945, 5424, 1664, 1122, 34.00000
33, 0.12393, 5424, 1583, 1094, 42.00000
34, 0.11564, 5424, 1598, 1098, 33.00000
35, 0.12458, 5424, 1660, 1115, 31.00000
36, 0.12915, 5424, 1826, 1225, 35.00000
37, 0.12770, 5424, 1774, 1188, 34.00000
38, 0.13823, 5424, 1805, 1216, 34.00000
39, 0.13078, 5424, 1756, 1157, 35.00000
40, 0.12842, 5424, 1736, 1159, 30.00000
41, 0.12231, 5424, 1700, 1153, 35.00000
42, 0.12706, 5424, 1738, 1152, 26.00000
43, 0.12240, 5424, 1720, 1163, 30.00000
44, 0.12321, 5424, 1696, 1133, 32.00000
45, 0.11749, 5424, 1672, 1129, 29.00000
46, 0.11944, 5424, 1705, 1143, 40.00000
47, 0.12629, 5424, 1736, 1158, 36.00000
48, 0.13418, 5424, 1746, 1179, 49.00000
49, 0.12011, 5424, 1698, 1118, 37.00000
50, 0.12792, 5424, 1791, 1189, 32.00000
51, 0.12559, 5424, 1764, 1165, 30.00000
52, 0.12420, 5424, 1782, 1164, 34.00000
53, 0.12673, 5424, 1763, 1162, 34.00000
54, 0.12968, 5424, 1767, 1171, 36.00000
55, 0.12458, 5424, 1774, 1164, 32.00000
56, 0.12655, 5424, 1718, 1124, 31.00000
57, 0.12528, 5424, 1749, 1163, 27.00000
58, 0.12151, 5424, 1604, 1067, 41.00000
59, 0.12087, 5424, 1590, 1069, 48.00000
60, 0.10595, 5424, 1450, 999, 52.00000
61, 0.10805, 5424, 1359, 951, 55.00000
62, 0.11483, 5424, 1424, 985, 40.00000
63, 0.10983, 5424, 1456, 1014, 25.00000
64, 0.11301, 5424, 1439, 998, 45.00000
65, 0.13015, 5424, 1662, 1145, 40.00000
66, 0.13177, 5424, 1877, 1220, 34.00000
67, 0.14058, 5424, 1927, 1273, 37.00000
68, 0.13277, 5424, 1880, 1230, 41.00000
69, 0.12663, 5424, 1812, 1224, 49.00000
70, 0.12256, 5424, 1774, 1156, 37.00000
71, 0.12513, 5424, 1805, 1180, 41.00000
72, 0.15959, 5424, 1923, 1271, 25.00000
73, 0.12860, 5424, 1913, 1254, 26.00000
74, 0.13594, 5424, 1959, 1276, 32.00000
75, 0.14712, 5424, 1966, 1272, 28.00000
76, 0.13519, 5424, 1946, 1283, 28.00000
77, 0.13629, 5424, 1940, 1282, 30.00000
78, 0.15012, 5424, 1911, 1253, 27.00000
79, 0.14067, 5424, 1982, 1290, 34.00000
80, 0.14544, 5424, 2004, 1316, 30.00000
81, 0.14083, 5424, 1947, 1289, 35.00000
82, 0.13695, 5424, 1948, 1285, 33.00000
83, 0.14683, 5424, 1954, 1261, 32.00000
84, 0.13279, 5424, 1892, 1253, 34.00000
85, 0.12007, 5424, 1647, 1152, 33.00000
86, 0.14524, 5424, 1914, 1251, 29.00000
87, 0.13520, 5424, 1908, 1265, 23.00000
88, 0.13233, 5424, 1869, 1239, 26.00000
89, 0.10927, 5424, 1368, 964, 42.00000
90, 0.10240, 5424, 1284, 912, 58.00000
91, 0.11574, 5424, 1554, 1086, 36.00000
92, 0.12840, 5424, 1806, 1203, 39.00000
93, 0.13008, 5424, 1820, 1260, 39.00000
94, 0.12119, 5424, 1763, 1211, 39.00000
95, 0.12676, 5424, 1736, 1176, 35.00000
96, 0.12879, 5424, 1705, 1166, 45.00000
97, 0.14480, 5424, 1710, 1168, 25.00000
98, 0.12824, 5424, 1723, 1164, 31.00000
99, 0.12626, 5424, 1724, 1183, 37.00000
100, 0.12441, 5424, 1691, 1164, 43.00000
