Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.29021, 3190, 911, 3190, 23.62202
2, 0.31226, 3190, 916, 3190, 34.29286
3, 0.29055, 3190, 955, 3190, 33.34666
4, 0.33238, 3190, 1078, 3190, 23.40940
5, 0.28690, 3190, 1074, 3190, 39.58535
6, 0.30580, 3190, 1106, 3190, 34.74191
7, 0.30081, 3190, 1133, 3190, 32.01562
8, 0.30418, 3190, 1173, 3190, 29.89983
9, 0.30089, 3190, 1149, 3190, 23.43075
10, 0.34290, 3190, 1273, 3190, 36.70150
11, 0.33108, 3190, 1330, 3190, 28.01785
12, 0.33555, 3190, 1234, 3190, 23.74868
13, 0.22720, 3190, 736, 3190, 37.86819
14, 0.29960, 3190, 1099, 3190, 31.82766
15, 0.31552, 3190, 1206, 3190, 33.37664
16, 0.36080, 3190, 1282, 3190, 32.44996
17, 0.32978, 3190, 1257, 3190, 31.48015
18, 0.29897, 3190, 993, 3190, 28.96550
19, 0.29985, 3190, 1057, 3190, 55.91064
20, 0.29312, 3190, 994, 3190, 50.02999
21, 0.29149, 3190, 1023, 3190, 28.51315
22, 0.25887, 3190, 877, 3190, 62.82515
23, 0.29715, 3190, 1036, 3190, 36.23534
24, 0.31538, 3190, 1109, 3190, 21.30728
25, 0.29316, 3190, 1095, 3190, 37.69616
26, 0.30349, 3190, 1078, 3190, 42.77850
27, 0.27499, 3190, 961, 3190, 39.83717
28, 0.31717, 3190, 1135, 3190, 36.67424
29, 0.29044, 3190, 1027, 3190, 39.52214
30, 0.31522, 3190, 1133, 3190, 41.88078
31, 0.30998, 3190, 1119, 3190, 37.66962
32, 0.31918, 3190, 1191, 3190, 38.67816
33, 0.29937, 3190, 1122, 3190, 36.51027
34, 0.27417, 3190, 984, 3190, 28.24889
35, 0.30906, 3190, 1179, 3190, 30.31501
36, 0.33899, 3190, 1263, 3190, 32.26453
37, 0.31275, 3190, 1207, 3190, 26.87006
38, 0.33715, 3190, 1156, 3190, 30.90307
39, 0.30813, 3190, 1143, 3190, 32.66497
40, 0.31201, 3190, 1184, 3190, 32.71085
41, 0.31587, 3190, 1225, 3190, 31.24100
42, 0.32142, 3190, 1183, 3190, 41.21893
43, 0.31347, 3190, 1193, 3190, 38.82010
44, 0.30871, 3190, 1143, 3190, 39.78693
45, 0.31764, 3190, 1185, 3190, 26.03843
46, 0.30602, 3190, 1117, 3190, 22.36068
47, 0.31038, 3190, 1121, 3190, 33.18132
48, 0.31167, 3190, 1181, 3190, 31.67018
49, 0.31573, 3190, 1157, 3190, 38.31449
50, 0.31447, 3190, 1187, 3190, 38.06573
51, 0.30881, 3190, 1166, 3190, 22.20360
52, 0.31825, 3190, 1214, 3190, 40.59557
53, 0.31856, 3190, 1175, 3190, 34.94281
54, 0.30912, 3190, 1167, 3190, 36.75595
55, 0.31262, 3190, 1170, 3190, 28.03569
56, 0.31597, 3190, 1195, 3190, 37.26929
57, 0.31742, 3190, 1210, 3190, 35.31289
58, 0.31743, 3190, 1179, 3190, 32.60368
59, 0.30170, 3190, 1164, 3190, 35.63706
60, 0.32150, 3190, 1144, 3190, 29.46184
61, 0.32309, 3190, 1202, 3190, 22.09072
62, 0.32712, 3190, 1174, 3190, 39.64846
63, 0.31467, 3190, 1197, 3190, 32.68027
64, 0.31419, 3190, 1180, 3190, 31.19295
65, 0.30878, 3190, 1188, 3190, 27.51363
66, 0.30795, 3190, 1194, 3190, 36.93237
67, 0.33331, 3190, 1237, 3190, 34.84250
68, 0.34249, 3190, 1249, 3190, 33.94112
69, 0.34701, 3190, 1233, 3190, 35.87478
70, 0.33560, 3190, 1260, 3190, 33.16625
71, 0.32238, 3190, 1245, 3190, 31.40064
72, 0.29071, 3190, 1106, 3190, 28.80972
73, 0.30580, 3190, 1129, 3190, 28.89637
74, 0.30433, 3190, 1159, 3190, 31.51190
75, 0.30908, 3190, 1158, 3190, 36.37307
76, 0.29349, 3190, 1070, 3190, 33.25658
77, 0.23216, 3190, 774, 3190, 34.17601
78, 0.24335, 3190, 784, 3190, 48.43552
79, 0.27808, 3190, 891, 3190, 44.83302
80, 0.24628, 3190, 847, 3190, 42.75512
81, 0.28113, 3190, 938, 3190, 45.35416
82, 0.27951, 3190, 1020, 3190, 24.02082
83, 0.28949, 3190, 1071, 3190, 36.23534
84, 0.30576, 3190, 1161, 3190, 36.16628
85, 0.31238, 3190, 1140, 3190, 32.69556
86, 0.31241, 3190, 1169, 3190, 24.59675
87, 0.29780, 3190, 1125, 3190, 35.48239
88, 0.31170, 3190, 1194, 3190, 29.58040
89, 0.30659, 3190, 1197, 3190, 23.13007
90, 0.32175, 3190, 1240, 3190, 27.87472
91, 0.30750, 3190, 1196, 3190, 28.47806
92, 0.33690, 3190, 1253, 3190, 34.65545
93, 0.36433, 3190, 1317, 3190, 24.02082
94, 0.31525, 3190, 1248, 3190, 21.93171
95, 0.32351, 3190, 1230, 3190, 23.23790
96, 0.31825, 3190, 1237, 3190, 22.56103
97, 0.31802, 3190, 1233, 3190, 32.75668
98, 0.32424, 3190, 1250, 3190, 21.23676
99, 0.32768, 3190, 1259, 3190, 25.96151
100, 0.33340, 3190, 1231, 3190, 27.31300
