Frame, Time to process, Training Descriptors, Query Descriptors, Matches
1, 0.06740, 5424, 618, 439
2, 0.08753, 5424, 712, 538
3, 0.07422, 5424, 766, 577
4, 0.07503, 5424, 786, 577
5, 0.07345, 5424, 777, 568
6, 0.07544, 5424, 782, 571
7, 0.07873, 5424, 799, 579
8, 0.07546, 5424, 770, 563
9, 0.07812, 5424, 778, 574
10, 0.07885, 5424, 804, 605
11, 0.07590, 5424, 793, 573
12, 0.08187, 5424, 801, 603
13, 0.08270, 5424, 799, 583
14, 0.08522, 5424, 800, 596
15, 0.08905, 5424, 816, 611
16, 0.08501, 5424, 814, 605
17, 0.08367, 5424, 806, 609
18, 0.07968, 5424, 799, 578
19, 0.07559, 5424, 799, 599
20, 0.07929, 5424, 796, 585
21, 0.07832, 5424, 789, 589
22, 0.07935, 5424, 802, 590
23, 0.08525, 5424, 790, 594
24, 0.08034, 5424, 810, 601
25, 0.07935, 5424, 793, 583
26, 0.10750, 5424, 787, 578
27, 0.08235, 5424, 788, 582
28, 0.07964, 5424, 783, 595
29, 0.08094, 5424, 792, 611
30, 0.08211, 5424, 795, 592
31, 0.08752, 5424, 782, 580
32, 0.07734, 5424, 795, 596
33, 0.07494, 5424, 788, 583
34, 0.08886, 5424, 787, 576
35, 0.08580, 5424, 783, 580
36, 0.08208, 5424, 788, 589
37, 0.08058, 5424, 779, 582
38, 0.08123, 5424, 773, 575
39, 0.08006, 5424, 786, 582
40, 0.08394, 5424, 776, 580
41, 0.07629, 5424, 776, 580
42, 0.07599, 5424, 796, 587
43, 0.07678, 5424, 798, 592
44, 0.08806, 5424, 797, 580
45, 0.08799, 5424, 768, 562
46, 0.07783, 5424, 780, 589
47, 0.07961, 5424, 774, 574
48, 0.08198, 5424, 781, 569
49, 0.07558, 5424, 791, 583
50, 0.07593, 5424, 774, 580
51, 0.07745, 5424, 812, 605
52, 0.08475, 5424, 780, 568
53, 0.07513, 5424, 761, 554
54, 0.07856, 5424, 771, 575
55, 0.07903, 5424, 753, 567
56, 0.07535, 5424, 783, 572
57, 0.08038, 5424, 784, 584
58, 0.08581, 5424, 771, 568
59, 0.08035, 5424, 778, 574
60, 0.08010, 5424, 791, 586
61, 0.07831, 5424, 773, 580
62, 0.07777, 5424, 786, 572
63, 0.07431, 5424, 766, 582
64, 0.07384, 5424, 774, 578
65, 0.07522, 5424, 781, 584
66, 0.07876, 5424, 756, 563
67, 0.07489, 5424, 750, 567
68, 0.08413, 5424, 761, 575
69, 0.08607, 5424, 775, 586
70, 0.07735, 5424, 758, 583
71, 0.07599, 5424, 752, 566
72, 0.07935, 5424, 781, 571
73, 0.07573, 5424, 781, 591
74, 0.08312, 5424, 775, 564
75, 0.07914, 5424, 785, 585
76, 0.07950, 5424, 766, 567
77, 0.07768, 5424, 762, 569
78, 0.08965, 5424, 767, 570
79, 0.08078, 5424, 784, 567
80, 0.08399, 5424, 778, 573
81, 0.08168, 5424, 755, 568
82, 0.07908, 5424, 791, 581
83, 0.07767, 5424, 793, 584
84, 0.09276, 5424, 784, 582
85, 0.08003, 5424, 757, 566
86, 0.07769, 5424, 795, 593
87, 0.07903, 5424, 778, 588
88, 0.08117, 5424, 800, 589
89, 0.07905, 5424, 778, 562
90, 0.08573, 5424, 809, 604
91, 0.08410, 5424, 815, 598
92, 0.08122, 5424, 777, 570
93, 0.08330, 5424, 789, 575
94, 0.07914, 5424, 768, 565
95, 0.07539, 5424, 778, 568
96, 0.07852, 5424, 771, 567
97, 0.07467, 5424, 770, 560
98, 0.08177, 5424, 781, 592
99, 0.07905, 5424, 766, 560
100, 0.08335, 5424, 800, 572
101, 0.07447, 5424, 760, 577
102, 0.07197, 5424, 757, 568
103, 0.08002, 5424, 810, 602
104, 0.07630, 5424, 794, 584
105, 0.07880, 5424, 776, 578
106, 0.07827, 5424, 779, 574
107, 0.07437, 5424, 764, 566
108, 0.07610, 5424, 779, 583
