Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.25321, 5424, 825, 36
2, 0.27135, 5424, 980, 43
3, 0.30521, 5424, 994, 36
4, 0.37550, 5424, 993, 32
5, 0.29003, 5424, 1015, 36
6, 0.27163, 5424, 1019, 39
7, 0.30353, 5424, 1035, 39
8, 0.29776, 5424, 1036, 43
9, 0.29845, 5424, 1041, 30
10, 0.28415, 5424, 1019, 37
11, 0.29418, 5424, 1019, 26
12, 0.25909, 5424, 1024, 29
13, 0.28054, 5424, 1018, 31
14, 0.30229, 5424, 1035, 36
15, 0.26516, 5424, 1033, 40
16, 0.26351, 5424, 1042, 33
17, 0.26451, 5424, 1038, 39
18, 0.30687, 5424, 1044, 36
19, 0.30153, 5424, 1019, 30
20, 0.27800, 5424, 1032, 38
21, 0.26173, 5424, 1038, 43
22, 0.27073, 5424, 1024, 25
23, 0.25782, 5424, 1036, 29
24, 0.30064, 5424, 1041, 32
25, 0.29389, 5424, 1042, 34
26, 0.33067, 5424, 1034, 33
27, 0.28257, 5424, 1026, 29
28, 0.30955, 5424, 1014, 38
29, 0.31039, 5424, 1039, 35
30, 0.32181, 5424, 1027, 31
31, 0.27892, 5424, 1037, 36
32, 0.33271, 5424, 1049, 43
33, 0.34590, 5424, 997, 33
34, 0.26759, 5424, 1015, 39
35, 0.29509, 5424, 999, 40
36, 0.26629, 5424, 1017, 33
37, 0.31547, 5424, 1043, 45
38, 0.27560, 5424, 1007, 37
39, 0.26693, 5424, 1040, 44
40, 0.25158, 5424, 1008, 37
41, 0.28385, 5424, 998, 28
42, 0.27133, 5424, 1028, 35
43, 0.29790, 5424, 1019, 50
44, 0.25335, 5424, 1028, 35
45, 0.30567, 5424, 1014, 34
46, 0.30230, 5424, 1034, 41
47, 0.29254, 5424, 1012, 35
48, 0.27173, 5424, 1009, 35
49, 0.30929, 5424, 1001, 36
50, 0.31342, 5424, 1002, 25
51, 0.35910, 5424, 997, 25
52, 0.28293, 5424, 1030, 30
53, 0.33319, 5424, 1016, 32
54, 0.24001, 5424, 1027, 32
55, 0.28864, 5424, 1038, 25
56, 0.37998, 5424, 1005, 45
57, 0.28384, 5424, 989, 35
58, 0.26935, 5424, 998, 37
59, 0.34110, 5424, 1030, 26
60, 0.36055, 5424, 1037, 39
61, 0.31283, 5424, 1030, 39
62, 0.28386, 5424, 1003, 31
63, 0.33524, 5424, 1021, 40
64, 0.34809, 5424, 997, 36
65, 0.28721, 5424, 1021, 25
66, 0.30094, 5424, 1020, 29
67, 0.34076, 5424, 1053, 44
68, 0.26348, 5424, 1034, 31
69, 0.27664, 5424, 1036, 43
70, 0.29849, 5424, 1026, 38
71, 0.34248, 5424, 1033, 36
72, 0.28964, 5424, 999, 42
73, 0.26611, 5424, 1021, 37
74, 0.28714, 5424, 1013, 28
75, 0.29991, 5424, 1028, 25
76, 0.34294, 5424, 1037, 29
77, 0.32333, 5424, 1012, 36
78, 0.33899, 5424, 1041, 39
79, 0.28684, 5424, 1026, 43
80, 0.26545, 5424, 1038, 31
81, 0.30023, 5424, 1030, 27
82, 0.25813, 5424, 1029, 36
83, 0.28969, 5424, 1049, 32
84, 0.27159, 5424, 1031, 30
85, 0.32908, 5424, 1006, 33
86, 0.24949, 5424, 998, 35
