Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.18236, 3190, 426, 94
2, 0.14326, 3190, 442, 133
3, 0.14130, 3190, 442, 133
4, 0.13794, 3190, 445, 112
5, 0.14537, 3190, 434, 117
6, 0.14861, 3190, 467, 132
7, 0.15240, 3190, 459, 73
8, 0.15337, 3190, 452, 93
9, 0.18302, 3190, 444, 107
10, 0.15598, 3190, 457, 121
11, 0.13808, 3190, 419, 152
12, 0.14008, 3190, 436, 129
13, 0.14783, 3190, 460, 121
14, 0.13598, 3190, 469, 120
15, 0.15112, 3190, 473, 118
16, 0.17561, 3190, 453, 141
17, 0.13842, 3190, 475, 123
18, 0.14566, 3190, 464, 102
19, 0.13231, 3190, 459, 131
20, 0.14365, 3190, 465, 136
21, 0.14410, 3190, 459, 172
22, 0.13822, 3190, 434, 188
23, 0.13172, 3190, 441, 137
24, 0.14314, 3190, 435, 160
25, 0.14994, 3190, 442, 127
26, 0.13804, 3190, 440, 89
27, 0.16765, 3190, 472, 122
28, 0.14680, 3190, 459, 159
29, 0.14148, 3190, 470, 137
30, 0.14136, 3190, 449, 127
31, 0.15327, 3190, 466, 128
32, 0.15951, 3190, 505, 111
33, 0.14530, 3190, 492, 140
34, 0.13561, 3190, 440, 137
35, 0.14105, 3190, 444, 132
36, 0.14371, 3190, 473, 171
37, 0.14723, 3190, 459, 182
38, 0.14714, 3190, 458, 155
39, 0.13879, 3190, 458, 176
40, 0.15630, 3190, 499, 209
41, 0.13840, 3190, 469, 185
42, 0.15895, 3190, 498, 156
43, 0.13940, 3190, 466, 202
44, 0.14433, 3190, 479, 155
45, 0.15414, 3190, 482, 190
46, 0.14983, 3190, 463, 200
47, 0.14651, 3190, 483, 168
48, 0.15008, 3190, 488, 179
49, 0.15050, 3190, 480, 156
50, 0.15284, 3190, 451, 194
51, 0.13922, 3190, 449, 193
52, 0.15197, 3190, 471, 189
53, 0.14179, 3190, 494, 174
54, 0.14750, 3190, 481, 213
55, 0.13603, 3190, 448, 182
56, 0.13561, 3190, 465, 181
57, 0.13616, 3190, 469, 161
58, 0.18068, 3190, 483, 201
59, 0.14567, 3190, 488, 124
60, 0.15426, 3190, 453, 190
61, 0.13615, 3190, 470, 162
62, 0.13227, 3190, 451, 162
63, 0.14036, 3190, 474, 160
64, 0.14545, 3190, 492, 177
65, 0.14138, 3190, 482, 178
66, 0.14508, 3190, 484, 146
67, 0.14349, 3190, 448, 159
68, 0.13911, 3190, 466, 185
69, 0.13961, 3190, 482, 166
70, 0.14566, 3190, 475, 154
71, 0.14391, 3190, 485, 169
72, 0.13354, 3190, 472, 150
73, 0.13058, 3190, 464, 167
74, 0.14137, 3190, 463, 159
75, 0.13482, 3190, 462, 176
76, 0.13239, 3190, 467, 185
77, 0.15034, 3190, 496, 196
78, 0.15884, 3190, 483, 189
79, 0.15248, 3190, 521, 167
80, 0.16169, 3190, 515, 148
81, 0.14899, 3190, 497, 187
82, 0.13897, 3190, 487, 189
83, 0.14498, 3190, 479, 171
84, 0.16223, 3190, 501, 144
85, 0.15104, 3190, 477, 169
86, 0.15257, 3190, 461, 190
87, 0.17404, 3190, 486, 169
88, 0.15514, 3190, 487, 192
89, 0.16220, 3190, 498, 173
90, 0.17244, 3190, 476, 160
91, 0.13768, 3190, 482, 170
92, 0.15063, 3190, 471, 184
93, 0.13881, 3190, 442, 165
94, 0.15203, 3190, 490, 191
95, 0.14758, 3190, 489, 188
96, 0.14896, 3190, 464, 174
97, 0.14699, 3190, 469, 198
98, 0.14470, 3190, 494, 159
99, 0.13598, 3190, 482, 161
100, 0.14760, 3190, 478, 186
101, 0.13695, 3190, 462, 187
102, 0.14966, 3190, 498, 184
103, 0.14762, 3190, 481, 139
104, 0.14112, 3190, 471, 168
105, 0.15344, 3190, 471, 130
106, 0.14060, 3190, 464, 180
107, 0.15542, 3190, 455, 113
108, 0.16308, 3190, 517, 102
109, 0.13539, 3190, 417, 146
110, 0.18925, 3190, 682, 145
111, 0.20078, 3190, 697, 89
112, 0.20492, 3190, 685, 92
113, 0.19943, 3190, 671, 117
114, 0.23307, 3190, 683, 163
115, 0.20737, 3190, 647, 107
116, 0.21513, 3190, 638, 96
117, 0.19147, 3190, 654, 108
118, 0.16010, 3190, 576, 112
119, 0.14904, 3190, 395, 80
120, 0.15568, 3190, 456, 79
121, 0.11779, 3190, 299, 104
122, 0.09869, 3190, 269, 141
123, 0.09394, 3190, 249, 145
124, 0.11239, 3190, 210, 145
125, 0.09909, 3190, 202, 95
126, 0.08658, 3190, 191, 124
127, 0.08661, 3190, 192, 120
128, 0.08302, 3190, 195, 135
129, 0.08862, 3190, 184, 93
130, 0.08085, 3190, 192, 103
131, 0.09534, 3190, 201, 167
132, 0.08625, 3190, 191, 135
133, 0.10643, 3190, 192, 176
134, 0.08647, 3190, 193, 118
135, 0.09708, 3190, 191, 54
136, 0.09301, 3190, 188, 63
137, 0.09974, 3190, 248, 118
138, 0.10507, 3190, 219, 124
139, 0.12393, 3190, 261, 65
140, 0.13965, 3190, 327, 74
141, 0.15612, 3190, 514, 114
142, 0.16519, 3190, 569, 93
143, 0.17217, 3190, 568, 127
144, 0.15335, 3190, 541, 121
145, 0.17128, 3190, 511, 78
146, 0.18811, 3190, 518, 69
147, 0.18897, 3190, 502, 101
148, 0.15283, 3190, 524, 89
149, 0.17371, 3190, 512, 73
150, 0.15508, 3190, 514, 107
151, 0.19345, 3190, 537, 128
152, 0.18258, 3190, 543, 70
153, 0.15770, 3190, 520, 159
154, 0.18973, 3190, 534, 93
155, 0.17953, 3190, 514, 60
156, 0.18858, 3190, 536, 90
157, 0.14739, 3190, 521, 90
158, 0.18443, 3190, 500, 71
159, 0.14820, 3190, 508, 125
160, 0.16702, 3190, 520, 107
161, 0.17608, 3190, 519, 104
162, 0.17949, 3190, 521, 111
163, 0.15005, 3190, 526, 109
164, 0.14971, 3190, 520, 104
165, 0.15187, 3190, 510, 98
166, 0.18453, 3190, 499, 93
167, 0.18221, 3190, 516, 116
168, 0.18398, 3190, 546, 70
169, 0.15784, 3190, 510, 87
170, 0.17903, 3190, 480, 53
171, 0.18596, 3190, 534, 82
172, 0.17883, 3190, 520, 65
173, 0.19203, 3190, 514, 77
174, 0.16993, 3190, 523, 115
175, 0.17050, 3190, 504, 62
176, 0.14617, 3190, 512, 118
177, 0.16960, 3190, 501, 126
178, 0.15822, 3190, 508, 93
179, 0.17565, 3190, 503, 105
180, 0.17774, 3190, 501, 75
181, 0.17221, 3190, 525, 92
182, 0.18585, 3190, 531, 119
183, 0.15894, 3190, 492, 86
184, 0.14967, 3190, 525, 91
185, 0.17116, 3190, 482, 84
186, 0.17724, 3190, 506, 64
187, 0.17123, 3190, 499, 80
188, 0.17169, 3190, 544, 101
189, 0.17747, 3190, 518, 83
190, 0.18139, 3190, 524, 72
191, 0.18088, 3190, 507, 76
192, 0.17534, 3190, 518, 90
193, 0.18395, 3190, 524, 82
194, 0.18285, 3190, 502, 85
195, 0.17518, 3190, 497, 82
196, 0.15768, 3190, 508, 101
197, 0.17892, 3190, 480, 98
198, 0.15765, 3190, 508, 87
199, 0.18176, 3190, 531, 101
200, 0.15670, 3190, 519, 86
201, 0.19427, 3190, 517, 77
202, 0.14599, 3190, 481, 113
203, 0.15296, 3190, 487, 111
