Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.13715, 3190, 748, 385, 92.19002
2, 0.15806, 3190, 870, 430, 114.95651
3, 0.18196, 3190, 842, 409, 138.70473
4, 0.13835, 3190, 800, 407, 229.87605
5, 0.13756, 3190, 859, 396, 187.90157
6, 0.15555, 3190, 1034, 396, 205.05365
7, 0.15248, 3190, 1035, 426, 270.78775
8, 0.14469, 3190, 991, 342, 78.84795
9, 0.14752, 3190, 949, 332, 83.69588
10, 0.14069, 3190, 966, 303, 173.70090
11, 0.14455, 3190, 909, 294, 190.73018
12, 0.13836, 3190, 900, 246, 209.56860
13, 0.13598, 3190, 885, 294, 149.00336
14, 0.14391, 3190, 891, 261, 219.29433
15, 0.13011, 3190, 860, 233, 245.35281
16, 0.13340, 3190, 846, 141, 265.52588
17, 0.14952, 3190, 795, 136, 133.96268
18, 0.13474, 3190, 816, 299, 158.31615
19, 0.13419, 3190, 731, 281, 226.63406
20, 0.13063, 3190, 760, 278, 168.04166
21, 0.12698, 3190, 821, 295, 121.49897
22, 0.13735, 3190, 887, 283, 176.68333
23, 0.13685, 3190, 898, 251, 180.08054
24, 0.13983, 3190, 915, 215, 192.25504
25, 0.14273, 3190, 918, 302, 168.83128
26, 0.13610, 3190, 887, 295, 148.84219
27, 0.13999, 3190, 870, 262, 240.78621
28, 0.13657, 3190, 893, 287, 78.25599
29, 0.14212, 3190, 852, 319, 156.32977
30, 0.13333, 3190, 878, 268, 181.85709
31, 0.14419, 3190, 865, 296, 189.73929
32, 0.13932, 3190, 877, 312, 278.46902
33, 0.13888, 3190, 832, 281, 162.59766
34, 0.13212, 3190, 739, 256, 191.72375
35, 0.13494, 3190, 729, 250, 207.13281
36, 0.12222, 3190, 719, 226, 95.68699
37, 0.13359, 3190, 735, 249, 106.97663
38, 0.12398, 3190, 714, 210, 166.56230
39, 0.13345, 3190, 707, 241, 97.10303
40, 0.12785, 3190, 728, 207, 186.52882
41, 0.13658, 3190, 743, 162, 127.65187
42, 0.15701, 3190, 753, 176, 119.33147
43, 0.14099, 3190, 735, 228, 117.22628
44, 0.14664, 3190, 730, 243, 158.18660
45, 0.14910, 3190, 717, 196, 299.30084
46, 0.15298, 3190, 733, 258, 170.37018
47, 0.14428, 3190, 697, 210, 184.52371
48, 0.14872, 3190, 700, 198, 203.92645
49, 0.14795, 3190, 672, 165, 139.98572
50, 0.14683, 3190, 699, 203, 191.22499
51, 0.15129, 3190, 678, 178, 232.34457
52, 0.12246, 3190, 643, 148, 107.16343
53, 0.12585, 3190, 664, 200, 156.42889
54, 0.15507, 3190, 700, 211, 162.41306
55, 0.13862, 3190, 616, 149, 302.23004
56, 0.13979, 3190, 653, 161, 154.92578
57, 0.14601, 3190, 679, 219, 191.23807
58, 0.14967, 3190, 744, 279, 102.48902
59, 0.14726, 3190, 762, 238, 231.67650
60, 0.15247, 3190, 729, 258, 96.38983
61, 0.14381, 3190, 728, 253, 193.22008
62, 0.14235, 3190, 745, 250, 95.92184
63, 0.15216, 3190, 740, 219, 222.50842
64, 0.14893, 3190, 779, 228, 141.50618
65, 0.15490, 3190, 731, 221, 177.01129
66, 0.15621, 3190, 793, 220, 83.18654
67, 0.14286, 3190, 787, 244, 135.41418
68, 0.14570, 3190, 818, 216, 101.08907
69, 0.13973, 3190, 826, 212, 181.29533
70, 0.14724, 3190, 803, 238, 246.73669
71, 0.13946, 3190, 818, 244, 110.19528
72, 0.14449, 3190, 835, 265, 133.79836
73, 0.13384, 3190, 834, 222, 123.68104
74, 0.13379, 3190, 835, 258, 130.11917
75, 0.13746, 3190, 856, 244, 90.37699
76, 0.14626, 3190, 871, 255, 244.56493
77, 0.13760, 3190, 860, 270, 108.77040
78, 0.13646, 3190, 891, 267, 196.73332
79, 0.15439, 3190, 942, 305, 193.03368
80, 0.16103, 3190, 895, 263, 199.53696
81, 0.14349, 3190, 915, 207, 82.47424
82, 0.13820, 3190, 922, 260, 189.35945
83, 0.13959, 3190, 901, 248, 161.62302
84, 0.13250, 3190, 747, 219, 213.74985
85, 0.15026, 3190, 808, 244, 113.65738
86, 0.13070, 3190, 729, 216, 111.48991
87, 0.15969, 3190, 696, 211, 75.56454
88, 0.14276, 3190, 670, 228, 170.16463
89, 0.12208, 3190, 682, 267, 179.17868
90, 0.14607, 3190, 678, 193, 144.34334
91, 0.13605, 3190, 649, 239, 163.56650
92, 0.14760, 3190, 666, 252, 112.93803
93, 0.13456, 3190, 708, 162, 165.10300
94, 0.13207, 3190, 787, 227, 199.40411
95, 0.14112, 3190, 867, 313, 200.66389
96, 0.15781, 3190, 1006, 373, 100.20978
97, 0.14931, 3190, 983, 398, 153.29384
98, 0.14933, 3190, 943, 407, 211.68608
99, 0.15321, 3190, 1001, 385, 97.33447
100, 0.15524, 3190, 1009, 402, 162.28679
