Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.20569, 3190, 993, 3190, 35.09986
2, 0.25190, 3190, 977, 3190, 37.10795
3, 0.21919, 3190, 964, 3190, 29.37686
4, 0.24929, 3190, 977, 3190, 29.08608
5, 0.18883, 3190, 977, 3190, 44.13615
6, 0.18387, 3190, 896, 3190, 36.89174
7, 0.21555, 3190, 1148, 3190, 36.91883
8, 0.21240, 3190, 1189, 3190, 23.43075
9, 0.21289, 3190, 1197, 3190, 29.05168
10, 0.20712, 3190, 1130, 3190, 31.11270
11, 0.21650, 3190, 1191, 3190, 34.05877
12, 0.20800, 3190, 1190, 3190, 23.15167
13, 0.21006, 3190, 1237, 3190, 24.57641
14, 0.20739, 3190, 1228, 3190, 29.03446
15, 0.22266, 3190, 1250, 3190, 28.70540
16, 0.18967, 3190, 1040, 3190, 31.63858
17, 0.19780, 3190, 1110, 3190, 42.75512
18, 0.19176, 3190, 1075, 3190, 39.54744
19, 0.20276, 3190, 1095, 3190, 39.68627
20, 0.20571, 3190, 1183, 3190, 43.63485
21, 0.19190, 3190, 1079, 3190, 45.51923
22, 0.22461, 3190, 1296, 3190, 38.75565
23, 0.19636, 3190, 1114, 3190, 29.71532
24, 0.20586, 3190, 1224, 3190, 29.93326
25, 0.20598, 3190, 1221, 3190, 34.75629
26, 0.19870, 3190, 1129, 3190, 24.81935
27, 0.20060, 3190, 1108, 3190, 31.89044
28, 0.19778, 3190, 1112, 3190, 37.22902
29, 0.20101, 3190, 1044, 3190, 38.65230
30, 0.20064, 3190, 1079, 3190, 29.58040
31, 0.19854, 3190, 1039, 3190, 33.36166
32, 0.19395, 3190, 998, 3190, 31.22499
33, 0.18842, 3190, 1030, 3190, 35.56684
34, 0.21234, 3190, 1070, 3190, 37.28270
35, 0.19359, 3190, 1054, 3190, 29.76575
36, 0.20068, 3190, 1059, 3190, 26.51415
37, 0.19619, 3190, 1059, 3190, 30.31501
38, 0.18843, 3190, 1048, 3190, 33.82307
39, 0.19903, 3190, 1112, 3190, 34.53983
40, 0.19837, 3190, 1122, 3190, 33.40659
41, 0.19444, 3190, 1108, 3190, 32.75668
42, 0.20904, 3190, 1219, 3190, 33.22649
43, 0.21534, 3190, 1229, 3190, 27.45906
44, 0.20667, 3190, 1201, 3190, 24.22808
45, 0.21856, 3190, 1237, 3190, 28.93095
46, 0.21974, 3190, 1290, 3190, 31.09662
47, 0.21667, 3190, 1248, 3190, 29.51271
48, 0.21437, 3190, 1294, 3190, 26.40076
49, 0.21184, 3190, 1277, 3190, 29.71532
50, 0.21129, 3190, 1295, 3190, 25.17936
51, 0.21751, 3190, 1351, 3190, 28.17801
52, 0.21912, 3190, 1303, 3190, 24.71841
53, 0.21974, 3190, 1343, 3190, 24.95997
54, 0.20734, 3190, 1255, 3190, 27.98214
55, 0.20946, 3190, 1264, 3190, 28.47806
56, 0.21461, 3190, 1301, 3190, 25.45584
57, 0.21130, 3190, 1281, 3190, 29.88311
58, 0.22632, 3190, 1328, 3190, 33.61547
59, 0.21726, 3190, 1293, 3190, 24.97999
60, 0.21373, 3190, 1280, 3190, 39.88734
61, 0.21186, 3190, 1289, 3190, 32.28003
62, 0.21215, 3190, 1314, 3190, 33.68976
63, 0.21837, 3190, 1317, 3190, 24.89980
64, 0.21418, 3190, 1312, 3190, 28.89637
65, 0.23688, 3190, 1300, 3190, 27.60435
66, 0.22014, 3190, 1318, 3190, 29.22328
67, 0.21326, 3190, 1267, 3190, 33.58571
68, 0.20668, 3190, 1162, 3190, 25.23886
69, 0.19798, 3190, 1076, 3190, 30.70831
70, 0.19297, 3190, 1018, 3190, 31.22499
71, 0.18746, 3190, 989, 3190, 25.74879
72, 0.18698, 3190, 993, 3190, 46.82948
73, 0.18154, 3190, 966, 3190, 39.23009
74, 0.18434, 3190, 993, 3190, 49.76947
75, 0.20275, 3190, 1006, 3190, 48.30114
76, 0.19575, 3190, 1025, 3190, 40.09988
77, 0.19862, 3190, 1048, 3190, 42.36744
78, 0.18421, 3190, 1035, 3190, 38.67816
79, 0.19548, 3190, 999, 3190, 28.46050
80, 0.19582, 3190, 1042, 3190, 49.55805
81, 0.19531, 3190, 1029, 3190, 39.64846
82, 0.18263, 3190, 992, 3190, 33.80828
83, 0.19197, 3190, 1016, 3190, 43.70355
84, 0.18448, 3190, 976, 3190, 37.66962
85, 0.19044, 3190, 1049, 3190, 46.15192
86, 0.19950, 3190, 1026, 3190, 41.82105
87, 0.20143, 3190, 1052, 3190, 51.00000
88, 0.20794, 3190, 1072, 3190, 35.38361
89, 0.19611, 3190, 1054, 3190, 31.38471
90, 0.20137, 3190, 1106, 3190, 39.76179
91, 0.20430, 3190, 1103, 3190, 30.85450
92, 0.19564, 3190, 1138, 3190, 29.35984
93, 0.19501, 3190, 1136, 3190, 31.96873
94, 0.20087, 3190, 1123, 3190, 34.30743
95, 0.21608, 3190, 1125, 3190, 31.17691
96, 0.19171, 3190, 1049, 3190, 30.49590
97, 0.20208, 3190, 1135, 3190, 33.42155
98, 0.18906, 3190, 1064, 3190, 16.43168
99, 0.20253, 3190, 1127, 3190, 24.85961
100, 0.20065, 3190, 1072, 3190, 29.84962
