Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.27514, 5424, 929, 19, 74.00000
2, 0.31492, 5424, 955, 35, 115.00000
3, 0.29595, 5424, 931, 38, 115.00000
4, 0.36113, 5424, 920, 25, 124.00000
5, 0.23611, 5424, 883, 42, 125.00000
6, 0.22464, 5424, 926, 30, 115.00000
7, 0.30200, 5424, 954, 38, 88.00000
8, 0.33131, 5424, 1014, 37, 82.00000
9, 0.31244, 5424, 1056, 53, 112.00000
10, 0.29517, 5424, 1018, 47, 106.00000
11, 0.32175, 5424, 1024, 53, 105.00000
12, 0.26701, 5424, 1054, 45, 122.00000
13, 0.27690, 5424, 1020, 46, 86.00000
14, 0.31550, 5424, 1018, 41, 107.00000
15, 0.23367, 5424, 930, 40, 96.00000
16, 0.25268, 5424, 912, 51, 112.00000
17, 0.23144, 5424, 792, 35, 87.00000
18, 0.26102, 5424, 781, 45, 85.00000
19, 0.24925, 5424, 846, 48, 91.00000
20, 0.22795, 5424, 822, 34, 97.00000
21, 0.23112, 5424, 827, 45, 98.00000
22, 0.24303, 5424, 834, 59, 100.00000
23, 0.21562, 5424, 798, 47, 86.00000
24, 0.27266, 5424, 824, 42, 121.00000
25, 0.22963, 5424, 811, 44, 85.00000
26, 0.25849, 5424, 822, 43, 98.00000
27, 0.25148, 5424, 839, 45, 88.00000
28, 0.27035, 5424, 847, 38, 86.00000
29, 0.25421, 5424, 855, 48, 126.00000
30, 0.24035, 5424, 801, 35, 81.00000
31, 0.23818, 5424, 838, 47, 93.00000
32, 0.26413, 5424, 825, 43, 100.00000
33, 0.27580, 5424, 815, 40, 121.00000
34, 0.22162, 5424, 764, 39, 82.00000
35, 0.28699, 5424, 830, 40, 95.00000
36, 0.22989, 5424, 773, 42, 90.00000
37, 0.24186, 5424, 803, 32, 85.00000
38, 0.27970, 5424, 920, 43, 89.00000
39, 0.25289, 5424, 976, 25, 81.00000
40, 0.23428, 5424, 958, 38, 113.00000
41, 0.26248, 5424, 978, 35, 88.00000
42, 0.23542, 5424, 995, 31, 100.00000
43, 0.29897, 5424, 975, 41, 115.00000
44, 0.23317, 5424, 984, 29, 128.00000
45, 0.31739, 5424, 1002, 33, 84.00000
46, 0.32209, 5424, 1005, 40, 85.00000
47, 0.31489, 5424, 977, 36, 83.00000
48, 0.26220, 5424, 955, 30, 84.00000
49, 0.31222, 5424, 970, 40, 83.00000
50, 0.27052, 5424, 941, 31, 109.00000
51, 0.29080, 5424, 975, 46, 84.00000
52, 0.24104, 5424, 949, 57, 116.00000
53, 0.29463, 5424, 940, 55, 114.00000
54, 0.26117, 5424, 962, 35, 114.00000
55, 0.22376, 5424, 959, 47, 65.00000
56, 0.35873, 5424, 960, 25, 110.00000
57, 0.25324, 5424, 957, 55, 115.00000
58, 0.24899, 5424, 974, 32, 104.00000
59, 0.27988, 5424, 952, 35, 75.00000
60, 0.31644, 5424, 953, 34, 109.00000
61, 0.27691, 5424, 936, 47, 110.00000
62, 0.25920, 5424, 933, 50, 110.00000
63, 0.30904, 5424, 954, 59, 108.00000
64, 0.32574, 5424, 981, 30, 75.00000
65, 0.26972, 5424, 960, 30, 101.00000
66, 0.25308, 5424, 946, 40, 127.00000
67, 0.28723, 5424, 940, 45, 118.00000
68, 0.23657, 5424, 938, 44, 121.00000
69, 0.24718, 5424, 908, 26, 120.00000
70, 0.27574, 5424, 963, 38, 101.00000
71, 0.30808, 5424, 923, 42, 82.00000
72, 0.31353, 5424, 915, 37, 105.00000
73, 0.23208, 5424, 918, 54, 131.00000
74, 0.28697, 5424, 915, 56, 112.00000
75, 0.29395, 5424, 945, 37, 62.00000
76, 0.32337, 5424, 939, 49, 118.00000
77, 0.27060, 5424, 911, 48, 129.00000
78, 0.33963, 5424, 913, 52, 77.00000
79, 0.28680, 5424, 930, 39, 128.00000
80, 0.25543, 5424, 936, 38, 81.00000
81, 0.30781, 5424, 928, 43, 73.00000
82, 0.20998, 5424, 933, 48, 127.00000
83, 0.25873, 5424, 939, 46, 120.00000
84, 0.28029, 5424, 923, 61, 111.00000
85, 0.28871, 5424, 917, 42, 115.00000
86, 0.27617, 5424, 930, 19, 103.00000
87, 0.32001, 5424, 928, 36, 73.00000
88, 0.30113, 5424, 958, 39, 110.00000
89, 0.40253, 5424, 922, 53, 131.00000
90, 0.31680, 5424, 903, 43, 65.00000
91, 0.31780, 5424, 958, 43, 88.00000
92, 0.28238, 5424, 986, 46, 99.00000
93, 0.32113, 5424, 968, 45, 86.00000
94, 0.25612, 5424, 888, 53, 112.00000
95, 0.21420, 5424, 865, 37, 114.00000
96, 0.33626, 5424, 885, 48, 95.00000
97, 0.31857, 5424, 904, 44, 120.00000
98, 0.32801, 5424, 924, 22, 120.00000
99, 0.27656, 5424, 914, 17, 98.00000
100, 0.34043, 5424, 940, 39, 100.00000
