Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.28824, 5424, 882, 34, 85.00000
2, 0.35059, 5424, 1187, 95, 75.00000
3, 0.40360, 5424, 1604, 106, 94.00000
4, 0.45924, 5424, 1582, 97, 103.00000
5, 0.34563, 5424, 1642, 90, 87.00000
6, 0.33049, 5424, 1478, 76, 82.00000
7, 0.43783, 5424, 1575, 82, 72.00000
8, 0.42417, 5424, 1556, 64, 76.00000
9, 0.41091, 5424, 1508, 50, 94.00000
10, 0.33322, 5424, 1335, 45, 103.00000
11, 0.41366, 5424, 1466, 34, 93.00000
12, 0.33715, 5424, 1407, 32, 115.00000
13, 0.37526, 5424, 1614, 38, 86.00000
14, 0.40815, 5424, 1504, 35, 86.00000
15, 0.30672, 5424, 1331, 41, 88.00000
16, 0.34947, 5424, 1427, 40, 67.00000
17, 0.40511, 5424, 1638, 56, 90.00000
18, 0.44037, 5424, 1768, 108, 93.00000
19, 0.42615, 5424, 1773, 98, 77.00000
20, 0.40912, 5424, 1813, 117, 112.00000
21, 0.35574, 5424, 1693, 127, 94.00000
22, 0.37180, 5424, 1665, 104, 86.00000
23, 0.32634, 5424, 1620, 101, 87.00000
24, 0.39990, 5424, 1614, 103, 88.00000
25, 0.43136, 5424, 1746, 116, 84.00000
26, 0.40706, 5424, 1599, 67, 85.00000
27, 0.41832, 5424, 1486, 57, 90.00000
28, 0.39205, 5424, 1486, 39, 84.00000
29, 0.39073, 5424, 1509, 52, 101.00000
30, 0.39856, 5424, 1500, 55, 87.00000
31, 0.35094, 5424, 1540, 90, 101.00000
32, 0.43688, 5424, 1683, 136, 91.00000
33, 0.44266, 5424, 1662, 103, 94.00000
34, 0.31535, 5424, 1398, 103, 92.00000
35, 0.39638, 5424, 1550, 79, 72.00000
36, 0.39509, 5424, 1718, 106, 90.00000
37, 0.43303, 5424, 1757, 116, 104.00000
38, 0.38843, 5424, 1797, 115, 86.00000
39, 0.40384, 5424, 1747, 97, 79.00000
40, 0.35152, 5424, 1610, 82, 98.00000
41, 0.34104, 5424, 1468, 113, 86.00000
42, 0.35402, 5424, 1614, 83, 88.00000
43, 0.43138, 5424, 1758, 114, 92.00000
44, 0.35460, 5424, 1756, 104, 101.00000
45, 0.37255, 5424, 1522, 66, 88.00000
46, 0.44486, 5424, 1571, 79, 76.00000
47, 0.43024, 5424, 1763, 103, 99.00000
48, 0.38815, 5424, 1757, 88, 100.00000
49, 0.43457, 5424, 1803, 122, 108.00000
50, 0.40983, 5424, 1716, 67, 96.00000
51, 0.33153, 5424, 1186, 64, 99.00000
52, 0.31756, 5424, 1379, 92, 91.00000
53, 0.39161, 5424, 1542, 90, 89.00000
54, 0.33194, 5424, 1647, 86, 91.00000
55, 0.31090, 5424, 1402, 76, 85.00000
56, 0.50509, 5424, 1599, 96, 79.00000
57, 0.40020, 5424, 1760, 88, 94.00000
58, 0.40220, 5424, 1805, 77, 89.00000
59, 0.38178, 5424, 1513, 75, 112.00000
60, 0.31639, 5424, 1058, 40, 102.00000
61, 0.37084, 5424, 1430, 71, 92.00000
62, 0.36276, 5424, 1615, 101, 86.00000
63, 0.43336, 5424, 1510, 100, 87.00000
64, 0.43635, 5424, 1454, 53, 67.00000
65, 0.42847, 5424, 1713, 76, 86.00000
66, 0.39257, 5424, 1697, 77, 87.00000
67, 0.44631, 5424, 1623, 71, 93.00000
68, 0.27269, 5424, 1095, 49, 93.00000
69, 0.31112, 5424, 1344, 62, 84.00000
70, 0.41582, 5424, 1691, 77, 95.00000
71, 0.41504, 5424, 1682, 79, 104.00000
72, 0.38066, 5424, 1653, 84, 86.00000
73, 0.35403, 5424, 1551, 75, 93.00000
74, 0.40269, 5424, 1563, 66, 87.00000
75, 0.43533, 5424, 1598, 86, 77.00000
76, 0.41492, 5424, 1635, 83, 94.00000
77, 0.41746, 5424, 1613, 66, 88.00000
78, 0.43915, 5424, 1566, 75, 82.00000
79, 0.37033, 5424, 1372, 39, 87.00000
80, 0.24547, 5424, 1086, 34, 91.00000
81, 0.37419, 5424, 1379, 67, 89.00000
82, 0.34611, 5424, 1494, 47, 74.00000
83, 0.40210, 5424, 1507, 73, 77.00000
84, 0.36941, 5424, 1546, 48, 86.00000
85, 0.43549, 5424, 1550, 55, 89.00000
86, 0.34651, 5424, 1537, 46, 103.00000
87, 0.42719, 5424, 1556, 54, 89.00000
88, 0.39865, 5424, 1468, 61, 99.00000
89, 0.48755, 5424, 1591, 44, 93.00000
90, 0.45203, 5424, 1624, 78, 90.00000
91, 0.42093, 5424, 1657, 73, 100.00000
92, 0.38444, 5424, 1698, 59, 105.00000
93, 0.41365, 5424, 1694, 74, 92.00000
94, 0.34952, 5424, 1486, 78, 91.00000
95, 0.30737, 5424, 1537, 77, 74.00000
96, 0.39412, 5424, 1428, 54, 70.00000
97, 0.33382, 5424, 1188, 41, 106.00000
98, 0.40151, 5424, 1454, 58, 80.00000
99, 0.42405, 5424, 1523, 66, 94.00000
100, 0.42284, 5424, 1609, 47, 79.00000
