Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.18210, 3190, 488, 117, 181.17119
2, 0.22823, 3190, 489, 112, 171.67702
3, 0.16527, 3190, 507, 176, 146.84004
4, 0.15133, 3190, 520, 185, 163.23296
5, 0.15760, 3190, 524, 131, 159.06288
6, 0.19583, 3190, 519, 192, 96.12492
7, 0.16793, 3190, 542, 112, 130.62160
8, 0.16916, 3190, 520, 82, 143.81586
9, 0.17874, 3190, 502, 105, 274.13318
10, 0.15479, 3190, 563, 129, 140.90068
11, 0.20328, 3190, 604, 97, 302.52603
12, 0.19184, 3190, 580, 123, 138.70473
13, 0.19024, 3190, 581, 65, 211.37643
14, 0.18398, 3190, 574, 141, 167.19450
15, 0.19092, 3190, 577, 160, 97.10303
16, 0.17710, 3190, 488, 103, 129.70737
17, 0.16236, 3190, 468, 129, 94.11163
18, 0.18360, 3190, 580, 179, 172.49348
19, 0.18246, 3190, 532, 115, 225.93805
20, 0.18727, 3190, 577, 152, 157.18143
21, 0.19999, 3190, 580, 126, 161.89194
22, 0.18231, 3190, 561, 184, 161.31026
23, 0.19644, 3190, 583, 155, 104.36954
24, 0.16630, 3190, 535, 150, 182.70468
25, 0.18486, 3190, 543, 132, 174.88281
26, 0.16985, 3190, 507, 103, 146.76852
27, 0.17657, 3190, 503, 140, 222.21837
28, 0.19177, 3190, 534, 102, 151.32416
29, 0.17883, 3190, 502, 162, 144.14923
30, 0.17825, 3190, 569, 156, 176.39444
31, 0.18954, 3190, 573, 160, 170.20282
32, 0.18926, 3190, 576, 126, 277.21112
33, 0.17348, 3190, 583, 120, 205.09998
34, 0.19349, 3190, 584, 84, 138.99281
35, 0.18451, 3190, 583, 166, 146.69356
36, 0.18460, 3190, 551, 130, 99.93498
37, 0.18635, 3190, 585, 131, 169.98824
38, 0.17374, 3190, 542, 108, 228.11620
39, 0.15645, 3190, 541, 164, 172.07266
40, 0.16872, 3190, 531, 215, 86.35971
41, 0.16057, 3190, 528, 175, 87.46428
42, 0.15478, 3190, 523, 211, 97.69340
43, 0.17143, 3190, 511, 126, 62.56996
44, 0.15972, 3190, 567, 115, 101.88229
45, 0.18669, 3190, 598, 171, 185.17290
46, 0.19575, 3190, 571, 89, 164.96666
47, 0.18267, 3190, 591, 98, 68.24954
48, 0.16983, 3190, 643, 134, 236.08896
49, 0.17548, 3190, 556, 134, 155.66310
50, 0.20811, 3190, 570, 129, 154.51860
51, 0.19490, 3190, 560, 105, 179.61069
52, 0.14795, 3190, 526, 167, 89.07861
53, 0.15059, 3190, 530, 185, 91.64060
54, 0.16383, 3190, 562, 174, 158.08542
55, 0.19064, 3190, 603, 73, 166.09335
56, 0.16530, 3190, 536, 97, 196.20143
57, 0.17736, 3190, 565, 117, 76.70071
58, 0.18920, 3190, 558, 78, 193.86852
59, 0.16620, 3190, 588, 173, 127.36954
60, 0.19980, 3190, 588, 100, 100.80675
61, 0.19376, 3190, 587, 115, 226.31393
62, 0.16475, 3190, 572, 152, 104.01442
63, 0.15459, 3190, 516, 155, 147.54660
64, 0.19628, 3190, 592, 113, 217.32695
65, 0.19225, 3190, 582, 100, 73.47108
66, 0.16918, 3190, 600, 164, 65.19969
67, 0.18000, 3190, 531, 147, 267.08240
68, 0.15522, 3190, 541, 175, 165.91866
69, 0.17868, 3190, 545, 176, 175.54771
70, 0.18788, 3190, 526, 145, 206.71962
71, 0.16456, 3190, 487, 89, 239.78740
72, 0.15780, 3190, 481, 126, 211.01895
73, 0.16796, 3190, 515, 133, 97.74457
74, 0.17533, 3190, 525, 188, 107.07007
75, 0.15765, 3190, 436, 112, 92.91394
76, 0.15865, 3190, 544, 94, 238.17850
77, 0.18060, 3190, 521, 129, 183.28938
78, 0.19042, 3190, 563, 96, 212.46883
79, 0.19617, 3190, 508, 108, 111.95088
80, 0.17375, 3190, 468, 65, 89.44831
81, 0.15079, 3190, 388, 116, 110.23611
82, 0.16593, 3190, 430, 114, 126.55038
83, 0.17400, 3190, 479, 77, 94.31861
84, 0.16794, 3190, 500, 154, 83.91663
85, 0.15882, 3190, 502, 151, 208.69116
86, 0.18299, 3190, 534, 102, 76.18399
87, 0.17621, 3190, 524, 114, 160.45560
88, 0.16738, 3190, 484, 143, 215.82169
89, 0.17525, 3190, 515, 109, 185.13779
90, 0.14938, 3190, 529, 194, 148.64388
91, 0.16552, 3190, 562, 162, 162.72063
92, 0.16388, 3190, 479, 85, 175.08284
93, 0.16398, 3190, 538, 164, 181.98077
94, 0.16390, 3190, 521, 167, 134.43214
95, 0.18159, 3190, 521, 109, 103.29085
96, 0.18634, 3190, 534, 116, 214.84180
97, 0.17504, 3190, 493, 90, 174.16658
98, 0.15646, 3190, 490, 152, 242.98560
99, 0.13336, 3190, 450, 150, 81.66395
100, 0.16643, 3190, 497, 128, 201.30823
