Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.16451, 3190, 353, 3190, 60.27437
2, 0.18053, 3190, 317, 3190, 57.76677
3, 0.15390, 3190, 320, 3190, 49.63869
4, 0.18167, 3190, 332, 3190, 82.10359
5, 0.15700, 3190, 353, 3190, 54.19410
6, 0.16248, 3190, 345, 3190, 54.82700
7, 0.14624, 3190, 347, 3190, 76.38062
8, 0.14942, 3190, 345, 3190, 56.94735
9, 0.14854, 3190, 350, 3190, 57.83598
10, 0.14746, 3190, 342, 3190, 67.19375
11, 0.15665, 3190, 357, 3190, 58.53204
12, 0.15538, 3190, 352, 3190, 52.76362
13, 0.12165, 3190, 160, 3190, 52.20153
14, 0.18527, 3190, 552, 3190, 86.83893
15, 0.17612, 3190, 493, 3190, 74.49161
16, 0.17958, 3190, 527, 3190, 51.58488
17, 0.18192, 3190, 535, 3190, 65.67343
18, 0.18426, 3190, 559, 3190, 38.47077
19, 0.18635, 3190, 564, 3190, 81.52300
20, 0.20183, 3190, 568, 3190, 59.51471
21, 0.19188, 3190, 580, 3190, 58.32667
22, 0.22066, 3190, 587, 3190, 49.03060
23, 0.19057, 3190, 580, 3190, 73.21885
24, 0.19175, 3190, 582, 3190, 58.25805
25, 0.20295, 3190, 585, 3190, 59.34644
26, 0.19556, 3190, 568, 3190, 49.37611
27, 0.19077, 3190, 499, 3190, 63.63961
28, 0.19798, 3190, 513, 3190, 65.55151
29, 0.22664, 3190, 521, 3190, 45.71652
30, 0.20601, 3190, 489, 3190, 79.18333
31, 0.18209, 3190, 506, 3190, 53.40412
32, 0.18933, 3190, 529, 3190, 74.32362
33, 0.17545, 3190, 469, 3190, 71.12665
34, 0.19667, 3190, 518, 3190, 40.97560
35, 0.18250, 3190, 509, 3190, 41.07310
36, 0.20553, 3190, 534, 3190, 48.96938
37, 0.20855, 3190, 540, 3190, 49.83974
38, 0.18856, 3190, 519, 3190, 52.91503
39, 0.20200, 3190, 540, 3190, 52.20153
40, 0.19673, 3190, 557, 3190, 55.88381
41, 0.19586, 3190, 538, 3190, 32.77194
42, 0.19590, 3190, 543, 3190, 30.70831
43, 0.19369, 3190, 532, 3190, 46.23851
44, 0.19921, 3190, 542, 3190, 80.39900
45, 0.19525, 3190, 531, 3190, 40.65710
46, 0.19980, 3190, 550, 3190, 31.51190
47, 0.20377, 3190, 558, 3190, 35.18522
48, 0.20799, 3190, 532, 3190, 43.62339
49, 0.18625, 3190, 523, 3190, 43.50862
50, 0.19532, 3190, 527, 3190, 45.17743
51, 0.20179, 3190, 541, 3190, 41.73727
52, 0.19872, 3190, 529, 3190, 28.42534
53, 0.20577, 3190, 551, 3190, 42.43819
54, 0.19808, 3190, 528, 3190, 40.48457
55, 0.19782, 3190, 531, 3190, 40.28647
56, 0.19628, 3190, 546, 3190, 41.00000
57, 0.18579, 3190, 511, 3190, 53.24472
58, 0.19184, 3190, 501, 3190, 34.68429
59, 0.20084, 3190, 520, 3190, 39.14077
60, 0.20291, 3190, 525, 3190, 44.57578
61, 0.20192, 3190, 538, 3190, 34.23449
62, 0.18355, 3190, 495, 3190, 38.76854
63, 0.19223, 3190, 484, 3190, 46.24932
64, 0.19870, 3190, 522, 3190, 53.81450
65, 0.19224, 3190, 494, 3190, 37.74917
66, 0.18746, 3190, 496, 3190, 33.51119
67, 0.19639, 3190, 508, 3190, 58.98305
68, 0.19260, 3190, 520, 3190, 42.42641
69, 0.19860, 3190, 497, 3190, 35.27039
70, 0.21224, 3190, 506, 3190, 46.50806
71, 0.19658, 3190, 520, 3190, 38.28838
72, 0.20191, 3190, 518, 3190, 39.31921
73, 0.19596, 3190, 525, 3190, 37.12142
74, 0.18995, 3190, 502, 3190, 33.55592
75, 0.18856, 3190, 517, 3190, 44.11349
76, 0.19145, 3190, 534, 3190, 43.73785
77, 0.20964, 3190, 531, 3190, 53.33854
78, 0.19760, 3190, 496, 3190, 42.77850
79, 0.19461, 3190, 507, 3190, 43.80639
80, 0.21652, 3190, 518, 3190, 44.38468
81, 0.18431, 3190, 494, 3190, 31.25700
82, 0.18371, 3190, 516, 3190, 50.76416
83, 0.22791, 3190, 525, 3190, 55.38050
84, 0.19361, 3190, 538, 3190, 56.61272
85, 0.19798, 3190, 531, 3190, 42.74342
86, 0.19601, 3190, 521, 3190, 47.20169
87, 0.18763, 3190, 484, 3190, 42.05948
88, 0.18576, 3190, 502, 3190, 43.58899
89, 0.19322, 3190, 515, 3190, 36.15245
90, 0.20969, 3190, 518, 3190, 40.57093
91, 0.19439, 3190, 514, 3190, 50.45790
92, 0.18673, 3190, 520, 3190, 46.21688
93, 0.21735, 3190, 512, 3190, 56.09813
94, 0.19682, 3190, 524, 3190, 32.66497
95, 0.19966, 3190, 540, 3190, 31.92178
96, 0.19830, 3190, 533, 3190, 42.81355
97, 0.18856, 3190, 522, 3190, 46.85083
98, 0.20056, 3190, 504, 3190, 93.46657
99, 0.17757, 3190, 516, 3190, 42.80187
100, 0.18593, 3190, 521, 3190, 33.39162
