Using BRISK algorithm
Using brute force matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.00932, 0.14793, 0.00090, 0.00000, 5424, 358, 8, 452.34833, 616.40082
2, 0.00968, 0.17327, 0.00101, 0.00001, 5424, 427, 3, 505.71140, 596.06458
3, 0.01234, 0.19731, 0.00099, 0.00531, 5424, 483, 17, 375.14664, 650.93628
4, 0.01077, 0.17315, 0.00124, 0.00949, 5424, 433, 12, 434.40073, 581.58661
5, 0.01281, 0.16565, 0.00126, 0.01222, 5424, 389, 15, 344.32544, 581.81012
6, 0.01118, 0.19447, 0.00124, 0.00219, 5424, 479, 11, 417.30206, 580.58765
7, 0.01365, 0.24092, 0.00088, 0.00299, 5424, 600, 12, 383.39014, 578.59656
8, 0.01172, 0.23942, 0.00093, 0.01003, 5424, 574, 12, 349.83282, 566.24908
9, 0.01278, 0.22544, 0.00089, 0.00001, 5424, 539, 5, 306.56647, 524.68561
10, 0.01309, 0.22063, 0.00089, 0.00080, 5424, 545, 15, 387.99872, 586.60291
11, 0.01303, 0.24048, 0.00091, 0.00267, 5424, 584, 12, 383.51532, 593.55963
12, 0.01359, 0.24163, 0.00095, 0.00196, 5424, 594, 11, 260.00577, 598.86060
13, 0.01272, 0.22889, 0.00089, 0.00649, 5424, 570, 14, 379.49966, 521.74994
14, 0.01231, 0.23699, 0.00088, 0.00001, 5424, 585, 8, 300.64432, 577.43658
15, 0.01323, 0.23905, 0.00092, 0.00001, 5424, 594, 5, 350.95728, 545.06879
16, 0.01409, 0.23797, 0.00091, 0.00483, 5424, 595, 14, 344.31671, 579.04315
17, 0.01312, 0.23366, 0.00089, 0.00001, 5424, 576, 6, 349.21628, 534.43243
18, 0.01165, 0.23637, 0.00095, 0.00001, 5424, 589, 10, 327.02295, 596.36566
19, 0.01379, 0.23346, 0.00377, 0.00727, 5424, 572, 12, 367.71591, 610.97791
20, 0.01397, 0.23011, 0.00094, 0.00001, 5424, 574, 6, 354.98590, 567.93927
21, 0.01364, 0.23744, 0.00173, 0.00001, 5424, 574, 5, 406.96805, 514.71741
22, 0.01469, 0.23418, 0.00088, 0.00001, 5424, 582, 4, 340.48203, 458.42883
23, 0.01488, 0.24378, 0.00090, 0.00001, 5424, 597, 7, 380.73087, 614.89514
24, 0.01288, 0.22711, 0.00283, 0.00001, 5424, 549, 7, 358.88718, 581.29340
25, 0.01283, 0.23034, 0.00092, 0.00001, 5424, 565, 8, 386.72342, 481.86615
26, 0.01287, 0.22503, 0.00093, 0.00001, 5424, 570, 8, 398.15826, 570.94220
27, 0.01159, 0.23342, 0.00163, 0.00001, 5424, 571, 8, 302.87952, 548.85333
28, 0.01357, 0.22464, 0.00088, 0.00001, 5424, 550, 9, 363.48315, 617.00079
29, 0.01218, 0.20852, 0.00089, 0.00001, 5424, 509, 6, 394.33615, 518.50073
30, 0.01339, 0.25203, 0.00272, 0.00001, 5424, 594, 6, 368.94852, 565.43610
31, 0.01489, 0.22383, 0.00107, 0.00001, 5424, 529, 9, 392.48950, 590.35156
32, 0.01264, 0.22156, 0.00091, 0.00001, 5424, 548, 6, 379.38239, 599.75409
33, 0.01425, 0.25639, 0.00088, 0.02602, 5424, 616, 13, 361.83282, 638.15356
34, 0.01416, 0.23498, 0.00090, 0.00001, 5424, 587, 6, 356.85571, 600.01831
35, 0.01379, 0.23156, 0.00091, 0.00075, 5424, 569, 15, 335.50259, 585.21960
36, 0.01489, 0.24607, 0.00088, 0.00001, 5424, 598, 2, 490.24380, 517.50555
37, 0.01349, 0.23221, 0.00116, 0.00001, 5424, 572, 10, 372.71570, 646.52301
38, 0.01374, 0.24650, 0.00088, 0.00185, 5424, 614, 11, 365.29440, 552.52509
39, 0.01434, 0.24477, 0.00092, 0.00281, 5424, 592, 14, 383.62350, 553.47266
40, 0.01332, 0.23867, 0.00090, 0.00001, 5424, 595, 8, 360.78110, 611.43927
41, 0.01432, 0.24026, 0.00089, 0.00367, 5424, 598, 13, 379.41534, 624.67834
42, 0.01350, 0.23913, 0.00088, 0.00001, 5424, 601, 7, 360.04306, 583.54004
43, 0.01363, 0.24054, 0.00089, 0.00001, 5424, 600, 10, 324.01697, 597.56842
44, 0.01378, 0.24369, 0.00089, 0.00001, 5424, 601, 8, 389.20816, 584.03766
45, 0.01480, 0.23774, 0.00097, 0.00001, 5424, 585, 6, 395.27966, 611.67963
46, 0.01351, 0.24391, 0.00092, 0.00360, 5424, 606, 13, 356.43372, 591.31720
47, 0.01354, 0.23682, 0.00089, 0.00269, 5424, 597, 12, 366.58560, 590.53876
48, 0.01463, 0.24123, 0.00089, 0.00191, 5424, 594, 11, 343.53748, 616.00647
49, 0.01364, 0.24111, 0.00103, 0.00001, 5424, 591, 9, 369.94864, 599.01923
50, 0.01607, 0.23425, 0.00089, 0.00443, 5424, 589, 11, 368.10324, 591.59363
51, 0.01901, 0.23013, 0.00094, 0.00001, 5424, 570, 10, 365.77451, 620.78577
52, 0.01254, 0.21167, 0.00088, 0.00001, 5424, 526, 10, 313.15652, 561.86121
53, 0.00958, 0.13842, 0.00089, 0.00001, 5424, 339, 4, 369.82156, 565.67834
54, 0.00693, 0.11093, 0.00089, 0.00558, 5424, 270, 13, 390.77231, 627.32129
55, 0.01181, 0.19939, 0.00114, 0.00001, 5424, 491, 8, 386.87595, 547.33173
56, 0.01217, 0.23115, 0.00089, 0.00194, 5424, 551, 11, 335.96875, 597.28467
57, 0.01324, 0.23591, 0.00104, 0.00001, 5424, 583, 10, 384.41644, 558.80676
58, 0.01133, 0.16947, 0.00089, 0.00196, 5424, 426, 11, 316.56912, 596.69421
59, 0.00949, 0.13558, 0.00091, 0.00001, 5424, 332, 8, 342.18271, 600.22162
60, 0.01255, 0.20018, 0.00089, 0.00001, 5424, 488, 7, 411.22864, 594.11023
61, 0.01304, 0.22760, 0.00197, 0.00004, 5424, 567, 10, 400.60455, 591.09137
62, 0.01316, 0.23176, 0.00089, 0.03353, 5424, 570, 21, 434.82526, 590.84772
63, 0.01305, 0.23379, 0.00131, 0.00001, 5424, 576, 10, 346.65256, 608.75201
64, 0.01327, 0.25496, 0.00088, 0.00001, 5424, 632, 8, 340.21759, 536.92645
65, 0.01247, 0.21831, 0.00145, 0.00005, 5424, 545, 6, 334.42337, 533.82208
66, 0.01320, 0.18401, 0.00090, 0.00361, 5424, 447, 13, 368.23090, 609.95575
67, 0.01221, 0.19476, 0.00258, 0.00001, 5424, 483, 9, 294.08841, 554.15161
68, 0.01203, 0.20609, 0.00089, 0.00001, 5424, 495, 8, 355.98315, 584.39282
69, 0.01157, 0.21027, 0.00088, 0.00001, 5424, 523, 9, 344.61719, 519.64026
