Using BRISK algorithm
Using brute force matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.01066, 0.16117, 0.00146, 0.06282, 5424, 395, 5424, 341.98685, 961.82324
2, 0.00967, 0.18231, 0.00402, 0.06387, 5424, 451, 5424, 328.05792, 965.94617
3, 0.01262, 0.19807, 0.00255, 0.07630, 5424, 491, 5424, 305.82022, 932.51807
4, 0.01145, 0.17469, 0.00141, 0.06117, 5424, 444, 5424, 353.34543, 951.33276
5, 0.01296, 0.21212, 0.00154, 0.06484, 5424, 527, 5424, 350.69360, 934.77429
6, 0.01204, 0.18807, 0.00283, 0.08505, 5424, 454, 5424, 321.86487, 948.49670
7, 0.01147, 0.19014, 0.00145, 0.05795, 5424, 475, 5424, 352.43298, 981.08258
8, 0.01214, 0.20122, 0.00152, 0.06154, 5424, 501, 5424, 310.18381, 914.90985
9, 0.01122, 0.20036, 0.00146, 0.05771, 5424, 500, 5424, 326.50882, 944.38184
10, 0.01123, 0.20641, 0.00141, 0.06725, 5424, 520, 5424, 363.10880, 969.76953
11, 0.01296, 0.20025, 0.00151, 0.06669, 5424, 497, 5424, 289.18332, 966.41449
12, 0.01303, 0.20124, 0.00145, 0.05794, 5424, 500, 5424, 324.94769, 966.22876
13, 0.01074, 0.20370, 0.00143, 0.06676, 5424, 507, 5424, 333.63153, 948.96313
14, 0.01008, 0.20441, 0.00141, 0.07256, 5424, 513, 5424, 330.36798, 941.74146
15, 0.01054, 0.20338, 0.00280, 0.05998, 5424, 511, 5424, 328.58331, 943.41138
16, 0.01252, 0.20160, 0.00143, 0.06236, 5424, 505, 5424, 366.52148, 945.91333
17, 0.01186, 0.21136, 0.00163, 0.05709, 5424, 526, 5424, 337.00891, 952.84363
18, 0.01428, 0.21482, 0.00304, 0.06650, 5424, 532, 5424, 326.94952, 953.11700
19, 0.01254, 0.19642, 0.00183, 0.05966, 5424, 496, 5424, 380.00000, 949.72784
20, 0.01140, 0.20295, 0.00141, 0.05599, 5424, 507, 5424, 289.84305, 951.76996
21, 0.01397, 0.20705, 0.00141, 0.06702, 5424, 515, 5424, 331.16159, 915.80511
22, 0.01213, 0.20170, 0.00151, 0.06685, 5424, 502, 5424, 314.93332, 927.32898
23, 0.01137, 0.21282, 0.00141, 0.05993, 5424, 528, 5424, 300.60272, 940.63544
24, 0.01059, 0.19641, 0.00145, 0.06848, 5424, 485, 5424, 355.01971, 974.81793
25, 0.01138, 0.18639, 0.00216, 0.06929, 5424, 462, 5424, 343.26956, 920.59326
26, 0.01142, 0.18741, 0.00273, 0.06006, 5424, 464, 5424, 352.36060, 946.56061
27, 0.01206, 0.19965, 0.00145, 0.06156, 5424, 489, 5424, 316.77121, 931.21643
28, 0.01243, 0.21422, 0.00161, 0.06551, 5424, 536, 5424, 321.22733, 979.75610
29, 0.01280, 0.21475, 0.00141, 0.06035, 5424, 532, 5424, 322.44070, 941.57263
30, 0.01224, 0.20064, 0.00162, 0.06236, 5424, 499, 5424, 290.66476, 968.38269
31, 0.01189, 0.19345, 0.00154, 0.06308, 5424, 487, 5424, 309.88547, 957.68158
32, 0.01228, 0.20325, 0.00157, 0.06689, 5424, 505, 5424, 313.88214, 950.42462
33, 0.01249, 0.20288, 0.00229, 0.07155, 5424, 509, 5424, 325.66086, 946.97046
34, 0.01103, 0.20854, 0.00164, 0.07118, 5424, 519, 5424, 327.64767, 955.01257
35, 0.01317, 0.21951, 0.00195, 0.06590, 5424, 541, 5424, 325.80975, 963.89935
36, 0.01359, 0.20139, 0.00155, 0.06084, 5424, 497, 5424, 343.94913, 938.10608
37, 0.01210, 0.21288, 0.00141, 0.06053, 5424, 530, 5424, 299.36099, 956.63055
38, 0.01357, 0.22727, 0.00218, 0.05793, 5424, 564, 5424, 368.16299, 940.17340
39, 0.01263, 0.21777, 0.00145, 0.06060, 5424, 545, 5424, 363.52167, 945.98206
40, 0.00965, 0.14010, 0.00148, 0.06449, 5424, 347, 5424, 343.86188, 936.06464
41, 0.00948, 0.17766, 0.00142, 0.07308, 5424, 443, 5424, 336.01636, 973.76282
42, 0.01297, 0.21372, 0.00151, 0.05811, 5424, 529, 5424, 325.21225, 909.51965
43, 0.00986, 0.13968, 0.00145, 0.06634, 5424, 345, 5424, 302.31937, 980.27393
44, 0.01023, 0.13603, 0.00141, 0.06109, 5424, 336, 5424, 359.88889, 954.80310
45, 0.01187, 0.20463, 0.00201, 0.05891, 5424, 506, 5424, 362.39618, 941.46906
46, 0.01215, 0.20290, 0.00176, 0.07076, 5424, 504, 5424, 341.69577, 930.77551
