Using BRISK algorithm
Using brute force matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.02286, 0.52997, 0.00260, 0.07968, 5424, 1340, 5424, 280.08926, 842.73425
2, 0.02008, 0.50007, 0.00274, 0.06167, 5424, 1259, 5424, 255.72250, 856.08295
3, 0.02153, 0.49976, 0.00145, 0.06020, 5424, 1267, 5424, 196.71553, 864.93872
4, 0.02408, 0.50599, 0.00225, 0.06819, 5424, 1279, 5424, 262.08969, 840.50226
5, 0.02429, 0.52012, 0.00151, 0.07229, 5424, 1288, 5424, 261.35989, 856.81909
6, 0.02130, 0.46747, 0.00220, 0.06235, 5424, 1184, 5424, 298.62686, 860.73169
7, 0.02149, 0.51940, 0.00220, 0.07138, 5424, 1314, 5424, 238.39253, 873.00403
8, 0.02397, 0.55183, 0.00195, 0.06839, 5424, 1383, 5424, 270.33499, 885.19434
9, 0.02519, 0.51503, 0.00225, 0.07242, 5424, 1288, 5424, 259.32797, 885.56818
10, 0.02024, 0.39161, 0.00218, 0.06428, 5424, 986, 5424, 243.26117, 854.33368
11, 0.02793, 0.60245, 0.00236, 0.06963, 5424, 1533, 5424, 240.73222, 844.97870
12, 0.02587, 0.62251, 0.00146, 0.05560, 5424, 1574, 5424, 301.28723, 847.51813
13, 0.03587, 0.69004, 0.00247, 0.06452, 5424, 1744, 5424, 279.71234, 856.39709
14, 0.03151, 0.57094, 0.00360, 0.05553, 5424, 1453, 5424, 248.27203, 849.42273
15, 0.02858, 0.65494, 0.00253, 0.06338, 5424, 1633, 5424, 283.42371, 853.98065
16, 0.02770, 0.61087, 0.00150, 0.07278, 5424, 1544, 5424, 228.82089, 836.08252
17, 0.02650, 0.62547, 0.00206, 0.06142, 5424, 1591, 5424, 280.42825, 880.95630
18, 0.03087, 0.69365, 0.00152, 0.05844, 5424, 1736, 5424, 250.31180, 830.08856
19, 0.02914, 0.70271, 0.00143, 0.05811, 5424, 1788, 5424, 286.20972, 856.69714
20, 0.03752, 0.69342, 0.00202, 0.06392, 5424, 1738, 5424, 212.05896, 866.67297
21, 0.03160, 0.68916, 0.00142, 0.05840, 5424, 1739, 5424, 272.80762, 875.42047
22, 0.02338, 0.52842, 0.00240, 0.05637, 5424, 1343, 5424, 230.54501, 855.16840
23, 0.02833, 0.48845, 0.00145, 0.06803, 5424, 1233, 5424, 240.72391, 875.35193
24, 0.03291, 0.65234, 0.00148, 0.06695, 5424, 1654, 5424, 242.11981, 856.74908
25, 0.02912, 0.65630, 0.00149, 0.06109, 5424, 1681, 5424, 256.12106, 844.10486
26, 0.03408, 0.73193, 0.00141, 0.06787, 5424, 1846, 5424, 244.69777, 836.98328
27, 0.03486, 0.71312, 0.00170, 0.06285, 5424, 1812, 5424, 307.91071, 846.79694
28, 0.03101, 0.72501, 0.00141, 0.06156, 5424, 1829, 5424, 193.62593, 897.46362
29, 0.03451, 0.73077, 0.00141, 0.05708, 5424, 1859, 5424, 129.35609, 841.46893
30, 0.02869, 0.69089, 0.00215, 0.06089, 5424, 1755, 5424, 219.77489, 875.02283
31, 0.02287, 0.56981, 0.00151, 0.05917, 5424, 1439, 5424, 267.43597, 907.68884
32, 0.03073, 0.62977, 0.00158, 0.05934, 5424, 1607, 5424, 325.88187, 853.32172
33, 0.02886, 0.63589, 0.00141, 0.07076, 5424, 1616, 5424, 226.46191, 904.11670
34, 0.02952, 0.63095, 0.00141, 0.06049, 5424, 1598, 5424, 257.67032, 843.00830
35, 0.02706, 0.64883, 0.00154, 0.06350, 5424, 1640, 5424, 129.10847, 842.23218
36, 0.03105, 0.59918, 0.00383, 0.05621, 5424, 1518, 5424, 292.23621, 845.73694
37, 0.02650, 0.55582, 0.00141, 0.05496, 5424, 1397, 5424, 298.18619, 877.76703
38, 0.02960, 0.62824, 0.00239, 0.06061, 5424, 1589, 5424, 283.42194, 881.62463
39, 0.02928, 0.61604, 0.00385, 0.05619, 5424, 1552, 5424, 242.96091, 885.24628
40, 0.02528, 0.59584, 0.00145, 0.05813, 5424, 1499, 5424, 229.37741, 856.99707
41, 0.02416, 0.58365, 0.00197, 0.06807, 5424, 1469, 5424, 251.33842, 851.70062
42, 0.02285, 0.55026, 0.00141, 0.06415, 5424, 1393, 5424, 236.11862, 851.67426
43, 0.02550, 0.62776, 0.00141, 0.05925, 5424, 1594, 5424, 207.38129, 842.64996
44, 0.02827, 0.62408, 0.00142, 0.06295, 5424, 1569, 5424, 264.40311, 845.03552
45, 0.02234, 0.45775, 0.00146, 0.06251, 5424, 1169, 5424, 262.08777, 900.52539
46, 0.02469, 0.56185, 0.00180, 0.05562, 5424, 1394, 5424, 285.61511, 889.52008
47, 0.03238, 0.62008, 0.00214, 0.06220, 5424, 1564, 5424, 280.50311, 862.85052
48, 0.03812, 0.70131, 0.00147, 0.06198, 5424, 1761, 5424, 261.31973, 867.10553
49, 0.02222, 0.52287, 0.00521, 0.06072, 5424, 1324, 5424, 305.23596, 866.86853
50, 0.03012, 0.74711, 0.00142, 0.06767, 5424, 1898, 5424, 230.15865, 858.45673
51, 0.03345, 0.81032, 0.00357, 0.05550, 5424, 1983, 5424, 247.91328, 852.88568
52, 0.03301, 0.77468, 0.00165, 0.06807, 5424, 1971, 5424, 218.63440, 848.59534
53, 0.01736, 0.39015, 0.00145, 0.06145, 5424, 995, 5424, 307.25070, 900.84735
54, 0.02959, 0.72215, 0.00157, 0.06517, 5424, 1831, 5424, 277.37518, 845.94269
55, 0.02819, 0.69499, 0.00148, 0.06077, 5424, 1752, 5424, 252.70734, 840.53613
56, 0.03347, 0.72630, 0.00386, 0.05787, 5424, 1834, 5424, 219.45158, 905.11212
57, 0.02922, 0.69376, 0.00143, 0.05789, 5424, 1755, 5424, 262.15262, 846.18970
58, 0.03174, 0.69371, 0.00141, 0.05582, 5424, 1774, 5424, 243.53644, 839.48853
59, 0.03593, 0.74558, 0.00143, 0.05612, 5424, 1902, 5424, 192.17439, 832.43976
60, 0.03863, 0.77283, 0.00142, 0.06121, 5424, 1938, 5424, 177.74982, 839.70770
61, 0.03664, 0.77842, 0.00160, 0.06160, 5424, 1962, 5424, 216.41858, 852.62067
62, 0.03195, 0.76739, 0.00142, 0.05470, 5424, 1946, 5424, 197.55252, 836.39343
63, 0.03100, 0.80649, 0.00153, 0.06123, 5424, 2053, 5424, 265.09622, 842.37756
64, 0.03953, 0.81291, 0.00157, 0.06139, 5424, 2052, 5424, 174.19530, 848.41205
65, 0.03822, 0.80506, 0.00148, 0.05825, 5424, 2040, 5424, 200.60408, 878.09222
66, 0.03776, 0.79601, 0.00152, 0.05895, 5424, 2009, 5424, 230.38446, 857.80298
67, 0.03590, 0.80137, 0.00147, 0.06012, 5424, 2024, 5424, 223.34503, 846.16077
68, 0.03674, 0.79668, 0.00142, 0.06226, 5424, 2003, 5424, 181.63425, 882.32703
69, 0.03762, 0.79118, 0.00143, 0.06827, 5424, 2001, 5424, 228.79030, 855.60272
