Using BRISK algorithm
Using flann-based matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.00928, 0.10382, 0.00084, 0.00769, 5424, 310, 22, 74.00000, 164.00000
2, 0.00967, 0.12185, 0.00085, 0.02278, 5424, 343, 27, 76.00000, 177.00000
3, 0.01221, 0.16091, 0.00088, 0.03914, 5424, 478, 38, 60.00000, 151.00000
4, 0.01121, 0.19184, 0.00092, 0.01031, 5424, 476, 25, 66.00000, 140.00000
5, 0.01139, 0.13214, 0.00087, 0.02582, 5424, 487, 24, 65.00000, 124.00000
6, 0.01216, 0.12769, 0.00122, 0.04355, 5424, 451, 37, 76.00000, 134.00000
7, 0.01175, 0.13276, 0.00080, 0.01320, 5424, 412, 32, 66.00000, 160.00000
8, 0.01526, 0.14040, 0.00080, 0.01088, 5424, 455, 30, 66.00000, 136.00000
9, 0.01247, 0.14957, 0.00120, 0.01071, 5424, 497, 23, 64.00000, 129.00000
10, 0.01356, 0.14465, 0.00084, 0.00926, 5424, 512, 26, 71.00000, 153.00000
11, 0.01239, 0.16398, 0.00083, 0.03262, 5424, 507, 31, 72.00000, 126.00000
12, 0.01268, 0.13297, 0.00081, 0.02239, 5424, 496, 26, 57.00000, 132.00000
13, 0.01183, 0.13800, 0.00079, 0.02002, 5424, 532, 28, 64.00000, 133.00000
14, 0.01217, 0.14928, 0.00092, 0.01843, 5424, 519, 27, 64.00000, 134.00000
15, 0.01416, 0.13884, 0.00083, 0.03423, 5424, 529, 31, 67.00000, 140.00000
16, 0.01282, 0.13398, 0.00079, 0.01447, 5424, 523, 26, 64.00000, 127.00000
17, 0.01203, 0.12679, 0.00095, 0.03194, 5424, 471, 39, 72.00000, 133.00000
18, 0.01137, 0.18242, 0.00098, 0.01750, 5424, 508, 29, 83.00000, 138.00000
19, 0.00997, 0.14432, 0.00087, 0.02512, 5424, 400, 35, 67.00000, 159.00000
20, 0.01263, 0.14037, 0.00089, 0.01786, 5424, 492, 26, 71.00000, 146.00000
21, 0.01333, 0.14388, 0.00082, 0.03194, 5424, 530, 28, 71.00000, 134.00000
22, 0.01276, 0.15758, 0.00115, 0.02104, 5424, 544, 31, 65.00000, 127.00000
23, 0.01278, 0.13920, 0.00080, 0.01799, 5424, 514, 22, 71.00000, 136.00000
24, 0.01328, 0.17783, 0.00093, 0.00831, 5424, 536, 20, 84.00000, 146.00000
25, 0.01399, 0.15038, 0.00157, 0.03278, 5424, 497, 26, 70.00000, 147.00000
26, 0.01393, 0.17903, 0.00095, 0.01687, 5424, 537, 22, 75.00000, 146.00000
27, 0.01359, 0.16185, 0.00080, 0.02512, 5424, 532, 27, 71.00000, 146.00000
28, 0.01334, 0.18561, 0.00082, 0.03045, 5424, 548, 28, 67.00000, 145.00000
29, 0.01290, 0.17297, 0.00082, 0.04517, 5424, 534, 32, 79.00000, 140.00000
30, 0.01343, 0.17131, 0.00094, 0.02652, 5424, 548, 25, 69.00000, 143.00000
31, 0.01345, 0.15214, 0.00085, 0.00815, 5424, 545, 19, 67.00000, 127.00000
32, 0.01094, 0.21943, 0.00216, 0.01863, 5424, 533, 33, 69.00000, 144.00000
33, 0.01228, 0.20651, 0.00090, 0.00497, 5424, 529, 16, 68.00000, 132.00000
34, 0.01241, 0.13572, 0.00090, 0.00801, 5424, 522, 19, 68.00000, 130.00000
35, 0.01335, 0.22181, 0.00079, 0.02284, 5424, 558, 20, 67.00000, 130.00000
36, 0.01381, 0.15415, 0.00166, 0.02219, 5424, 534, 27, 69.00000, 130.00000
37, 0.01430, 0.19257, 0.00080, 0.00660, 5424, 551, 18, 71.00000, 143.00000
