Using BRISK algorithm
Using flann-based matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.02472, 0.27580, 0.00081, 0.01114, 5424, 1228, 110, 32.00000, 125.00000
2, 0.02310, 0.30285, 0.00089, 0.00441, 5424, 1348, 91, 43.00000, 130.00000
3, 0.03171, 0.28234, 0.00088, 0.01429, 5424, 1260, 104, 41.00000, 128.00000
4, 0.02353, 0.37585, 0.00123, 0.01119, 5424, 1235, 71, 37.00000, 133.00000
5, 0.02222, 0.23280, 0.00085, 0.00586, 5424, 1206, 90, 47.00000, 114.00000
6, 0.02379, 0.22367, 0.00085, 0.00371, 5424, 1192, 83, 44.00000, 129.00000
7, 0.01668, 0.22866, 0.00114, 0.02641, 5424, 878, 78, 48.00000, 119.00000
8, 0.01490, 0.21580, 0.00082, 0.01690, 5424, 831, 59, 44.00000, 121.00000
9, 0.01508, 0.23109, 0.00085, 0.01700, 5424, 834, 64, 51.00000, 121.00000
10, 0.02184, 0.27609, 0.00087, 0.00449, 5424, 1113, 75, 48.00000, 126.00000
11, 0.02288, 0.31141, 0.00083, 0.00339, 5424, 1297, 89, 41.00000, 124.00000
12, 0.04062, 0.31926, 0.00089, 0.00424, 5424, 1362, 99, 38.00000, 129.00000
13, 0.02975, 0.33780, 0.00084, 0.00248, 5424, 1355, 103, 32.00000, 124.00000
14, 0.01629, 0.22628, 0.00081, 0.01590, 5424, 829, 53, 37.00000, 137.00000
15, 0.01707, 0.20355, 0.00082, 0.03611, 5424, 991, 80, 36.00000, 122.00000
16, 0.02231, 0.23262, 0.00085, 0.01018, 5424, 1009, 69, 33.00000, 128.00000
17, 0.01701, 0.22816, 0.00081, 0.01232, 5424, 855, 46, 42.00000, 117.00000
18, 0.01809, 0.23893, 0.00125, 0.04023, 5424, 924, 70, 56.00000, 123.00000
19, 0.01784, 0.21927, 0.00095, 0.02293, 5424, 765, 59, 63.00000, 134.00000
20, 0.01959, 0.21779, 0.00084, 0.03596, 5424, 922, 76, 48.00000, 126.00000
21, 0.01851, 0.23062, 0.00080, 0.03289, 5424, 1015, 67, 61.00000, 127.00000
22, 0.02844, 0.33958, 0.00082, 0.00312, 5424, 1513, 85, 45.00000, 121.00000
23, 0.02967, 0.29861, 0.00085, 0.00284, 5424, 1441, 101, 37.00000, 119.00000
24, 0.02669, 0.37950, 0.00097, 0.00177, 5424, 1558, 123, 39.00000, 116.00000
25, 0.02594, 0.36503, 0.00083, 0.00125, 5424, 1549, 102, 33.00000, 126.00000
26, 0.02289, 0.39507, 0.00082, 0.00291, 5424, 1547, 105, 37.00000, 115.00000
27, 0.02635, 0.37875, 0.00083, 0.00261, 5424, 1526, 105, 43.00000, 111.00000
28, 0.02353, 0.30840, 0.00082, 0.00498, 5424, 1253, 73, 44.00000, 126.00000
29, 0.01873, 0.22372, 0.00084, 0.03149, 5424, 928, 51, 50.00000, 128.00000
30, 0.01375, 0.18871, 0.00121, 0.03430, 5424, 744, 44, 56.00000, 133.00000
31, 0.01801, 0.20325, 0.00124, 0.03895, 5424, 891, 48, 60.00000, 126.00000
32, 0.02258, 0.29897, 0.00121, 0.00841, 5424, 1147, 70, 47.00000, 122.00000
33, 0.02433, 0.30293, 0.00080, 0.00155, 5424, 1258, 55, 48.00000, 123.00000
34, 0.02347, 0.26366, 0.00096, 0.00297, 5424, 1334, 64, 45.00000, 127.00000
35, 0.02128, 0.28043, 0.00138, 0.00325, 5424, 1231, 117, 19.00000, 120.00000
36, 0.01915, 0.23638, 0.00097, 0.00145, 5424, 1071, 83, 41.00000, 124.00000
37, 0.02653, 0.26733, 0.00082, 0.00238, 5424, 1094, 87, 42.00000, 125.00000
38, 0.02667, 0.29707, 0.00082, 0.00237, 5424, 1390, 94, 46.00000, 120.00000
39, 0.02707, 0.31099, 0.00410, 0.00277, 5424, 1504, 98, 38.00000, 117.00000
40, 0.02890, 0.30408, 0.00082, 0.00107, 5424, 1545, 83, 41.00000, 118.00000
41, 0.02734, 0.31832, 0.00084, 0.00188, 5424, 1526, 108, 24.00000, 122.00000
42, 0.01890, 0.21633, 0.00103, 0.01458, 5424, 989, 62, 50.00000, 120.00000
43, 0.02308, 0.27740, 0.00086, 0.00898, 5424, 1231, 103, 46.00000, 120.00000
44, 0.02308, 0.27811, 0.00083, 0.00182, 5424, 1414, 108, 26.00000, 120.00000
45, 0.02171, 0.32011, 0.00097, 0.00355, 5424, 1316, 69, 35.00000, 116.00000
46, 0.02824, 0.34008, 0.00098, 0.02897, 5424, 1322, 77, 57.00000, 120.00000
47, 0.02391, 0.22335, 0.00081, 0.03199, 5424, 992, 83, 50.00000, 119.00000
48, 0.01957, 0.23427, 0.00083, 0.01734, 5424, 1126, 95, 40.00000, 119.00000
49, 0.01817, 0.24117, 0.00082, 0.03217, 5424, 937, 72, 45.00000, 134.00000
50, 0.02754, 0.28903, 0.00082, 0.00221, 5424, 1274, 97, 38.00000, 127.00000
51, 0.02775, 0.31467, 0.00098, 0.00738, 5424, 1231, 94, 41.00000, 119.00000
52, 0.02280, 0.26342, 0.00084, 0.00930, 5424, 1175, 102, 45.00000, 122.00000
53, 0.02483, 0.28843, 0.00082, 0.00455, 5424, 1231, 77, 45.00000, 121.00000
54, 0.01735, 0.19523, 0.00080, 0.01442, 5424, 885, 59, 61.00000, 131.00000
55, 0.02018, 0.23839, 0.00083, 0.00323, 5424, 1200, 90, 44.00000, 129.00000
56, 0.02527, 0.40984, 0.00085, 0.00410, 5424, 1400, 93, 45.00000, 118.00000
57, 0.02501, 0.30557, 0.00081, 0.00813, 5424, 1419, 78, 43.00000, 113.00000
58, 0.02472, 0.33085, 0.00084, 0.00342, 5424, 1512, 94, 41.00000, 122.00000
59, 0.03265, 0.34720, 0.00087, 0.00557, 5424, 1495, 115, 30.00000, 115.00000
60, 0.02883, 0.34147, 0.00088, 0.00716, 5424, 1321, 80, 35.00000, 121.00000
61, 0.02081, 0.27810, 0.00086, 0.02190, 5424, 1170, 83, 44.00000, 113.00000
62, 0.02681, 0.30175, 0.00084, 0.00243, 5424, 1515, 76, 41.00000, 115.00000
63, 0.02049, 0.26009, 0.00310, 0.00833, 5424, 1077, 80, 50.00000, 122.00000
64, 0.02532, 0.34844, 0.00234, 0.00201, 5424, 1247, 72, 35.00000, 118.00000
65, 0.01980, 0.25908, 0.00082, 0.00374, 5424, 1184, 83, 41.00000, 125.00000
66, 0.01936, 0.22579, 0.00090, 0.01789, 5424, 992, 74, 46.00000, 131.00000
67, 0.02163, 0.27830, 0.00086, 0.00307, 5424, 1243, 76, 46.00000, 129.00000
68, 0.02078, 0.26337, 0.00115, 0.00307, 5424, 1259, 99, 43.00000, 121.00000
69, 0.02594, 0.22592, 0.00124, 0.00899, 5424, 1138, 93, 44.00000, 118.00000
70, 0.02304, 0.25900, 0.00084, 0.00274, 5424, 1207, 122, 45.00000, 117.00000
71, 0.01962, 0.25668, 0.00083, 0.00168, 5424, 1210, 112, 33.00000, 119.00000
72, 0.02815, 0.32963, 0.00085, 0.00130, 5424, 1516, 124, 32.00000, 117.00000
73, 0.02359, 0.28139, 0.00200, 0.00421, 5424, 1489, 123, 49.00000, 122.00000
74, 0.02564, 0.31921, 0.00085, 0.00277, 5424, 1418, 98, 42.00000, 114.00000
75, 0.01899, 0.25051, 0.00082, 0.03078, 5424, 1069, 55, 44.00000, 128.00000
76, 0.01975, 0.29458, 0.00086, 0.01840, 5424, 1098, 23, 68.00000, 116.00000
77, 0.02166, 0.31772, 0.00085, 0.00268, 5424, 1247, 28, 60.00000, 124.00000
78, 0.01882, 0.30402, 0.00080, 0.01474, 5424, 1027, 26, 55.00000, 116.00000
79, 0.01610, 0.23594, 0.00080, 0.00300, 5424, 891, 32, 71.00000, 126.00000
80, 0.02204, 0.23787, 0.00082, 0.02065, 5424, 1159, 93, 56.00000, 126.00000
81, 0.01951, 0.28670, 0.00086, 0.01654, 5424, 1226, 106, 50.00000, 113.00000
82, 0.02725, 0.27426, 0.00084, 0.00138, 5424, 1466, 129, 37.00000, 132.00000
83, 0.01918, 0.27742, 0.00085, 0.00347, 5424, 1293, 129, 40.00000, 129.00000
84, 0.02452, 0.31081, 0.00085, 0.00168, 5424, 1593, 120, 29.00000, 116.00000
85, 0.02805, 0.36431, 0.00082, 0.00133, 5424, 1633, 121, 33.00000, 125.00000
86, 0.03375, 0.30394, 0.00088, 0.00179, 5424, 1574, 129, 36.00000, 122.00000
87, 0.02841, 0.37871, 0.00158, 0.00150, 5424, 1658, 141, 37.00000, 120.00000
88, 0.02558, 0.31545, 0.00102, 0.00150, 5424, 1334, 112, 41.00000, 115.00000
89, 0.02840, 0.41158, 0.00083, 0.00178, 5424, 1568, 109, 31.00000, 129.00000
90, 0.02634, 0.37584, 0.00082, 0.00188, 5424, 1462, 128, 41.00000, 115.00000
91, 0.02533, 0.33086, 0.00148, 0.00343, 5424, 1484, 120, 41.00000, 138.00000
92, 0.03324, 0.29415, 0.00084, 0.00210, 5424, 1451, 106, 31.00000, 120.00000
93, 0.02520, 0.31098, 0.00100, 0.00440, 5424, 1364, 109, 37.00000, 121.00000
94, 0.02570, 0.30623, 0.00084, 0.00221, 5424, 1552, 89, 32.00000, 134.00000
95, 0.02515, 0.27679, 0.00084, 0.00266, 5424, 1451, 101, 43.00000, 111.00000
96, 0.02498, 0.30955, 0.00084, 0.00468, 5424, 1385, 89, 33.00000, 112.00000
97, 0.02380, 0.30263, 0.00083, 0.00430, 5424, 1330, 112, 42.00000, 120.00000
98, 0.02510, 0.29074, 0.00209, 0.00334, 5424, 1349, 84, 38.00000, 123.00000
99, 0.02339, 0.29654, 0.00082, 0.01893, 5424, 1362, 122, 37.00000, 124.00000
100, 0.02747, 0.35833, 0.00270, 0.00408, 5424, 1567, 99, 26.00000, 127.00000
