Using BRISK algorithm
Using flann-based matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.01075, 0.10756, 0.00138, 0.06294, 5424, 330, 5424, 62.00000, 222.00000
2, 0.01452, 0.16125, 0.00129, 0.06421, 5424, 488, 5424, 63.00000, 213.00000
3, 0.01331, 0.16567, 0.00129, 0.05598, 5424, 506, 5424, 60.00000, 219.00000
4, 0.01283, 0.19853, 0.00155, 0.07615, 5424, 497, 5424, 56.00000, 206.00000
5, 0.01254, 0.12941, 0.00129, 0.06664, 5424, 497, 5424, 59.00000, 208.00000
6, 0.01314, 0.13270, 0.00134, 0.06443, 5424, 507, 5424, 67.00000, 216.00000
7, 0.01177, 0.15328, 0.00139, 0.06763, 5424, 475, 5424, 54.00000, 210.00000
8, 0.01442, 0.17521, 0.00155, 0.06820, 5424, 507, 5424, 68.00000, 214.00000
9, 0.01199, 0.16852, 0.00152, 0.06505, 5424, 501, 5424, 56.00000, 212.00000
10, 0.01284, 0.13307, 0.00141, 0.06766, 5424, 510, 5424, 59.00000, 211.00000
11, 0.01356, 0.16093, 0.00137, 0.06387, 5424, 538, 5424, 65.00000, 209.00000
12, 0.01246, 0.13557, 0.00130, 0.06248, 5424, 507, 5424, 65.00000, 210.00000
13, 0.01305, 0.14487, 0.00222, 0.06701, 5424, 523, 5424, 68.00000, 217.00000
14, 0.01271, 0.17184, 0.00133, 0.06424, 5424, 537, 5424, 60.00000, 208.00000
15, 0.01257, 0.12753, 0.00160, 0.06062, 5424, 525, 5424, 63.00000, 215.00000
16, 0.01281, 0.13421, 0.00129, 0.05649, 5424, 500, 5424, 65.00000, 208.00000
17, 0.01204, 0.12852, 0.00199, 0.06162, 5424, 474, 5424, 66.00000, 208.00000
18, 0.01263, 0.16420, 0.00134, 0.05820, 5424, 511, 5424, 63.00000, 212.00000
19, 0.01300, 0.16621, 0.00129, 0.05828, 5424, 517, 5424, 66.00000, 220.00000
20, 0.01466, 0.16091, 0.00152, 0.05866, 5424, 539, 5424, 58.00000, 206.00000
21, 0.01183, 0.13015, 0.00136, 0.06089, 5424, 530, 5424, 62.00000, 221.00000
22, 0.01310, 0.15541, 0.00230, 0.06694, 5424, 536, 5424, 61.00000, 215.00000
23, 0.01348, 0.13808, 0.00144, 0.07709, 5424, 544, 5424, 59.00000, 213.00000
24, 0.01286, 0.17859, 0.00139, 0.06153, 5424, 537, 5424, 65.00000, 221.00000
25, 0.01283, 0.16871, 0.00139, 0.05602, 5424, 549, 5424, 55.00000, 219.00000
26, 0.01265, 0.17825, 0.00130, 0.06643, 5424, 537, 5424, 63.00000, 211.00000
27, 0.01353, 0.18325, 0.00129, 0.05784, 5424, 547, 5424, 53.00000, 210.00000
28, 0.01440, 0.17059, 0.00130, 0.07057, 5424, 522, 5424, 60.00000, 215.00000
29, 0.01354, 0.15909, 0.00154, 0.05878, 5424, 526, 5424, 52.00000, 218.00000
30, 0.01476, 0.15869, 0.00129, 0.06087, 5424, 562, 5424, 53.00000, 214.00000
31, 0.01380, 0.15459, 0.00178, 0.06105, 5424, 505, 5424, 51.00000, 219.00000
32, 0.01277, 0.19002, 0.00159, 0.06334, 5424, 563, 5424, 48.00000, 218.00000
33, 0.01488, 0.21132, 0.00240, 0.06361, 5424, 542, 5424, 51.00000, 220.00000
34, 0.01317, 0.14200, 0.00130, 0.06450, 5424, 548, 5424, 55.00000, 212.00000
35, 0.01372, 0.18663, 0.00152, 0.06763, 5424, 557, 5424, 54.00000, 220.00000
36, 0.01337, 0.14444, 0.00171, 0.05957, 5424, 556, 5424, 65.00000, 224.00000
37, 0.01364, 0.16856, 0.00133, 0.05918, 5424, 549, 5424, 64.00000, 219.00000
38, 0.01322, 0.15555, 0.00153, 0.05999, 5424, 570, 5424, 62.00000, 220.00000
39, 0.01270, 0.13871, 0.00158, 0.06373, 5424, 545, 5424, 67.00000, 219.00000
40, 0.01267, 0.13407, 0.00134, 0.05614, 5424, 553, 5424, 58.00000, 215.00000
41, 0.01043, 0.16412, 0.00130, 0.05693, 5424, 539, 5424, 64.00000, 215.00000
42, 0.01228, 0.13192, 0.00142, 0.05593, 5424, 535, 5424, 58.00000, 225.00000
43, 0.01333, 0.17097, 0.00130, 0.05677, 5424, 561, 5424, 61.00000, 221.00000
44, 0.01265, 0.14498, 0.00131, 0.06195, 5424, 515, 5424, 58.00000, 219.00000
45, 0.01283, 0.16531, 0.00133, 0.05597, 5424, 530, 5424, 64.00000, 232.00000
46, 0.01262, 0.17123, 0.00129, 0.05579, 5424, 542, 5424, 57.00000, 223.00000
