Using SIFT algorithm
Using brute force matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.07869, 0.09601, 0.00058, 0.00896, 3190, 311, 89, 85.66212, 307.41992
2, 0.09689, 0.11077, 0.00056, 0.04014, 3190, 366, 98, 62.27359, 309.24261
3, 0.08558, 0.11182, 0.00061, 0.03455, 3190, 372, 86, 74.50504, 379.73807
4, 0.08220, 0.11520, 0.00054, 0.03945, 3190, 386, 126, 37.58989, 312.61636
5, 0.08693, 0.11237, 0.00059, 0.03795, 3190, 380, 181, 47.45524, 329.80447
6, 0.08473, 0.10913, 0.00054, 0.00858, 3190, 362, 106, 59.74111, 320.13904
7, 0.09307, 0.09978, 0.00092, 0.03462, 3190, 381, 68, 83.48653, 317.95596
8, 0.08765, 0.11758, 0.00057, 0.03605, 3190, 389, 92, 43.45112, 320.36386
9, 0.09388, 0.12004, 0.00087, 0.01712, 3190, 401, 78, 73.97973, 349.87997
10, 0.08505, 0.10831, 0.00069, 0.03659, 3190, 360, 87, 58.05170, 303.69064
11, 0.08758, 0.11116, 0.00055, 0.01230, 3190, 374, 127, 31.79623, 320.24054
12, 0.09300, 0.12174, 0.00106, 0.03752, 3190, 391, 95, 74.69939, 313.49164
13, 0.08826, 0.11324, 0.00059, 0.02374, 3190, 375, 134, 38.62642, 334.61472
14, 0.08384, 0.11309, 0.00054, 0.03454, 3190, 381, 117, 57.62812, 316.42535
15, 0.10249, 0.11703, 0.00058, 0.04191, 3190, 365, 121, 53.33854, 330.37555
16, 0.08520, 0.10940, 0.00082, 0.03801, 3190, 370, 162, 41.76123, 371.90457
17, 0.08378, 0.11548, 0.00053, 0.02430, 3190, 391, 90, 114.17968, 334.35611
18, 0.08660, 0.11338, 0.00054, 0.00872, 3190, 372, 126, 69.87846, 335.34012
19, 0.07993, 0.11106, 0.00053, 0.01134, 3190, 360, 89, 54.26785, 363.37997
20, 0.08551, 0.12111, 0.00091, 0.00952, 3190, 408, 119, 40.65710, 328.87231
21, 0.09660, 0.11895, 0.00059, 0.03742, 3190, 403, 60, 59.85817, 304.65063
22, 0.08481, 0.11792, 0.00053, 0.03219, 3190, 408, 99, 60.08327, 335.71713
23, 0.08688, 0.12618, 0.00055, 0.03569, 3190, 423, 133, 50.01000, 345.34042
24, 0.08507, 0.11525, 0.00059, 0.03228, 3190, 389, 107, 47.28636, 324.00616
25, 0.08607, 0.12288, 0.00058, 0.03670, 3190, 413, 79, 52.59277, 317.14194
26, 0.08537, 0.11803, 0.00216, 0.00784, 3190, 397, 97, 55.25396, 315.42670
27, 0.08877, 0.13006, 0.00054, 0.01177, 3190, 440, 107, 55.13620, 332.78070
28, 0.08667, 0.12738, 0.00052, 0.00222, 3190, 430, 82, 70.34913, 315.19836
29, 0.09176, 0.12415, 0.00060, 0.00726, 3190, 427, 98, 58.54058, 309.58197
30, 0.08107, 0.11489, 0.00053, 0.00873, 3190, 391, 94, 29.84962, 318.66910
31, 0.08850, 0.13295, 0.00059, 0.03170, 3190, 445, 116, 51.35173, 307.24094
32, 0.09528, 0.13100, 0.00058, 0.00646, 3190, 441, 116, 70.65408, 304.56689
33, 0.08694, 0.12383, 0.00056, 0.02981, 3190, 421, 95, 71.77047, 298.15936
34, 0.08572, 0.12736, 0.00053, 0.03994, 3190, 420, 94, 78.27515, 356.47018
35, 0.08367, 0.12549, 0.00055, 0.03207, 3190, 421, 83, 71.23904, 371.67593
36, 0.08444, 0.12193, 0.00057, 0.03810, 3190, 409, 66, 74.49832, 348.85956
37, 0.08158, 0.12649, 0.00055, 0.03701, 3190, 426, 76, 90.11659, 329.12308
38, 0.08827, 0.12071, 0.00077, 0.03219, 3190, 406, 93, 60.91798, 373.32693
39, 0.08078, 0.12917, 0.00055, 0.01253, 3190, 427, 90, 67.69786, 344.43286
40, 0.08329, 0.12250, 0.00053, 0.03366, 3190, 409, 83, 40.37326, 340.31015
41, 0.08606, 0.11919, 0.00080, 0.03150, 3190, 406, 58, 34.42383, 301.23911
42, 0.08253, 0.12268, 0.00057, 0.03504, 3190, 414, 91, 60.78651, 378.34375
43, 0.08925, 0.11855, 0.00076, 0.03938, 3190, 397, 74, 56.50664, 368.24042
44, 0.08976, 0.12689, 0.00052, 0.03334, 3190, 429, 75, 66.50564, 358.92200
45, 0.08203, 0.12182, 0.00054, 0.00765, 3190, 410, 116, 55.48874, 323.09286
46, 0.08370, 0.11748, 0.00058, 0.03795, 3190, 396, 65, 120.07497, 376.23795
47, 0.08450, 0.12482, 0.00189, 0.03335, 3190, 423, 76, 80.31189, 358.63770
48, 0.08142, 0.12238, 0.00053, 0.04047, 3190, 412, 76, 90.51519, 363.95743
49, 0.08487, 0.13127, 0.00052, 0.01793, 3190, 436, 84, 46.43275, 358.54288
50, 0.08398, 0.12761, 0.00053, 0.01317, 3190, 431, 87, 64.91533, 321.41562
51, 0.09247, 0.12274, 0.00063, 0.03807, 3190, 420, 66, 91.68970, 307.63614
52, 0.07888, 0.12386, 0.00056, 0.02200, 3190, 406, 74, 78.71468, 342.09940
53, 0.09059, 0.12745, 0.00058, 0.03848, 3190, 427, 120, 42.66146, 366.48056
54, 0.09156, 0.12411, 0.00132, 0.01113, 3190, 415, 102, 42.73172, 296.09457
55, 0.08631, 0.12267, 0.00056, 0.00573, 3190, 417, 97, 52.12485, 371.66382
56, 0.08397, 0.12813, 0.00057, 0.00339, 3190, 429, 110, 34.43835, 370.69800
57, 0.08370, 0.12233, 0.00056, 0.03350, 3190, 408, 92, 49.11212, 335.07462
58, 0.08997, 0.11971, 0.00056, 0.03126, 3190, 400, 82, 97.62684, 383.48141
