Using SIFT algorithm
Using brute force matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.11085, 0.20499, 0.00067, 0.00542, 3190, 703, 409, 48.67237, 295.34555
2, 0.10572, 0.20649, 0.00207, 0.00472, 3190, 704, 362, 52.99057, 313.49002
3, 0.12745, 0.21674, 0.00068, 0.00230, 3190, 729, 382, 41.42463, 309.59491
4, 0.11693, 0.21816, 0.00071, 0.00437, 3190, 730, 440, 38.45777, 318.03143
5, 0.10767, 0.22029, 0.00066, 0.00689, 3190, 751, 447, 57.48043, 293.98981
6, 0.10531, 0.22072, 0.00065, 0.00443, 3190, 749, 360, 36.53765, 298.65198
7, 0.11112, 0.23799, 0.00068, 0.00356, 3190, 808, 432, 30.14963, 298.22308
8, 0.10455, 0.21972, 0.00063, 0.00392, 3190, 748, 403, 30.96773, 313.11499
9, 0.10629, 0.22754, 0.00065, 0.00710, 3190, 768, 455, 23.23790, 352.12213
10, 0.11102, 0.23068, 0.00064, 0.00443, 3190, 773, 396, 40.26164, 290.45654
11, 0.10557, 0.21872, 0.00063, 0.00460, 3190, 744, 394, 56.17829, 310.00000
12, 0.10673, 0.19845, 0.00060, 0.00382, 3190, 666, 303, 36.82391, 320.93457
13, 0.10278, 0.19782, 0.00061, 0.00370, 3190, 666, 294, 48.19751, 295.92905
14, 0.09747, 0.17167, 0.00061, 0.00725, 3190, 579, 281, 51.39066, 294.77109
15, 0.09893, 0.22925, 0.00207, 0.00560, 3190, 613, 301, 50.91169, 291.46182
16, 0.09910, 0.20150, 0.00309, 0.00258, 3190, 681, 269, 53.74012, 295.36249
17, 0.10201, 0.20313, 0.00058, 0.00353, 3190, 694, 229, 55.37147, 291.06702
18, 0.10454, 0.19606, 0.00059, 0.01018, 3190, 669, 285, 47.51842, 300.54449
19, 0.09707, 0.19541, 0.00059, 0.01038, 3190, 638, 278, 43.43961, 301.04486
20, 0.10009, 0.18226, 0.00116, 0.02482, 3190, 625, 316, 46.89350, 300.50125
21, 0.10677, 0.19142, 0.00072, 0.00698, 3190, 648, 272, 30.75711, 307.29138
22, 0.10046, 0.19768, 0.00093, 0.00677, 3190, 670, 309, 52.74467, 303.45181
23, 0.09978, 0.19775, 0.00063, 0.02326, 3190, 671, 377, 29.73214, 294.99829
24, 0.10267, 0.19922, 0.00063, 0.01718, 3190, 675, 319, 53.08484, 291.25418
25, 0.09567, 0.19510, 0.00061, 0.00840, 3190, 658, 302, 41.71331, 307.94968
26, 0.10426, 0.19998, 0.00059, 0.00527, 3190, 681, 281, 43.88622, 299.23401
27, 0.10300, 0.20302, 0.00120, 0.00758, 3190, 702, 290, 37.92097, 307.86523
28, 0.10061, 0.19830, 0.00058, 0.00587, 3190, 670, 229, 46.31414, 301.53772
29, 0.10514, 0.22282, 0.00094, 0.00317, 3190, 764, 282, 37.64306, 297.15149
30, 0.10064, 0.18482, 0.00064, 0.01356, 3190, 630, 157, 49.02040, 290.29639
31, 0.11074, 0.22443, 0.00099, 0.00255, 3190, 756, 255, 52.40229, 289.40973
32, 0.10777, 0.22106, 0.00202, 0.00401, 3190, 745, 283, 36.31804, 292.76611
33, 0.10679, 0.21331, 0.00091, 0.00250, 3190, 723, 252, 49.60847, 292.66705
34, 0.10102, 0.21921, 0.00065, 0.00752, 3190, 736, 326, 53.19774, 297.64575
35, 0.10142, 0.21780, 0.00061, 0.00501, 3190, 740, 320, 46.98936, 299.59973
36, 0.11027, 0.23669, 0.00063, 0.00225, 3190, 801, 243, 35.60899, 308.17203
37, 0.10889, 0.23286, 0.00061, 0.00641, 3190, 788, 336, 35.60899, 324.00308
38, 0.09750, 0.16417, 0.00057, 0.00443, 3190, 562, 124, 53.14132, 301.56592
39, 0.08836, 0.14360, 0.00061, 0.03091, 3190, 460, 101, 41.21893, 324.74142
40, 0.09224, 0.16314, 0.00055, 0.00540, 3190, 592, 162, 65.40643, 305.82349
41, 0.10419, 0.18508, 0.00056, 0.00341, 3190, 632, 178, 39.03844, 292.76953
42, 0.11131, 0.25489, 0.00065, 0.00773, 3190, 866, 423, 30.34798, 291.77045
43, 0.11697, 0.24878, 0.00061, 0.00296, 3190, 837, 315, 27.40438, 293.04437
44, 0.11679, 0.23680, 0.00078, 0.00649, 3190, 805, 346, 55.52477, 293.23199
45, 0.12593, 0.24638, 0.00064, 0.00658, 3190, 834, 340, 42.20190, 306.76050
46, 0.10618, 0.23706, 0.00062, 0.00241, 3190, 805, 351, 49.73932, 304.59317
47, 0.11801, 0.23975, 0.00070, 0.00712, 3190, 824, 396, 47.67599, 296.66479
48, 0.11228, 0.20533, 0.00064, 0.01052, 3190, 706, 253, 73.14369, 328.21640
49, 0.10982, 0.21848, 0.00060, 0.00259, 3190, 742, 189, 64.91533, 309.75797
50, 0.11833, 0.23065, 0.00060, 0.00557, 3190, 781, 259, 36.20773, 291.95035
51, 0.11004, 0.22709, 0.00057, 0.00213, 3190, 769, 206, 44.45222, 291.38635
52, 0.12290, 0.23852, 0.00064, 0.00278, 3190, 814, 252, 36.00000, 295.40311
53, 0.10362, 0.19285, 0.00062, 0.01142, 3190, 655, 220, 68.24222, 318.41324
54, 0.09482, 0.17751, 0.00056, 0.00461, 3190, 601, 175, 42.35564, 295.39804
55, 0.10035, 0.18740, 0.00065, 0.00881, 3190, 637, 280, 48.48711, 321.74213
56, 0.11263, 0.22694, 0.00061, 0.00341, 3190, 773, 315, 52.77310, 281.51553
57, 0.10691, 0.24275, 0.00071, 0.00524, 3190, 810, 348, 41.25530, 297.69278
58, 0.11523, 0.24360, 0.00104, 0.00248, 3190, 823, 285, 33.71943, 288.06424
59, 0.11218, 0.23925, 0.00061, 0.00303, 3190, 812, 311, 37.62978, 309.65948
60, 0.12201, 0.27496, 0.00084, 0.00281, 3190, 903, 374, 48.30114, 326.99081
61, 0.12583, 0.27547, 0.00314, 0.00183, 3190, 935, 335, 31.71750, 296.95285
62, 0.11543, 0.26880, 0.00074, 0.00281, 3190, 903, 407, 40.48457, 316.79489
63, 0.15160, 0.26460, 0.00067, 0.00370, 3190, 890, 431, 36.81033, 290.49442
64, 0.12607, 0.26759, 0.00067, 0.00833, 3190, 918, 525, 42.33202, 301.71179
65, 0.10472, 0.21105, 0.00058, 0.00991, 3190, 717, 201, 65.60488, 297.05219
66, 0.10207, 0.20161, 0.00083, 0.01761, 3190, 678, 226, 67.91907, 304.21866
67, 0.10741, 0.16865, 0.00058, 0.01432, 3190, 572, 225, 57.93962, 299.23569
68, 0.10204, 0.18043, 0.00071, 0.00658, 3190, 624, 266, 57.81868, 280.50311
69, 0.09819, 0.16315, 0.00087, 0.01737, 3190, 569, 297, 58.94913, 311.09161
70, 0.10972, 0.23309, 0.00116, 0.00324, 3190, 775, 360, 30.62679, 308.57251
71, 0.11698, 0.22055, 0.00075, 0.00298, 3190, 752, 338, 37.21559, 320.58228
72, 0.09822, 0.16863, 0.00108, 0.00414, 3190, 574, 187, 73.72245, 335.31775
73, 0.10184, 0.20681, 0.00057, 0.00265, 3190, 695, 219, 36.15245, 287.44913
74, 0.11208, 0.19689, 0.00067, 0.00242, 3190, 689, 229, 47.68648, 297.29279
75, 0.11665, 0.22988, 0.00064, 0.00284, 3190, 791, 359, 42.47352, 286.77518
76, 0.10888, 0.23335, 0.00065, 0.00588, 3190, 788, 361, 33.51119, 287.62476
77, 0.11009, 0.22571, 0.00068, 0.00763, 3190, 762, 371, 37.73592, 307.41504
78, 0.11082, 0.20551, 0.00059, 0.02626, 3190, 700, 267, 65.68866, 289.50128
79, 0.10312, 0.21526, 0.00060, 0.02134, 3190, 732, 303, 45.31004, 325.67776
80, 0.10775, 0.22707, 0.00078, 0.00603, 3190, 767, 288, 55.28110, 298.29852
81, 0.10594, 0.21186, 0.00061, 0.01599, 3190, 733, 316, 51.19570, 297.37686
82, 0.10878, 0.23776, 0.00064, 0.00476, 3190, 806, 288, 52.23026, 285.29633
83, 0.10701, 0.23845, 0.00062, 0.01053, 3190, 807, 346, 46.94678, 304.88031
84, 0.11033, 0.23922, 0.00061, 0.00276, 3190, 806, 303, 51.52669, 291.50815
85, 0.10354, 0.23140, 0.00066, 0.01009, 3190, 771, 359, 36.40055, 288.35394
86, 0.11978, 0.23848, 0.00074, 0.00519, 3190, 810, 430, 33.45146, 294.28217
87, 0.13226, 0.23501, 0.00065, 0.00704, 3190, 792, 398, 44.55334, 308.05844
88, 0.11528, 0.22204, 0.00065, 0.00354, 3190, 750, 332, 49.14265, 303.38095
89, 0.11337, 0.24005, 0.00066, 0.00494, 3190, 815, 356, 40.48457, 289.91724
90, 0.11516, 0.23470, 0.00188, 0.00417, 3190, 801, 400, 46.22770, 292.60724
91, 0.11244, 0.23318, 0.00062, 0.00249, 3190, 789, 285, 36.61967, 282.52078
92, 0.09561, 0.15747, 0.00057, 0.00934, 3190, 530, 164, 77.03246, 307.09772
93, 0.08884, 0.14767, 0.00055, 0.00662, 3190, 495, 116, 90.89555, 316.11075
94, 0.11507, 0.19601, 0.00091, 0.00658, 3190, 666, 230, 50.02999, 284.33255
95, 0.12527, 0.24874, 0.00088, 0.00651, 3190, 839, 397, 46.15192, 291.00516
96, 0.11152, 0.23564, 0.00072, 0.01079, 3190, 803, 393, 49.01020, 311.70819
97, 0.10953, 0.22888, 0.00062, 0.00313, 3190, 778, 208, 52.84884, 301.50623
98, 0.10769, 0.24818, 0.00061, 0.00473, 3190, 842, 359, 41.42463, 299.93665
99, 0.11561, 0.22409, 0.00064, 0.01057, 3190, 753, 262, 54.90902, 286.06992
100, 0.10683, 0.22002, 0.00060, 0.00556, 3190, 748, 217, 45.39824, 297.09088
