Using SIFT algorithm
Using brute force matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.08597, 0.09081, 0.00083, 0.04558, 3190, 303, 3190, 66.36264, 483.14386
2, 0.09933, 0.11427, 0.00079, 0.04943, 3190, 388, 3190, 47.03190, 503.17096
3, 0.08573, 0.12191, 0.00087, 0.05391, 3190, 412, 3190, 60.47313, 482.08609
4, 0.10576, 0.13097, 0.00079, 0.04937, 3190, 442, 3190, 66.35510, 496.95975
5, 0.08893, 0.12569, 0.00083, 0.05379, 3190, 427, 3190, 75.72978, 463.76395
6, 0.08338, 0.12792, 0.00080, 0.04742, 3190, 429, 3190, 57.45433, 495.43515
7, 0.08238, 0.12401, 0.00080, 0.05936, 3190, 418, 3190, 64.02343, 492.45001
8, 0.10714, 0.14190, 0.00082, 0.07513, 3190, 459, 3190, 74.24284, 492.81842
9, 0.10082, 0.13978, 0.00085, 0.05984, 3190, 439, 3190, 72.46378, 487.06262
10, 0.09286, 0.11913, 0.00084, 0.04891, 3190, 403, 3190, 65.02307, 509.84213
11, 0.09133, 0.12912, 0.00106, 0.05250, 3190, 438, 3190, 57.16642, 499.67691
12, 0.09481, 0.13194, 0.00171, 0.05078, 3190, 428, 3190, 56.69215, 481.00937
13, 0.10062, 0.13309, 0.00084, 0.05289, 3190, 434, 3190, 65.18436, 499.48975
14, 0.10098, 0.12688, 0.00081, 0.05666, 3190, 416, 3190, 61.82233, 496.00201
15, 0.09950, 0.12691, 0.00089, 0.05204, 3190, 425, 3190, 60.81118, 485.48944
16, 0.08683, 0.12582, 0.00084, 0.04833, 3190, 423, 3190, 56.08921, 492.65100
17, 0.08937, 0.12728, 0.00080, 0.05136, 3190, 431, 3190, 56.50664, 484.91443
18, 0.09040, 0.12974, 0.00080, 0.04858, 3190, 438, 3190, 61.40033, 479.35477
19, 0.08836, 0.12521, 0.00085, 0.05506, 3190, 424, 3190, 74.03378, 468.91684
20, 0.08890, 0.12818, 0.00102, 0.05331, 3190, 427, 3190, 65.04613, 487.32639
21, 0.09292, 0.13048, 0.00087, 0.05157, 3190, 436, 3190, 62.71363, 475.28308
22, 0.08677, 0.12578, 0.00095, 0.05368, 3190, 419, 3190, 62.34581, 490.26117
23, 0.09207, 0.13198, 0.00213, 0.05008, 3190, 431, 3190, 62.92059, 492.68954
24, 0.10079, 0.12181, 0.00082, 0.05048, 3190, 437, 3190, 66.54322, 482.05704
25, 0.09815, 0.13523, 0.00080, 0.05467, 3190, 437, 3190, 60.32412, 499.78494
26, 0.08610, 0.12462, 0.00085, 0.05633, 3190, 420, 3190, 53.46027, 499.02405
27, 0.08601, 0.13116, 0.00082, 0.05504, 3190, 441, 3190, 64.22617, 483.02173
28, 0.08956, 0.12618, 0.00084, 0.05756, 3190, 422, 3190, 62.67376, 472.58228
29, 0.08198, 0.13206, 0.00080, 0.05019, 3190, 449, 3190, 62.67376, 494.45929
30, 0.09638, 0.12244, 0.00116, 0.05298, 3190, 411, 3190, 65.71910, 476.58054
31, 0.08537, 0.12836, 0.00080, 0.05779, 3190, 431, 3190, 59.90826, 479.95938
32, 0.09497, 0.12616, 0.00094, 0.05006, 3190, 421, 3190, 61.46544, 483.15628
33, 0.09669, 0.12723, 0.00311, 0.05507, 3190, 431, 3190, 59.46428, 498.52182
34, 0.09331, 0.12673, 0.00116, 0.05322, 3190, 424, 3190, 65.19202, 492.02643
35, 0.08945, 0.13375, 0.00087, 0.04766, 3190, 439, 3190, 60.25778, 486.25714
36, 0.09046, 0.12610, 0.00080, 0.05405, 3190, 428, 3190, 60.51446, 488.64301
37, 0.09164, 0.13129, 0.00084, 0.05346, 3190, 442, 3190, 63.12686, 487.22275
38, 0.08978, 0.12700, 0.00080, 0.05265, 3190, 432, 3190, 58.31809, 490.75961
39, 0.12166, 0.11914, 0.00080, 0.04751, 3190, 399, 3190, 63.31667, 483.42114
40, 0.08495, 0.12388, 0.00094, 0.05301, 3190, 417, 3190, 68.33739, 480.49246
41, 0.09752, 0.12755, 0.00168, 0.04969, 3190, 435, 3190, 63.89836, 494.59579
42, 0.09827, 0.13019, 0.00080, 0.05442, 3190, 443, 3190, 71.33022, 477.10272
43, 0.09796, 0.11975, 0.00134, 0.04937, 3190, 404, 3190, 62.57795, 481.79559
44, 0.08849, 0.11510, 0.00291, 0.05437, 3190, 388, 3190, 57.20140, 493.77423
45, 0.09101, 0.13095, 0.00084, 0.05650, 3190, 443, 3190, 60.80296, 480.26242
46, 0.09583, 0.12435, 0.00080, 0.05662, 3190, 418, 3190, 64.34283, 488.85172
47, 0.08783, 0.12643, 0.00084, 0.05318, 3190, 427, 3190, 67.94115, 494.01315
48, 0.08886, 0.12305, 0.00089, 0.05304, 3190, 415, 3190, 67.14164, 494.90503
