Using SIFT algorithm
Using flann-based matcher
Using knn matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.12228, 0.15908, 0.00077, 0.00307, 3190, 868, 381, 34.95712, 288.22214
2, 0.12393, 0.16165, 0.00100, 0.00454, 3190, 853, 352, 29.88311, 323.09750
3, 0.12104, 0.18923, 0.00078, 0.00963, 3190, 870, 433, 37.74917, 293.38882
4, 0.12121, 0.16717, 0.00073, 0.00290, 3190, 828, 304, 43.33590, 292.59186
5, 0.11891, 0.16169, 0.00067, 0.00332, 3190, 878, 328, 36.44173, 292.29266
6, 0.12557, 0.18064, 0.00065, 0.00273, 3190, 965, 421, 35.19943, 286.05945
7, 0.12410, 0.15691, 0.00067, 0.00311, 3190, 890, 343, 38.98718, 285.85135
8, 0.12893, 0.16934, 0.00065, 0.00278, 3190, 964, 377, 34.94281, 282.01242
9, 0.11726, 0.16058, 0.00081, 0.00351, 3190, 892, 387, 28.42534, 289.87582
10, 0.10243, 0.12152, 0.00060, 0.00362, 3190, 683, 232, 38.92300, 303.24908
11, 0.10385, 0.12882, 0.00066, 0.00321, 3190, 713, 300, 34.74191, 299.68985
12, 0.10706, 0.13300, 0.00061, 0.00412, 3190, 690, 278, 37.96051, 303.37436
13, 0.12500, 0.18022, 0.00076, 0.00461, 3190, 906, 394, 47.50789, 286.83096
14, 0.11961, 0.14373, 0.00062, 0.00602, 3190, 743, 261, 38.37968, 314.92538
15, 0.11608, 0.14584, 0.00095, 0.00302, 3190, 757, 253, 48.13523, 281.71262
16, 0.11859, 0.14563, 0.00063, 0.00717, 3190, 749, 254, 55.05452, 292.25504
17, 0.13001, 0.16787, 0.00071, 0.00313, 3190, 923, 474, 43.11612, 287.97916
18, 0.12819, 0.18013, 0.00066, 0.00258, 3190, 959, 460, 26.22975, 285.65189
19, 0.12786, 0.19406, 0.00124, 0.00783, 3190, 962, 473, 42.02380, 291.25763
20, 0.12455, 0.16636, 0.00069, 0.00227, 3190, 895, 284, 40.11234, 291.17865
21, 0.11211, 0.15831, 0.00068, 0.00249, 3190, 789, 230, 34.64102, 301.07642
22, 0.11441, 0.15186, 0.00094, 0.00634, 3190, 767, 263, 39.96248, 294.02209
23, 0.11074, 0.14559, 0.00066, 0.00361, 3190, 729, 286, 46.79744, 320.83484
24, 0.11686, 0.13640, 0.00061, 0.00504, 3190, 751, 277, 58.83027, 291.06702
25, 0.11823, 0.15015, 0.00064, 0.00409, 3190, 792, 370, 38.27532, 286.67404
26, 0.12446, 0.16224, 0.00063, 0.00306, 3190, 856, 322, 55.00909, 296.90067
27, 0.12329, 0.16299, 0.00062, 0.00517, 3190, 804, 306, 46.26014, 294.18872
28, 0.12026, 0.14672, 0.00073, 0.00311, 3190, 781, 346, 47.03190, 286.02621
29, 0.10864, 0.15787, 0.00072, 0.01139, 3190, 792, 249, 49.36598, 290.12927
30, 0.11300, 0.14135, 0.00059, 0.00862, 3190, 784, 218, 56.55970, 307.79865
31, 0.12116, 0.14792, 0.00072, 0.00635, 3190, 779, 180, 49.23413, 302.31607
32, 0.10854, 0.13094, 0.00065, 0.00707, 3190, 720, 244, 48.24935, 303.44357
33, 0.12012, 0.15255, 0.00061, 0.00309, 3190, 802, 229, 44.36214, 288.61740
34, 0.10680, 0.13762, 0.00064, 0.00474, 3190, 672, 216, 48.15600, 310.51248
35, 0.10535, 0.14475, 0.00059, 0.00703, 3190, 666, 192, 44.26059, 288.10934
36, 0.11845, 0.13729, 0.00071, 0.00642, 3190, 710, 270, 42.91853, 316.14554
37, 0.11903, 0.14897, 0.00064, 0.00232, 3190, 768, 243, 46.47580, 292.57990
38, 0.11699, 0.16476, 0.00065, 0.00362, 3190, 832, 252, 57.19266, 311.67450
39, 0.12113, 0.17452, 0.00062, 0.01094, 3190, 888, 317, 45.90207, 288.59314
40, 0.11698, 0.19463, 0.00099, 0.00346, 3190, 922, 265, 42.95346, 290.82468
41, 0.12185, 0.18572, 0.00065, 0.00252, 3190, 964, 372, 47.11687, 307.65079
42, 0.12697, 0.20567, 0.00064, 0.00529, 3190, 1014, 375, 36.64697, 310.56079
43, 0.12624, 0.19938, 0.00194, 0.00760, 3190, 972, 391, 29.63107, 282.48718
44, 0.11615, 0.16293, 0.00349, 0.00363, 3190, 869, 367, 30.41381, 288.22736
45, 0.11746, 0.16291, 0.00078, 0.00215, 3190, 792, 322, 45.07771, 295.61292
46, 0.11903, 0.18046, 0.00069, 0.00269, 3190, 925, 453, 38.41875, 274.09488
47, 0.13126, 0.22500, 0.00074, 0.00286, 3190, 1073, 525, 30.46309, 292.87369
48, 0.13906, 0.19840, 0.00069, 0.00252, 3190, 1051, 498, 41.29165, 291.43781
49, 0.13429, 0.22082, 0.00070, 0.00257, 3190, 1126, 521, 24.51530, 291.94177
50, 0.14797, 0.20824, 0.00173, 0.00545, 3190, 1098, 559, 23.02173, 288.77325
