Using SIFT algorithm
Using flann-based matcher
Using regular matching
Frame, t_detect, t_match, t_sort , t_transform, Training Descriptors, Query Descriptors, Matches, Min Distance, Max Distance
1, 0.12379, 0.15964, 0.00084, 0.05559, 3190, 824, 3190, 41.42463, 472.21817
2, 0.13115, 0.19027, 0.00081, 0.05002, 3190, 1062, 3190, 33.46640, 457.00330
3, 0.13041, 0.18554, 0.00085, 0.05514, 3190, 1034, 3190, 24.69818, 462.88876
4, 0.12901, 0.19002, 0.00085, 0.05669, 3190, 1005, 3190, 38.72983, 457.46585
5, 0.13736, 0.20220, 0.00080, 0.04635, 3190, 1098, 3190, 34.68429, 440.03751
6, 0.13596, 0.21839, 0.00086, 0.04834, 3190, 1118, 3190, 31.19295, 439.91931
7, 0.12375, 0.16434, 0.00084, 0.04859, 3190, 917, 3190, 40.64480, 458.20193
8, 0.12479, 0.18799, 0.00166, 0.05973, 3190, 896, 3190, 38.62642, 466.70761
9, 0.11140, 0.15728, 0.00081, 0.04953, 3190, 880, 3190, 33.76389, 446.65088
10, 0.11312, 0.15053, 0.00085, 0.05246, 3190, 862, 3190, 29.15476, 446.61057
11, 0.11560, 0.17084, 0.00088, 0.04904, 3190, 927, 3190, 23.60085, 460.34335
12, 0.11322, 0.14415, 0.00124, 0.07866, 3190, 752, 3190, 41.42463, 469.43582
13, 0.12864, 0.18105, 0.00081, 0.04686, 3190, 939, 3190, 45.38722, 443.21100
14, 0.12410, 0.18428, 0.00081, 0.04610, 3190, 1043, 3190, 38.96152, 446.43030
15, 0.12349, 0.17009, 0.00120, 0.05118, 3190, 965, 3190, 42.17819, 466.99573
16, 0.12438, 0.18205, 0.00081, 0.04823, 3190, 983, 3190, 33.18132, 469.92978
17, 0.12391, 0.16805, 0.00095, 0.04826, 3190, 986, 3190, 40.79216, 454.94394
18, 0.13244, 0.17259, 0.00123, 0.04755, 3190, 979, 3190, 33.55592, 449.09909
19, 0.12402, 0.17008, 0.00082, 0.05454, 3190, 935, 3190, 46.96807, 459.90759
20, 0.12334, 0.18497, 0.00090, 0.05189, 3190, 1013, 3190, 43.18565, 453.15338
21, 0.12442, 0.18195, 0.00104, 0.04586, 3190, 999, 3190, 31.14482, 447.73877
22, 0.12411, 0.17484, 0.00084, 0.04888, 3190, 1006, 3190, 31.68596, 449.35397
23, 0.12712, 0.18311, 0.00095, 0.04780, 3190, 987, 3190, 29.25748, 439.95682
24, 0.13752, 0.19401, 0.00081, 0.05464, 3190, 994, 3190, 32.38827, 440.08636
25, 0.12892, 0.18753, 0.00085, 0.04625, 3190, 983, 3190, 29.00000, 435.89679
26, 0.12799, 0.18781, 0.00084, 0.04788, 3190, 1017, 3190, 33.76389, 438.03995
27, 0.12733, 0.16570, 0.00126, 0.05045, 3190, 958, 3190, 44.04543, 461.61563
28, 0.12695, 0.18593, 0.00082, 0.04960, 3190, 1013, 3190, 31.51190, 455.82562
29, 0.12570, 0.19047, 0.00097, 0.05509, 3190, 967, 3190, 52.45951, 464.35440
30, 0.12668, 0.18947, 0.00087, 0.05703, 3190, 1020, 3190, 36.55133, 457.46149
31, 0.12401, 0.18543, 0.00081, 0.04890, 3190, 1019, 3190, 45.67275, 446.06277
32, 0.13179, 0.18334, 0.00095, 0.04735, 3190, 959, 3190, 42.80187, 462.78613
33, 0.13095, 0.17249, 0.00081, 0.05101, 3190, 996, 3190, 36.93237, 474.60825
34, 0.13257, 0.18627, 0.00081, 0.04895, 3190, 952, 3190, 51.70107, 454.45901
35, 0.13592, 0.18438, 0.00081, 0.08357, 3190, 985, 3190, 31.51190, 441.64127
