Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.05576, 5424, 404, 10
2, 0.06524, 5424, 430, 9
3, 0.06672, 5424, 488, 6
4, 0.06973, 5424, 519, 4
5, 0.06721, 5424, 511, 4
6, 0.06796, 5424, 509, 9
7, 0.06958, 5424, 522, 5
8, 0.06980, 5424, 522, 2
9, 0.06752, 5424, 523, 0
10, 0.07197, 5424, 542, 9
11, 0.07776, 5424, 535, 4
12, 0.07499, 5424, 539, 4
13, 0.06978, 5424, 525, 9
14, 0.07163, 5424, 524, 8
15, 0.07316, 5424, 542, 7
16, 0.07280, 5424, 541, 9
17, 0.07087, 5424, 546, 4
18, 0.08468, 5424, 532, 9
19, 0.07878, 5424, 551, 9
20, 0.06884, 5424, 539, 6
21, 0.07856, 5424, 536, 10
22, 0.07411, 5424, 537, 10
23, 0.07534, 5424, 542, 4
24, 0.07333, 5424, 527, 2
25, 0.07396, 5424, 562, 3
26, 0.07059, 5424, 559, 6
27, 0.07426, 5424, 554, 7
28, 0.07726, 5424, 532, 10
29, 0.07387, 5424, 545, 12
30, 0.07781, 5424, 538, 6
31, 0.07651, 5424, 563, 6
32, 0.07761, 5424, 551, 6
33, 0.06984, 5424, 536, 5
34, 0.07348, 5424, 553, 8
35, 0.06854, 5424, 499, 10
36, 0.07342, 5424, 509, 16
37, 0.11303, 5424, 866, 8
38, 0.31427, 5424, 993, 9
39, 0.12044, 5424, 953, 4
40, 0.12546, 5424, 976, 8
41, 0.12486, 5424, 982, 6
42, 0.13326, 5424, 967, 11
43, 0.12507, 5424, 966, 6
44, 0.12633, 5424, 995, 6
45, 0.13040, 5424, 997, 4
46, 0.12971, 5424, 1010, 10
47, 0.12893, 5424, 1033, 8
48, 0.12586, 5424, 991, 7
49, 0.13375, 5424, 1002, 5
50, 0.12339, 5424, 989, 8
51, 0.12129, 5424, 982, 4
52, 0.12016, 5424, 987, 6
53, 0.12882, 5424, 994, 6
54, 0.12853, 5424, 994, 10
55, 0.13086, 5424, 1002, 6
56, 0.12234, 5424, 1001, 7
57, 0.12290, 5424, 989, 7
58, 0.12706, 5424, 1016, 6
59, 0.12161, 5424, 988, 10
60, 0.12278, 5424, 999, 8
61, 0.12203, 5424, 1007, 6
62, 0.12713, 5424, 998, 5
63, 0.12547, 5424, 985, 4
64, 0.13313, 5424, 1007, 2
65, 0.12917, 5424, 1000, 8
66, 0.12231, 5424, 998, 5
67, 0.14048, 5424, 1001, 3
68, 0.12880, 5424, 989, 2
69, 0.12929, 5424, 981, 12
70, 0.12862, 5424, 990, 14
71, 0.15702, 5424, 992, 3
72, 0.11997, 5424, 985, 4
73, 0.12611, 5424, 977, 5
74, 0.11794, 5424, 963, 5
75, 0.12070, 5424, 993, 5
76, 0.13038, 5424, 1000, 7
77, 0.12332, 5424, 1018, 5
78, 0.12113, 5424, 989, 6
79, 0.13630, 5424, 996, 2
80, 0.12395, 5424, 998, 4
81, 0.12752, 5424, 976, 7
82, 0.12170, 5424, 985, 5
83, 0.12455, 5424, 988, 9
84, 0.12375, 5424, 984, 8
85, 0.12408, 5424, 978, 7
86, 0.12036, 5424, 978, 5
87, 0.12491, 5424, 980, 8
88, 0.11732, 5424, 950, 8
89, 0.12281, 5424, 989, 6
90, 0.12425, 5424, 1000, 6
91, 0.12494, 5424, 965, 7
92, 0.12395, 5424, 992, 5
93, 0.12369, 5424, 967, 8
94, 0.13152, 5424, 1003, 12
95, 0.12582, 5424, 998, 4
96, 0.14646, 5424, 1000, 7
97, 0.12011, 5424, 975, 7
98, 0.11967, 5424, 960, 5
99, 0.12582, 5424, 986, 7
100, 0.12177, 5424, 963, 7
101, 0.12534, 5424, 980, 7
102, 0.12134, 5424, 969, 5
103, 0.12234, 5424, 982, 8
104, 0.12342, 5424, 975, 8
105, 0.12824, 5424, 997, 7
106, 0.12989, 5424, 980, 10
107, 0.12884, 5424, 1015, 5
108, 0.12705, 5424, 997, 5
109, 0.12407, 5424, 967, 6
110, 0.12509, 5424, 995, 10
