Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.17808, 5424, 1442, 35
2, 0.17066, 5424, 1326, 38
3, 0.16829, 5424, 1392, 25
4, 0.17152, 5424, 1376, 32
5, 0.17594, 5424, 1431, 31
6, 0.18042, 5424, 1480, 29
7, 0.18753, 5424, 1535, 50
8, 0.18434, 5424, 1510, 31
9, 0.18716, 5424, 1529, 28
10, 0.20292, 5424, 1511, 29
11, 0.19330, 5424, 1543, 30
12, 0.19362, 5424, 1582, 26
13, 0.19468, 5424, 1583, 44
14, 0.20618, 5424, 1623, 44
15, 0.20312, 5424, 1593, 48
16, 0.20580, 5424, 1630, 40
17, 0.20101, 5424, 1609, 36
18, 0.17022, 5424, 1396, 32
19, 0.18774, 5424, 1530, 30
20, 0.15830, 5424, 1260, 32
21, 0.15734, 5424, 1301, 32
22, 0.15799, 5424, 1282, 40
23, 0.16862, 5424, 1383, 35
24, 0.18534, 5424, 1346, 35
25, 0.18819, 5424, 1518, 39
26, 0.17289, 5424, 1399, 39
27, 0.19027, 5424, 1552, 48
28, 0.20048, 5424, 1609, 50
29, 0.20426, 5424, 1669, 36
30, 0.19084, 5424, 1446, 33
31, 0.16840, 5424, 1093, 26
32, 0.15329, 5424, 1229, 47
33, 0.14759, 5424, 1157, 26
34, 0.14614, 5424, 1175, 35
35, 0.20190, 5424, 1616, 60
36, 0.19858, 5424, 1622, 47
37, 0.19835, 5424, 1629, 53
38, 0.18054, 5424, 1491, 39
39, 0.18911, 5424, 1563, 52
40, 0.22511, 5424, 1828, 48
41, 0.22866, 5424, 1896, 54
42, 0.23395, 5424, 1938, 53
43, 0.24149, 5424, 1961, 60
44, 0.23757, 5424, 1917, 44
45, 0.24103, 5424, 1960, 46
46, 0.23745, 5424, 1954, 44
47, 0.23649, 5424, 1939, 53
48, 0.19031, 5424, 1455, 26
49, 0.22883, 5424, 1817, 48
50, 0.20605, 5424, 1696, 50
51, 0.20932, 5424, 1700, 42
52, 0.18376, 5424, 1527, 57
53, 0.18069, 5424, 1486, 41
54, 0.18690, 5424, 1483, 44
55, 0.18781, 5424, 1517, 27
56, 0.17826, 5424, 1480, 41
57, 0.18584, 5424, 1482, 42
58, 0.18921, 5424, 1527, 43
59, 0.18898, 5424, 1517, 40
60, 0.19178, 5424, 1585, 40
61, 0.20288, 5424, 1681, 29
62, 0.20953, 5424, 1669, 44
63, 0.14884, 5424, 1143, 19
64, 0.17105, 5424, 1357, 30
65, 0.16572, 5424, 1329, 26
66, 0.17272, 5424, 1270, 34
67, 0.16143, 5424, 1266, 36
68, 0.19926, 5424, 1608, 37
69, 0.21931, 5424, 1690, 43
70, 0.19909, 5424, 1638, 35
71, 0.23592, 5424, 1840, 43
72, 0.23024, 5424, 1909, 45
73, 0.24674, 5424, 2015, 44
74, 0.25073, 5424, 2069, 41
75, 0.25495, 5424, 2082, 44
76, 0.24913, 5424, 2059, 44
77, 0.24451, 5424, 1996, 50
78, 0.17659, 5424, 1420, 27
79, 0.19170, 5424, 1502, 25
80, 0.17793, 5424, 1440, 34
81, 0.20676, 5424, 1534, 32
82, 0.19255, 5424, 1517, 49
83, 0.17842, 5424, 1461, 41
84, 0.18778, 5424, 1446, 41
85, 0.19636, 5424, 1572, 35
86, 0.20137, 5424, 1625, 31
87, 0.21430, 5424, 1640, 40
88, 0.20428, 5424, 1642, 40
89, 0.20062, 5424, 1635, 37
90, 0.21939, 5424, 1619, 42
91, 0.20129, 5424, 1646, 35
92, 0.21247, 5424, 1649, 30
93, 0.21030, 5424, 1647, 38
94, 0.21407, 5424, 1606, 40
95, 0.21221, 5424, 1622, 35
96, 0.21280, 5424, 1671, 38
97, 0.19844, 5424, 1602, 37
98, 0.20942, 5424, 1602, 38
99, 0.24755, 5424, 1635, 44
100, 0.20463, 5424, 1630, 34
101, 0.20134, 5424, 1607, 30
102, 0.21069, 5424, 1646, 36
