Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.11349, 3190, 361, 93
2, 0.10492, 3190, 343, 115
3, 0.08489, 3190, 346, 114
4, 0.09404, 3190, 343, 133
5, 0.09205, 3190, 329, 163
6, 0.09442, 3190, 344, 102
7, 0.07763, 3190, 328, 132
8, 0.08947, 3190, 359, 117
9, 0.09036, 3190, 345, 162
10, 0.11351, 3190, 367, 138
11, 0.10703, 3190, 342, 175
12, 0.10174, 3190, 359, 143
13, 0.10614, 3190, 353, 153
14, 0.09724, 3190, 356, 95
15, 0.08487, 3190, 338, 167
16, 0.10011, 3190, 376, 128
17, 0.09537, 3190, 367, 169
18, 0.09684, 3190, 358, 115
19, 0.10803, 3190, 345, 167
20, 0.09047, 3190, 348, 200
21, 0.09510, 3190, 357, 166
22, 0.08389, 3190, 368, 106
23, 0.09042, 3190, 363, 176
24, 0.09314, 3190, 356, 132
25, 0.10970, 3190, 366, 60
26, 0.07975, 3190, 363, 118
27, 0.10499, 3190, 364, 76
28, 0.10663, 3190, 316, 55
29, 0.13692, 3190, 631, 104
30, 0.16244, 3190, 653, 67
31, 0.14515, 3190, 645, 88
32, 0.12433, 3190, 648, 103
33, 0.13154, 3190, 635, 131
34, 0.10672, 3190, 613, 120
35, 0.11831, 3190, 648, 135
36, 0.11853, 3190, 666, 108
37, 0.13621, 3190, 639, 116
38, 0.13824, 3190, 583, 67
39, 0.11871, 3190, 597, 85
40, 0.10495, 3190, 555, 137
41, 0.11198, 3190, 568, 122
42, 0.10356, 3190, 498, 79
43, 0.09247, 3190, 437, 72
44, 0.09598, 3190, 459, 110
45, 0.10369, 3190, 440, 113
46, 0.08851, 3190, 415, 121
47, 0.09096, 3190, 411, 79
48, 0.09688, 3190, 437, 97
49, 0.08917, 3190, 409, 87
50, 0.09135, 3190, 446, 110
51, 0.11288, 3190, 546, 86
52, 0.09276, 3190, 438, 103
53, 0.09835, 3190, 459, 77
54, 0.09459, 3190, 456, 125
55, 0.09717, 3190, 450, 82
56, 0.09964, 3190, 457, 106
57, 0.10680, 3190, 475, 103
58, 0.10734, 3190, 470, 98
59, 0.12335, 3190, 480, 117
60, 0.11328, 3190, 448, 120
61, 0.09324, 3190, 466, 114
62, 0.09672, 3190, 471, 109
63, 0.12224, 3190, 476, 97
64, 0.10058, 3190, 470, 91
65, 0.12380, 3190, 491, 130
66, 0.10243, 3190, 474, 95
67, 0.11656, 3190, 472, 76
68, 0.10144, 3190, 475, 82
69, 0.09654, 3190, 450, 110
70, 0.12053, 3190, 463, 113
71, 0.08931, 3190, 475, 91
72, 0.09821, 3190, 457, 127
73, 0.09641, 3190, 459, 110
74, 0.10139, 3190, 443, 53
75, 0.09157, 3190, 443, 114
76, 0.09343, 3190, 482, 128
77, 0.09502, 3190, 443, 120
78, 0.09022, 3190, 458, 140
79, 0.09806, 3190, 460, 128
80, 0.08830, 3190, 432, 134
81, 0.09136, 3190, 440, 126
82, 0.11153, 3190, 471, 88
83, 0.09560, 3190, 482, 127
84, 0.10232, 3190, 474, 116
85, 0.11341, 3190, 489, 60
86, 0.12174, 3190, 462, 62
87, 0.09767, 3190, 448, 121
88, 0.11658, 3190, 482, 79
89, 0.09790, 3190, 476, 118
90, 0.10325, 3190, 444, 122
91, 0.09499, 3190, 477, 119
92, 0.09461, 3190, 452, 152
93, 0.11982, 3190, 442, 70
94, 0.09671, 3190, 478, 115
95, 0.10505, 3190, 466, 125
96, 0.09645, 3190, 466, 90
97, 0.09333, 3190, 454, 131
98, 0.11278, 3190, 476, 97
99, 0.10214, 3190, 479, 111
100, 0.09838, 3190, 462, 148
101, 0.09924, 3190, 475, 105
102, 0.09482, 3190, 475, 125
103, 0.09157, 3190, 454, 128
104, 0.08814, 3190, 445, 130
105, 0.09816, 3190, 465, 136
106, 0.09568, 3190, 478, 116
107, 0.09978, 3190, 478, 124
108, 0.09717, 3190, 472, 106
109, 0.10320, 3190, 458, 137
110, 0.10194, 3190, 464, 114
111, 0.10868, 3190, 480, 71
112, 0.09289, 3190, 471, 128
113, 0.09707, 3190, 464, 92
114, 0.10561, 3190, 490, 92
115, 0.09348, 3190, 487, 104
116, 0.09950, 3190, 479, 115
117, 0.09875, 3190, 475, 116
118, 0.09383, 3190, 446, 111
119, 0.10079, 3190, 446, 123
120, 0.09618, 3190, 457, 123
121, 0.08949, 3190, 457, 124
122, 0.09299, 3190, 458, 125
123, 0.08604, 3190, 448, 105
124, 0.09266, 3190, 468, 107
125, 0.09565, 3190, 468, 115
126, 0.09846, 3190, 441, 109
127, 0.12161, 3190, 472, 69
128, 0.09689, 3190, 477, 119
129, 0.09938, 3190, 487, 122
130, 0.09230, 3190, 440, 114
131, 0.09243, 3190, 443, 100
132, 0.09866, 3190, 488, 110
133, 0.12469, 3190, 453, 68
134, 0.13042, 3190, 471, 92
135, 0.09390, 3190, 449, 135
136, 0.12050, 3190, 456, 91
137, 0.09663, 3190, 463, 101
138, 0.09709, 3190, 450, 90
139, 0.11708, 3190, 454, 71
140, 0.09822, 3190, 480, 111
141, 0.09784, 3190, 463, 99
142, 0.09479, 3190, 469, 122
143, 0.10729, 3190, 448, 123
144, 0.12661, 3190, 465, 87
145, 0.10174, 3190, 466, 101
146, 0.09828, 3190, 467, 112
147, 0.08997, 3190, 457, 120
148, 0.09832, 3190, 483, 113
149, 0.09541, 3190, 441, 105
150, 0.09035, 3190, 461, 113
151, 0.09444, 3190, 460, 103
152, 0.10136, 3190, 454, 88
153, 0.10319, 3190, 446, 124
154, 0.09756, 3190, 501, 126
155, 0.11542, 3190, 503, 161
156, 0.11160, 3190, 503, 107
157, 0.10477, 3190, 526, 152
158, 0.10793, 3190, 521, 146
159, 0.10128, 3190, 506, 118
160, 0.10641, 3190, 495, 133
161, 0.10774, 3190, 472, 160
162, 0.12450, 3190, 495, 107
163, 0.10234, 3190, 456, 171
164, 0.10095, 3190, 472, 129
165, 0.09495, 3190, 451, 91
166, 0.11171, 3190, 450, 146
167, 0.09551, 3190, 447, 179
168, 0.11400, 3190, 451, 94
169, 0.13333, 3190, 459, 131
170, 0.09268, 3190, 467, 130
171, 0.10121, 3190, 454, 98
172, 0.10280, 3190, 483, 144
173, 0.09576, 3190, 449, 125
174, 0.10241, 3190, 455, 152
175, 0.11593, 3190, 451, 86
176, 0.09352, 3190, 449, 146
177, 0.09276, 3190, 430, 179
178, 0.09093, 3190, 438, 141
179, 0.09635, 3190, 438, 140
180, 0.10811, 3190, 456, 116
181, 0.10092, 3190, 468, 152
182, 0.10161, 3190, 453, 164
183, 0.09242, 3190, 469, 173
184, 0.10465, 3190, 453, 117
185, 0.10089, 3190, 486, 94
186, 0.10515, 3190, 468, 155
187, 0.09790, 3190, 484, 110
188, 0.10829, 3190, 473, 140
189, 0.11229, 3190, 516, 115
190, 0.10556, 3190, 495, 151
191, 0.10876, 3190, 468, 141
192, 0.12733, 3190, 499, 95
193, 0.10578, 3190, 495, 97
194, 0.12965, 3190, 493, 75
195, 0.13011, 3190, 525, 85
196, 0.09917, 3190, 508, 113
197, 0.10108, 3190, 466, 100
198, 0.11117, 3190, 539, 83
199, 0.10552, 3190, 529, 85
200, 0.12871, 3190, 519, 63
201, 0.12795, 3190, 502, 94
202, 0.11952, 3190, 503, 137
203, 0.09595, 3190, 493, 138
204, 0.09816, 3190, 506, 106
205, 0.11789, 3190, 498, 138
206, 0.10755, 3190, 511, 110
207, 0.10033, 3190, 528, 124
208, 0.10123, 3190, 504, 124
209, 0.10103, 3190, 512, 131
210, 0.12833, 3190, 483, 144
211, 0.10164, 3190, 504, 117
212, 0.12158, 3190, 485, 111
213, 0.10023, 3190, 495, 89
214, 0.12212, 3190, 520, 122
215, 0.12784, 3190, 500, 85
216, 0.10213, 3190, 515, 108
217, 0.13120, 3190, 445, 85
218, 0.10231, 3190, 455, 129
219, 0.10329, 3190, 491, 138
220, 0.09622, 3190, 470, 119
221, 0.12341, 3190, 452, 145
222, 0.11758, 3190, 473, 156
223, 0.10594, 3190, 455, 121
224, 0.12440, 3190, 468, 123
225, 0.10234, 3190, 437, 89
226, 0.09140, 3190, 470, 131
227, 0.10356, 3190, 459, 126
228, 0.11079, 3190, 459, 129
229, 0.10726, 3190, 474, 127
230, 0.11836, 3190, 473, 83
231, 0.10824, 3190, 444, 129
232, 0.10125, 3190, 468, 97
233, 0.10228, 3190, 465, 100
234, 0.10973, 3190, 455, 108
235, 0.10151, 3190, 457, 141
236, 0.09882, 3190, 466, 144
237, 0.10235, 3190, 465, 155
238, 0.12050, 3190, 456, 142
239, 0.11097, 3190, 473, 101
240, 0.09928, 3190, 491, 109
241, 0.09872, 3190, 453, 111
242, 0.09606, 3190, 486, 125
243, 0.10590, 3190, 454, 108
244, 0.09760, 3190, 476, 98
245, 0.10561, 3190, 462, 142
246, 0.09783, 3190, 460, 136
247, 0.13373, 3190, 470, 117
248, 0.09457, 3190, 447, 109
249, 0.10188, 3190, 472, 130
250, 0.09826, 3190, 458, 156
251, 0.09774, 3190, 478, 101
252, 0.09916, 3190, 501, 118
253, 0.10201, 3190, 486, 158
254, 0.09552, 3190, 450, 136
255, 0.09815, 3190, 475, 110
256, 0.12361, 3190, 485, 68
257, 0.09397, 3190, 461, 99
258, 0.09858, 3190, 471, 136
259, 0.09133, 3190, 459, 102
260, 0.09021, 3190, 478, 106
261, 0.09651, 3190, 447, 87
262, 0.09781, 3190, 500, 111
263, 0.08638, 3190, 453, 78
264, 0.11133, 3190, 476, 140
265, 0.11030, 3190, 445, 137
266, 0.09047, 3190, 468, 123
267, 0.09293, 3190, 454, 125
268, 0.09535, 3190, 431, 144
269, 0.09182, 3190, 444, 128
270, 0.10183, 3190, 433, 143
271, 0.09249, 3190, 457, 96
272, 0.09514, 3190, 435, 130
273, 0.09257, 3190, 426, 92
274, 0.10189, 3190, 448, 122
275, 0.09645, 3190, 462, 127
