Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.16614, 3190, 960, 564
2, 0.15061, 3190, 1000, 514
3, 0.14981, 3190, 1010, 498
4, 0.16385, 3190, 1010, 558
5, 0.14898, 3190, 1008, 512
6, 0.14618, 3190, 978, 566
7, 0.15291, 3190, 935, 343
8, 0.14445, 3190, 991, 284
9, 0.13887, 3190, 955, 300
10, 0.16517, 3190, 1083, 440
11, 0.15695, 3190, 1084, 455
12, 0.15611, 3190, 1069, 366
13, 0.12114, 3190, 723, 133
14, 0.11963, 3190, 652, 161
15, 0.13145, 3190, 769, 307
16, 0.14165, 3190, 960, 373
17, 0.15143, 3190, 961, 478
18, 0.14366, 3190, 918, 397
19, 0.13498, 3190, 902, 389
20, 0.13264, 3190, 822, 229
21, 0.15284, 3190, 944, 336
22, 0.15467, 3190, 972, 395
23, 0.14291, 3190, 906, 364
24, 0.15430, 3190, 980, 382
25, 0.14002, 3190, 870, 276
26, 0.13984, 3190, 619, 87
27, 0.13625, 3190, 591, 147
28, 0.13216, 3190, 821, 300
29, 0.14345, 3190, 970, 416
30, 0.13179, 3190, 892, 409
31, 0.14559, 3190, 1006, 501
32, 0.14102, 3190, 964, 398
33, 0.16342, 3190, 984, 483
34, 0.14746, 3190, 960, 319
35, 0.15704, 3190, 1033, 314
36, 0.14780, 3190, 1007, 273
37, 0.15023, 3190, 885, 206
38, 0.14467, 3190, 980, 419
39, 0.14465, 3190, 920, 231
40, 0.13715, 3190, 809, 174
41, 0.13568, 3190, 783, 253
42, 0.11847, 3190, 684, 182
43, 0.11568, 3190, 655, 220
44, 0.14103, 3190, 958, 464
45, 0.15125, 3190, 978, 481
46, 0.15278, 3190, 1045, 588
47, 0.15562, 3190, 1059, 527
48, 0.13607, 3190, 567, 154
49, 0.10689, 3190, 526, 194
50, 0.13395, 3190, 708, 227
51, 0.15283, 3190, 860, 314
52, 0.17691, 3190, 1286, 453
53, 0.17239, 3190, 1226, 465
54, 0.16414, 3190, 1154, 562
55, 0.16817, 3190, 1178, 527
56, 0.15949, 3190, 1057, 368
57, 0.15026, 3190, 1023, 356
58, 0.12958, 3190, 792, 224
59, 0.14392, 3190, 926, 338
60, 0.14183, 3190, 927, 401
61, 0.15152, 3190, 1013, 438
62, 0.14088, 3190, 958, 477
63, 0.14434, 3190, 968, 470
64, 0.14581, 3190, 999, 420
65, 0.14739, 3190, 1002, 428
66, 0.14590, 3190, 974, 383
67, 0.14152, 3190, 947, 414
68, 0.13598, 3190, 885, 315
69, 0.13694, 3190, 841, 358
70, 0.15496, 3190, 741, 290
71, 0.14809, 3190, 989, 454
72, 0.14761, 3190, 1006, 439
73, 0.17149, 3190, 980, 419
74, 0.13852, 3190, 919, 414
75, 0.13551, 3190, 912, 409
76, 0.13531, 3190, 886, 406
77, 0.14101, 3190, 916, 359
78, 0.13843, 3190, 912, 362
79, 0.15224, 3190, 927, 330
80, 0.15646, 3190, 915, 364
81, 0.16817, 3190, 875, 342
82, 0.14744, 3190, 947, 382
83, 0.15057, 3190, 924, 432
84, 0.15168, 3190, 887, 392
85, 0.15716, 3190, 952, 409
86, 0.15311, 3190, 925, 371
87, 0.15574, 3190, 988, 442
88, 0.13934, 3190, 904, 350
89, 0.13915, 3190, 895, 381
90, 0.14096, 3190, 889, 371
91, 0.13692, 3190, 897, 343
92, 0.13730, 3190, 892, 369
93, 0.14761, 3190, 886, 410
94, 0.14713, 3190, 922, 347
95, 0.14853, 3190, 940, 376
96, 0.14427, 3190, 924, 410
97, 0.14591, 3190, 899, 405
98, 0.14256, 3190, 900, 392
99, 0.14551, 3190, 859, 436
100, 0.14393, 3190, 897, 403
101, 0.15405, 3190, 919, 353
102, 0.14076, 3190, 907, 385
103, 0.13938, 3190, 898, 361
104, 0.14682, 3190, 961, 369
105, 0.14389, 3190, 887, 352
106, 0.14804, 3190, 916, 453
107, 0.14549, 3190, 902, 354
108, 0.14493, 3190, 911, 367
109, 0.13800, 3190, 885, 425
110, 0.14014, 3190, 885, 342
111, 0.13604, 3190, 834, 343
112, 0.13213, 3190, 827, 297
