Frame, Time to process, Training Descriptors, Query Descriptors, Matches
1, 0.11417, 5424, 1492, 1080
2, 0.12209, 5424, 1519, 1096
3, 0.10972, 5424, 1523, 1096
4, 0.12199, 5424, 1516, 1064
5, 0.12281, 5424, 1432, 1043
6, 0.11435, 5424, 1445, 1055
7, 0.10732, 5424, 1448, 1041
8, 0.10810, 5424, 1380, 1003
9, 0.10365, 5424, 1270, 958
10, 0.09915, 5424, 1268, 911
11, 0.10040, 5424, 1299, 898
12, 0.09326, 5424, 1047, 799
13, 0.10500, 5424, 1440, 1020
14, 0.11503, 5424, 1568, 1101
15, 0.11583, 5424, 1617, 1127
16, 0.11509, 5424, 1641, 1133
17, 0.12304, 5424, 1651, 1145
18, 0.11382, 5424, 1643, 1154
19, 0.11945, 5424, 1622, 1154
20, 0.09219, 5424, 1127, 848
21, 0.11193, 5424, 1471, 1065
22, 0.11069, 5424, 1429, 1039
23, 0.11257, 5424, 1462, 1046
24, 0.11749, 5424, 1557, 1115
25, 0.10978, 5424, 1453, 1034
26, 0.11865, 5424, 1585, 1121
27, 0.11677, 5424, 1487, 1029
28, 0.11686, 5424, 1615, 1129
29, 0.11226, 5424, 1483, 1035
30, 0.11974, 5424, 1619, 1113
31, 0.12170, 5424, 1616, 1092
32, 0.12904, 5424, 1680, 1182
33, 0.12226, 5424, 1645, 1164
34, 0.11592, 5424, 1643, 1191
35, 0.11393, 5424, 1615, 1168
36, 0.11535, 5424, 1595, 1135
37, 0.11206, 5424, 1567, 1118
38, 0.11432, 5424, 1603, 1161
39, 0.11834, 5424, 1559, 1135
40, 0.11730, 5424, 1583, 1151
41, 0.11158, 5424, 1540, 1114
42, 0.12584, 5424, 1608, 1139
43, 0.10531, 5424, 1354, 1010
44, 0.10330, 5424, 1381, 1009
45, 0.08129, 5424, 937, 726
46, 0.08950, 5424, 972, 741
47, 0.09691, 5424, 1227, 904
48, 0.09077, 5424, 1127, 833
49, 0.09282, 5424, 1040, 791
50, 0.09366, 5424, 1177, 875
51, 0.09354, 5424, 1156, 849
52, 0.09985, 5424, 1144, 844
53, 0.11404, 5424, 1375, 1018
54, 0.10392, 5424, 1351, 1017
55, 0.10481, 5424, 1346, 992
56, 0.10505, 5424, 1372, 1018
57, 0.10553, 5424, 1373, 1012
58, 0.10996, 5424, 1351, 1002
59, 0.11107, 5424, 1383, 1030
60, 0.10400, 5424, 1373, 1019
61, 0.11312, 5424, 1358, 1020
62, 0.09838, 5424, 1284, 940
63, 0.09820, 5424, 1303, 961
64, 0.09912, 5424, 1310, 960
65, 0.09738, 5424, 1295, 965
66, 0.10484, 5424, 1307, 980
67, 0.10219, 5424, 1313, 964
68, 0.10206, 5424, 1284, 939
69, 0.09759, 5424, 1297, 968
70, 0.10405, 5424, 1285, 958
71, 0.09998, 5424, 1292, 955
72, 0.09785, 5424, 1259, 904
73, 0.10843, 5424, 1289, 964
74, 0.11063, 5424, 1283, 947
75, 0.10020, 5424, 1299, 953
76, 0.10760, 5424, 1286, 947
77, 0.10605, 5424, 1259, 932
78, 0.09973, 5424, 1269, 946
79, 0.10139, 5424, 1294, 953
80, 0.09668, 5424, 1210, 889
81, 0.09028, 5424, 1033, 783
82, 0.08420, 5424, 912, 705
83, 0.08955, 5424, 1100, 845
84, 0.09852, 5424, 1268, 922
85, 0.10421, 5424, 1401, 1014
86, 0.10735, 5424, 1450, 1040
87, 0.10389, 5424, 1439, 1043
88, 0.10467, 5424, 1410, 1015
89, 0.10395, 5424, 1422, 1047
90, 0.11111, 5424, 1426, 1038
91, 0.10932, 5424, 1400, 1016
92, 0.10551, 5424, 1411, 1026
93, 0.11417, 5424, 1418, 1039
94, 0.10737, 5424, 1413, 1043
95, 0.11001, 5424, 1406, 1020
96, 0.10672, 5424, 1404, 1010
97, 0.10576, 5424, 1434, 1029
98, 0.10435, 5424, 1424, 1026
99, 0.10653, 5424, 1402, 1011
100, 0.11382, 5424, 1430, 1040
101, 0.10369, 5424, 1384, 996
102, 0.10387, 5424, 1427, 1052
103, 0.10326, 5424, 1417, 1017
104, 0.10396, 5424, 1444, 1026
105, 0.10520, 5424, 1426, 1027
106, 0.10729, 5424, 1382, 1004
107, 0.10536, 5424, 1444, 1037
108, 0.10809, 5424, 1399, 1009
109, 0.11059, 5424, 1433, 1053
110, 0.11009, 5424, 1427, 1044
111, 0.11049, 5424, 1442, 1040
112, 0.10790, 5424, 1421, 1012
113, 0.11105, 5424, 1422, 1019
114, 0.10483, 5424, 1428, 1013
115, 0.11020, 5424, 1440, 1032
116, 0.11050, 5424, 1444, 1031
117, 0.10789, 5424, 1440, 1014
118, 0.11710, 5424, 1462, 1051
119, 0.10709, 5424, 1470, 1038
120, 0.11097, 5424, 1434, 1024
121, 0.11375, 5424, 1439, 1048
122, 0.10619, 5424, 1429, 1031
123, 0.10819, 5424, 1461, 1032
124, 0.11683, 5424, 1447, 1031
125, 0.11097, 5424, 1440, 1039
126, 0.11134, 5424, 1405, 1030
127, 0.11443, 5424, 1426, 1020
128, 0.13000, 5424, 1430, 1034
129, 0.11311, 5424, 1434, 1029
130, 0.10955, 5424, 1447, 1036
131, 0.10717, 5424, 1391, 1016
132, 0.10666, 5424, 1401, 1010
133, 0.10655, 5424, 1438, 1032
134, 0.10825, 5424, 1376, 988
135, 0.11634, 5424, 1409, 1006
136, 0.10956, 5424, 1392, 1009
137, 0.10608, 5424, 1388, 1029
138, 0.11086, 5424, 1395, 1009
139, 0.10802, 5424, 1398, 1031
