Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.38271, 5424, 1610, 115
2, 0.39584, 5424, 1629, 119
3, 0.38645, 5424, 1657, 132
4, 0.46482, 5424, 1621, 101
5, 0.32656, 5424, 1594, 116
6, 0.32075, 5424, 1626, 135
7, 0.39628, 5424, 1674, 122
8, 0.39354, 5424, 1563, 93
9, 0.37273, 5424, 1575, 95
10, 0.35434, 5424, 1664, 111
11, 0.41452, 5424, 1691, 98
12, 0.39047, 5424, 1877, 100
13, 0.41761, 5424, 1979, 108
14, 0.45548, 5424, 1938, 97
15, 0.37657, 5424, 1957, 89
16, 0.31754, 5424, 1455, 68
17, 0.34582, 5424, 1566, 66
18, 0.36548, 5424, 1418, 82
19, 0.40031, 5424, 1559, 91
20, 0.34549, 5424, 1413, 96
21, 0.30007, 5424, 1282, 57
22, 0.33551, 5424, 1474, 80
23, 0.33257, 5424, 1520, 84
24, 0.42026, 5424, 1553, 79
25, 0.38448, 5424, 1657, 73
26, 0.43936, 5424, 1687, 63
27, 0.41673, 5424, 1625, 79
28, 0.39538, 5424, 1416, 69
29, 0.34170, 5424, 1271, 55
30, 0.33811, 5424, 1400, 65
31, 0.31077, 5424, 1352, 99
32, 0.40158, 5424, 1592, 114
33, 0.40075, 5424, 1542, 91
34, 0.39622, 5424, 1861, 104
35, 0.44804, 5424, 1919, 123
36, 0.39747, 5424, 1837, 137
37, 0.46551, 5424, 1958, 115
38, 0.34912, 5424, 1577, 72
39, 0.28310, 5424, 1066, 47
40, 0.29840, 5424, 1348, 70
41, 0.33197, 5424, 1487, 77
42, 0.33621, 5424, 1624, 78
43, 0.42286, 5424, 1611, 56
44, 0.34327, 5424, 1644, 60
45, 0.38465, 5424, 1423, 52
46, 0.35271, 5424, 1211, 85
47, 0.34918, 5424, 1383, 84
48, 0.32166, 5424, 1533, 91
49, 0.44581, 5424, 1820, 117
50, 0.43606, 5424, 1941, 112
51, 0.47900, 5424, 1968, 128
52, 0.40698, 5424, 1975, 107
53, 0.26369, 5424, 828, 38
54, 0.24308, 5424, 1146, 71
55, 0.35734, 5424, 1582, 73
56, 0.50773, 5424, 1634, 79
57, 0.38081, 5424, 1644, 75
58, 0.36636, 5424, 1652, 67
59, 0.40185, 5424, 1651, 77
60, 0.40268, 5424, 1329, 55
61, 0.36759, 5424, 1372, 106
62, 0.30824, 5424, 1397, 103
63, 0.35647, 5424, 1460, 93
64, 0.43008, 5424, 1470, 90
65, 0.36616, 5424, 1554, 85
66, 0.35820, 5424, 1597, 106
67, 0.45368, 5424, 1578, 109
68, 0.37498, 5424, 1790, 111
69, 0.38675, 5424, 1826, 113
70, 0.41796, 5424, 1821, 82
71, 0.44058, 5424, 1882, 113
72, 0.43443, 5424, 1917, 95
