Frame, Time to process, Training Descriptors, Query Descriptors, Good matches
1, 0.21416, 3190, 780, 435
2, 0.22312, 3190, 900, 428
3, 0.21796, 3190, 859, 476
4, 0.21326, 3190, 875, 372
5, 0.22349, 3190, 907, 337
6, 0.22909, 3190, 931, 480
7, 0.24195, 3190, 998, 404
8, 0.23755, 3190, 995, 392
9, 0.17899, 3190, 656, 206
10, 0.20040, 3190, 804, 283
11, 0.22108, 3190, 849, 292
12, 0.23071, 3190, 858, 302
13, 0.21484, 3190, 878, 276
14, 0.17836, 3190, 716, 168
15, 0.18151, 3190, 726, 203
16, 0.19471, 3190, 727, 259
17, 0.22664, 3190, 934, 368
18, 0.21982, 3190, 919, 399
19, 0.21440, 3190, 902, 390
20, 0.22093, 3190, 962, 406
21, 0.22937, 3190, 942, 359
22, 0.22563, 3190, 956, 455
23, 0.22095, 3190, 978, 374
24, 0.21577, 3190, 935, 408
25, 0.22770, 3190, 972, 376
26, 0.23392, 3190, 973, 406
27, 0.23291, 3190, 955, 357
28, 0.22552, 3190, 973, 335
29, 0.22738, 3190, 998, 385
30, 0.24898, 3190, 998, 334
31, 0.20387, 3190, 826, 278
32, 0.21380, 3190, 890, 349
33, 0.23635, 3190, 1004, 397
34, 0.21893, 3190, 939, 416
35, 0.23378, 3190, 915, 390
36, 0.23522, 3190, 951, 346
37, 0.21600, 3190, 945, 391
38, 0.23043, 3190, 953, 409
39, 0.21447, 3190, 931, 319
40, 0.22482, 3190, 956, 371
41, 0.23090, 3190, 947, 382
42, 0.28440, 3190, 913, 454
43, 0.21871, 3190, 943, 367
44, 0.21645, 3190, 914, 459
45, 0.21129, 3190, 891, 331
46, 0.19020, 3190, 772, 234
47, 0.19787, 3190, 793, 316
48, 0.23660, 3190, 1059, 357
49, 0.22460, 3190, 1003, 331
50, 0.26866, 3190, 1129, 479
51, 0.25635, 3190, 1095, 396
52, 0.26251, 3190, 1098, 449
53, 0.25148, 3190, 1110, 400
54, 0.23837, 3190, 1024, 433
55, 0.22635, 3190, 1011, 333
56, 0.22519, 3190, 912, 380
57, 0.22605, 3190, 910, 461
58, 0.23035, 3190, 934, 408
59, 0.21572, 3190, 819, 315
60, 0.22793, 3190, 877, 220
61, 0.23301, 3190, 893, 248
62, 0.22090, 3190, 868, 283
63, 0.20312, 3190, 777, 151
64, 0.16743, 3190, 628, 125
65, 0.22998, 3190, 838, 349
66, 0.21811, 3190, 875, 410
67, 0.23358, 3190, 995, 434
68, 0.22892, 3190, 1004, 444
69, 0.23093, 3190, 1000, 472
70, 0.23957, 3190, 1063, 517
71, 0.24114, 3190, 993, 476
72, 0.24099, 3190, 1017, 388
73, 0.23687, 3190, 1023, 433
74, 0.25301, 3190, 1063, 426
75, 0.24506, 3190, 1051, 435
76, 0.26619, 3190, 1008, 492
77, 0.24507, 3190, 1017, 407
78, 0.24284, 3190, 1049, 486
79, 0.24267, 3190, 1057, 429
