Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.13154, 3190, 486, 105, 89.28046
2, 0.14186, 3190, 514, 89, 131.93559
3, 0.12233, 3190, 509, 127, 207.72096
4, 0.11113, 3190, 512, 129, 134.89626
5, 0.10249, 3190, 521, 141, 130.05768
6, 0.16497, 3190, 515, 86, 219.73848
7, 0.12724, 3190, 540, 142, 185.21609
8, 0.12295, 3190, 540, 157, 220.06363
9, 0.11206, 3190, 563, 142, 191.50195
10, 0.13378, 3190, 565, 82, 203.89214
11, 0.12014, 3190, 545, 83, 93.17188
12, 0.13373, 3190, 565, 126, 169.19220
13, 0.13665, 3190, 544, 115, 167.07483
14, 0.11354, 3190, 565, 163, 148.67413
15, 0.13003, 3190, 541, 87, 281.30588
16, 0.12963, 3190, 544, 119, 193.42181
17, 0.11791, 3190, 546, 154, 127.07871
18, 0.13183, 3190, 575, 125, 93.72833
19, 0.12999, 3190, 570, 106, 63.33245
20, 0.12719, 3190, 515, 130, 145.56099
21, 0.09951, 3190, 545, 142, 267.61728
22, 0.10434, 3190, 495, 189, 56.68333
23, 0.12320, 3190, 487, 127, 176.98869
24, 0.12918, 3190, 563, 126, 99.43340
25, 0.14100, 3190, 606, 188, 192.96114
26, 0.13847, 3190, 603, 228, 141.71451
27, 0.11269, 3190, 554, 214, 145.79437
28, 0.13837, 3190, 572, 129, 175.92612
29, 0.13296, 3190, 608, 181, 203.26091
30, 0.10499, 3190, 581, 224, 184.89726
31, 0.13708, 3190, 600, 122, 77.37571
32, 0.12146, 3190, 564, 138, 237.39207
33, 0.12612, 3190, 543, 148, 147.57710
34, 0.13272, 3190, 568, 132, 173.82175
35, 0.10289, 3190, 537, 184, 105.15703
36, 0.13456, 3190, 550, 101, 166.11743
37, 0.13115, 3190, 575, 86, 164.99696
38, 0.13636, 3190, 584, 140, 122.76400
39, 0.13011, 3190, 576, 178, 89.31965
40, 0.14271, 3190, 590, 109, 125.49900
41, 0.13502, 3190, 566, 159, 202.57097
42, 0.11152, 3190, 597, 113, 226.03098
43, 0.13418, 3190, 572, 140, 156.01602
44, 0.13315, 3190, 577, 169, 106.44247
45, 0.13626, 3190, 587, 126, 248.16930
46, 0.11863, 3190, 596, 109, 100.07497
47, 0.13256, 3190, 566, 101, 236.70868
48, 0.13461, 3190, 573, 94, 180.18047
49, 0.12871, 3190, 546, 118, 198.83913
50, 0.12971, 3190, 529, 133, 252.99210
51, 0.13657, 3190, 557, 117, 132.30269
52, 0.14027, 3190, 549, 154, 101.38047
53, 0.13203, 3190, 516, 127, 76.83749
54, 0.11661, 3190, 564, 118, 302.01822
55, 0.11331, 3190, 579, 202, 132.56319
56, 0.11244, 3190, 585, 163, 107.25670
57, 0.13829, 3190, 588, 179, 177.74420
58, 0.13051, 3190, 586, 94, 203.13788
59, 0.13231, 3190, 594, 109, 190.73804
60, 0.12844, 3190, 556, 127, 155.75623
61, 0.13357, 3190, 560, 169, 70.34202
62, 0.11467, 3190, 570, 140, 171.26587
63, 0.14625, 3190, 574, 137, 50.57668
64, 0.12148, 3190, 554, 116, 139.53494
65, 0.10702, 3190, 538, 122, 126.11503
66, 0.10058, 3190, 524, 165, 80.30566
67, 0.12483, 3190, 482, 143, 107.84711
68, 0.10156, 3190, 502, 102, 173.30609
69, 0.11768, 3190, 529, 100, 190.97121
70, 0.10751, 3190, 552, 135, 230.98918
71, 0.13612, 3190, 545, 76, 291.69162
72, 0.12089, 3190, 508, 86, 119.04621
73, 0.13335, 3190, 498, 128, 219.08218
74, 0.13016, 3190, 518, 90, 110.72488
75, 0.13260, 3190, 491, 93, 222.15311
76, 0.14199, 3190, 517, 98, 197.02792
77, 0.12173, 3190, 503, 150, 138.45216
78, 0.11903, 3190, 451, 106, 233.60437
79, 0.11808, 3190, 510, 137, 164.91209
80, 0.11206, 3190, 584, 84, 271.33374
81, 0.10603, 3190, 587, 128, 167.43954
82, 0.14201, 3190, 593, 161, 291.67105
83, 0.14221, 3190, 604, 137, 170.74542
84, 0.11066, 3190, 620, 184, 128.32381
85, 0.13179, 3190, 594, 145, 167.59474
86, 0.10770, 3190, 560, 126, 197.63603
87, 0.14448, 3190, 610, 112, 189.54947
88, 0.13749, 3190, 558, 140, 132.61598
89, 0.13613, 3190, 596, 218, 173.24260
90, 0.12894, 3190, 525, 149, 174.92570
91, 0.11658, 3190, 375, 124, 181.74707
92, 0.10879, 3190, 366, 147, 174.60240
93, 0.11191, 3190, 390, 143, 180.52147
94, 0.12089, 3190, 479, 133, 81.05553
95, 0.12930, 3190, 571, 123, 191.70290
96, 0.14329, 3190, 593, 122, 103.46014
97, 0.13268, 3190, 609, 128, 180.81482
98, 0.11620, 3190, 608, 133, 150.41609
99, 0.11108, 3190, 510, 79, 234.78288
100, 0.10234, 3190, 583, 203, 155.74980
