Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.30035, 5424, 862, 5424, 64.00000
2, 0.33563, 5424, 955, 5424, 56.00000
3, 0.32609, 5424, 943, 5424, 58.00000
4, 0.36345, 5424, 932, 5424, 62.00000
5, 0.32566, 5424, 967, 5424, 58.00000
6, 0.26638, 5424, 965, 5424, 57.00000
7, 0.31269, 5424, 932, 5424, 58.00000
8, 0.32222, 5424, 908, 5424, 53.00000
9, 0.30948, 5424, 857, 5424, 56.00000
10, 0.27707, 5424, 896, 5424, 54.00000
11, 0.29182, 5424, 827, 5424, 64.00000
12, 0.28052, 5424, 1026, 5424, 65.00000
13, 0.23585, 5424, 719, 5424, 63.00000
14, 0.28515, 5424, 820, 5424, 63.00000
15, 0.22774, 5424, 723, 5424, 60.00000
16, 0.23232, 5424, 679, 5424, 64.00000
17, 0.25582, 5424, 735, 5424, 59.00000
18, 0.33969, 5424, 938, 5424, 62.00000
19, 0.32040, 5424, 943, 5424, 61.00000
20, 0.27172, 5424, 818, 5424, 63.00000
21, 0.25071, 5424, 805, 5424, 62.00000
22, 0.26458, 5424, 788, 5424, 65.00000
23, 0.24491, 5424, 758, 5424, 62.00000
24, 0.33860, 5424, 923, 5424, 57.00000
25, 0.32815, 5424, 999, 5424, 57.00000
26, 0.36082, 5424, 999, 5424, 64.00000
27, 0.31394, 5424, 960, 5424, 62.00000
28, 0.34606, 5424, 981, 5424, 61.00000
29, 0.32997, 5424, 958, 5424, 60.00000
30, 0.31765, 5424, 949, 5424, 63.00000
31, 0.30981, 5424, 981, 5424, 57.00000
32, 0.33752, 5424, 931, 5424, 56.00000
33, 0.36346, 5424, 949, 5424, 61.00000
34, 0.29423, 5424, 923, 5424, 60.00000
35, 0.33483, 5424, 929, 5424, 59.00000
36, 0.30740, 5424, 962, 5424, 61.00000
37, 0.31981, 5424, 897, 5424, 54.00000
38, 0.27909, 5424, 839, 5424, 62.00000
39, 0.28080, 5424, 893, 5424, 53.00000
40, 0.29614, 5424, 900, 5424, 55.00000
41, 0.31539, 5424, 989, 5424, 65.00000
42, 0.29641, 5424, 959, 5424, 63.00000
43, 0.30977, 5424, 839, 5424, 61.00000
44, 0.22651, 5424, 787, 5424, 58.00000
45, 0.30675, 5424, 840, 5424, 66.00000
46, 0.31150, 5424, 848, 5424, 63.00000
47, 0.33601, 5424, 1030, 5424, 61.00000
48, 0.30548, 5424, 1038, 5424, 56.00000
49, 0.34375, 5424, 1071, 5424, 66.00000
50, 0.33549, 5424, 1035, 5424, 63.00000
51, 0.30370, 5424, 858, 5424, 60.00000
52, 0.24717, 5424, 770, 5424, 66.00000
53, 0.33274, 5424, 938, 5424, 62.00000
54, 0.24448, 5424, 742, 5424, 58.00000
55, 0.24611, 5424, 855, 5424, 52.00000
56, 0.34823, 5424, 830, 5424, 59.00000
57, 0.28324, 5424, 870, 5424, 58.00000
58, 0.28277, 5424, 873, 5424, 61.00000
59, 0.31260, 5424, 890, 5424, 54.00000
60, 0.33288, 5424, 901, 5424, 50.00000
61, 0.31207, 5424, 894, 5424, 54.00000
62, 0.29184, 5424, 908, 5424, 48.00000
63, 0.33457, 5424, 912, 5424, 57.00000
64, 0.35766, 5424, 900, 5424, 58.00000
65, 0.33014, 5424, 936, 5424, 57.00000
66, 0.28620, 5424, 890, 5424, 58.00000
67, 0.35327, 5424, 895, 5424, 58.00000
68, 0.27705, 5424, 905, 5424, 61.00000
69, 0.27538, 5424, 903, 5424, 56.00000
70, 0.29771, 5424, 902, 5424, 59.00000
71, 0.37000, 5424, 903, 5424, 54.00000
72, 0.28171, 5424, 814, 5424, 53.00000
73, 0.28206, 5424, 919, 5424, 53.00000
74, 0.34781, 5424, 884, 5424, 51.00000
75, 0.31729, 5424, 887, 5424, 53.00000
76, 0.35140, 5424, 930, 5424, 58.00000
77, 0.31371, 5424, 926, 5424, 50.00000
78, 0.36515, 5424, 936, 5424, 57.00000
79, 0.31652, 5424, 897, 5424, 58.00000
80, 0.27970, 5424, 938, 5424, 58.00000
81, 0.32418, 5424, 924, 5424, 60.00000
82, 0.26967, 5424, 925, 5424, 58.00000
83, 0.30826, 5424, 911, 5424, 56.00000
84, 0.29843, 5424, 910, 5424, 55.00000
85, 0.32904, 5424, 952, 5424, 56.00000
86, 0.28133, 5424, 921, 5424, 60.00000
87, 0.33016, 5424, 925, 5424, 57.00000
88, 0.33245, 5424, 927, 5424, 53.00000
89, 0.37814, 5424, 912, 5424, 60.00000
90, 0.36013, 5424, 935, 5424, 56.00000
91, 0.32411, 5424, 952, 5424, 53.00000
92, 0.29442, 5424, 945, 5424, 49.00000
93, 0.33645, 5424, 909, 5424, 62.00000
94, 0.33348, 5424, 922, 5424, 60.00000
95, 0.26670, 5424, 902, 5424, 56.00000
96, 0.33084, 5424, 920, 5424, 58.00000
97, 0.31952, 5424, 902, 5424, 56.00000
98, 0.32005, 5424, 928, 5424, 53.00000
99, 0.32037, 5424, 941, 5424, 62.00000
100, 0.34225, 5424, 931, 5424, 55.00000
