Frame, Time to process, Training Descriptors, Query Descriptors, Matches, Min Distance
1, 0.40651, 5424, 1494, 5424, 30.00000
2, 0.51579, 5424, 1728, 5424, 22.00000
3, 0.45385, 5424, 1584, 5424, 33.00000
4, 0.50525, 5424, 1691, 5424, 28.00000
5, 0.43759, 5424, 1953, 5424, 28.00000
6, 0.42631, 5424, 1957, 5424, 29.00000
7, 0.51170, 5424, 1924, 5424, 27.00000
8, 0.54638, 5424, 2077, 5424, 27.00000
9, 0.51882, 5424, 2005, 5424, 32.00000
10, 0.46312, 5424, 1904, 5424, 27.00000
11, 0.47782, 5424, 1794, 5424, 26.00000
12, 0.41500, 5424, 1778, 5424, 42.00000
13, 0.45033, 5424, 1814, 5424, 48.00000
14, 0.49448, 5424, 1758, 5424, 32.00000
15, 0.41051, 5424, 1929, 5424, 34.00000
16, 0.45799, 5424, 1879, 5424, 26.00000
17, 0.45671, 5424, 1911, 5424, 29.00000
18, 0.52491, 5424, 1932, 5424, 33.00000
19, 0.35951, 5424, 1263, 5424, 29.00000
20, 0.41801, 5424, 1823, 5424, 26.00000
21, 0.44656, 5424, 2018, 5424, 31.00000
22, 0.46771, 5424, 1981, 5424, 31.00000
23, 0.45267, 5424, 2046, 5424, 21.00000
24, 0.50660, 5424, 1987, 5424, 27.00000
25, 0.42631, 5424, 1678, 5424, 29.00000
26, 0.43572, 5424, 1708, 5424, 31.00000
27, 0.45987, 5424, 1858, 5424, 31.00000
28, 0.47050, 5424, 1825, 5424, 39.00000
29, 0.34468, 5424, 1252, 5424, 55.00000
30, 0.48401, 5424, 1898, 5424, 32.00000
31, 0.47258, 5424, 2068, 5424, 31.00000
32, 0.54115, 5424, 2069, 5424, 31.00000
33, 0.62537, 5424, 2208, 5424, 22.00000
34, 0.51754, 5424, 2255, 5424, 26.00000
35, 0.56668, 5424, 2133, 5424, 28.00000
36, 0.51848, 5424, 2203, 5424, 37.00000
37, 0.55859, 5424, 2143, 5424, 30.00000
38, 0.51078, 5424, 2208, 5424, 18.00000
39, 0.52101, 5424, 2239, 5424, 23.00000
40, 0.48400, 5424, 2220, 5424, 22.00000
41, 0.52699, 5424, 2272, 5424, 23.00000
42, 0.49729, 5424, 2220, 5424, 23.00000
43, 0.55086, 5424, 2229, 5424, 28.00000
44, 0.48827, 5424, 2260, 5424, 32.00000
45, 0.54929, 5424, 2192, 5424, 29.00000
46, 0.59671, 5424, 2265, 5424, 27.00000
47, 0.52769, 5424, 2196, 5424, 25.00000
48, 0.50794, 5424, 2252, 5424, 28.00000
49, 0.57026, 5424, 2265, 5424, 27.00000
50, 0.56116, 5424, 2171, 5424, 24.00000
51, 0.54577, 5424, 2097, 5424, 26.00000
52, 0.40156, 5424, 1545, 5424, 41.00000
53, 0.49288, 5424, 1832, 5424, 25.00000
54, 0.42342, 5424, 1748, 5424, 31.00000
55, 0.44215, 5424, 1967, 5424, 21.00000
56, 0.65364, 5424, 2005, 5424, 32.00000
57, 0.46086, 5424, 1848, 5424, 21.00000
58, 0.42381, 5424, 1705, 5424, 26.00000
59, 0.50131, 5424, 1995, 5424, 17.00000
60, 0.55389, 5424, 1899, 5424, 33.00000
61, 0.53896, 5424, 2032, 5424, 31.00000
62, 0.46777, 5424, 1998, 5424, 28.00000
63, 0.55137, 5424, 2057, 5424, 28.00000
64, 0.58884, 5424, 2071, 5424, 29.00000
65, 0.55007, 5424, 2085, 5424, 30.00000
66, 0.48523, 5424, 1965, 5424, 28.00000
67, 0.49365, 5424, 1829, 5424, 35.00000
68, 0.46429, 5424, 1971, 5424, 31.00000
69, 0.44727, 5424, 1959, 5424, 31.00000
70, 0.48812, 5424, 1959, 5424, 34.00000
71, 0.49994, 5424, 1943, 5424, 30.00000
72, 0.50712, 5424, 2017, 5424, 27.00000
73, 0.46904, 5424, 2088, 5424, 26.00000
74, 0.54464, 5424, 2076, 5424, 26.00000
75, 0.55479, 5424, 2085, 5424, 24.00000
76, 0.54543, 5424, 2058, 5424, 29.00000
77, 0.51919, 5424, 2012, 5424, 32.00000
78, 0.59430, 5424, 2168, 5424, 33.00000
79, 0.52808, 5424, 2127, 5424, 30.00000
80, 0.46765, 5424, 2107, 5424, 35.00000
81, 0.56625, 5424, 2147, 5424, 29.00000
82, 0.45676, 5424, 2124, 5424, 28.00000
83, 0.50756, 5424, 2133, 5424, 25.00000
84, 0.49378, 5424, 2130, 5424, 35.00000
85, 0.58156, 5424, 2120, 5424, 27.00000
86, 0.48549, 5424, 2164, 5424, 35.00000
87, 0.56800, 5424, 2151, 5424, 28.00000
88, 0.55952, 5424, 2192, 5424, 32.00000
89, 0.64687, 5424, 2198, 5424, 29.00000
90, 0.59125, 5424, 2160, 5424, 34.00000
91, 0.54873, 5424, 2159, 5424, 32.00000
92, 0.49698, 5424, 2144, 5424, 32.00000
93, 0.52465, 5424, 2123, 5424, 24.00000
94, 0.47002, 5424, 2110, 5424, 28.00000
95, 0.45600, 5424, 2165, 5424, 36.00000
96, 0.55954, 5424, 2142, 5424, 21.00000
97, 0.57894, 5424, 2138, 5424, 23.00000
98, 0.53603, 5424, 2156, 5424, 31.00000
99, 0.53261, 5424, 2148, 5424, 35.00000
100, 0.56121, 5424, 2169, 5424, 27.00000
